Back,Zurück
Name,Name
Enabled,Enabled
"* Required Fields","* Required Fields"
Message:,Nachricht:
"Email to a Friend","E-Mail an einen Freund"
"Email Address",E-Mail-Adresse
"Email Templates","Email Templates"
Name:,Name:
"Email Address:",E-Mail-Adresse:
Sender:,Absender:
Email:,E-Mail:
Recipient:,Empfänger:
"Add Recipient","Empfänger hinzufügen"
"Send Email","E-Mail senden"
"You can't send messages more than %1 times an hour.","You can't send messages more than %1 times an hour."
"The link to a friend was sent.","Der Link wurde an den Freund gesendet."
"We found some problems with the data.","We found some problems with the data."
"Some emails were not sent.","Einige E-Mail wurden nicht gesendet."
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"The sender name cannot be empty.","Der Absender-Name kann nicht freigelassen werden."
"Invalid Sender Email","Invalid Sender Email"
"The message cannot be empty.","Das Nachrichten-Feld kann nicht freigelassen werden."
"At least one recipient must be specified.","Es muss mindestens ein Empfänger eingetragen werden."
"Please enter a correct recipient email address.","Please enter a correct recipient email address."
"No more than %1 emails can be sent at a time.","No more than %1 emails can be sent at a time."
"Please define a correct Cookie instance.","Legen Sie bitte eine korrekte Cookie-Instanz fest."
"Please define a correct Product instance.","Legen Sie bitte eine korrekte Produkt-Instanz fest."
"Invalid Sender Information","Ungültiger Absender"
"Please define the correct Sender information.","Bitte legen Sie korrekte Senderinformationen fest."
"Remove Email","E-Mail löschen"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Select Email Template","Select Email Template"
"Allow for Guests","Allow for Guests"
"Max Recipients","Max Recipients"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Limit Sending By","Limit Sending By"
