Back,Volver
Name,Nombre
Enabled,Enabled
"* Required Fields","* Required Fields"
Message:,Mensaje:
"Email to a Friend","Escribir un Email a un amigo"
"Email Address","Dirección de email"
"Email Templates","Email Templates"
Name:,Nombre:
"Email Address:","dirección de email:"
Sender:,Remitente:
Email:,Email:
Recipient:,Destinatario:
"Add Recipient","Añadir Destinatario"
"Send Email","Envíar Correo electrónico"
"You can't send messages more than %1 times an hour.","You can't send messages more than %1 times an hour."
"The link to a friend was sent.","El enlace fue envíado a un amigo."
"We found some problems with the data.","We found some problems with the data."
"Some emails were not sent.","Algunos correos electrónicos no fueron enviados."
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"The sender name cannot be empty.","El nombre del remitente no puede estar vacío."
"Invalid Sender Email","Invalid Sender Email"
"The message cannot be empty.","El mensaje no puede estar vacío."
"At least one recipient must be specified.","Al menos un destinatario debe ser especificado."
"Please enter a correct recipient email address.","Please enter a correct recipient email address."
"No more than %1 emails can be sent at a time.","No more than %1 emails can be sent at a time."
"Please define a correct Cookie instance.","Por favor defina una correcta petición de cookie."
"Please define a correct Product instance.","Por favor defina una correcta petición de producto."
"Invalid Sender Information","Información del remitente inválida"
"Please define the correct Sender information.","Por favor defina la información correcta del remitente."
"Remove Email","Eliminar E-mail"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Select Email Template","Select Email Template"
"Allow for Guests","Allow for Guests"
"Max Recipients","Max Recipients"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Limit Sending By","Limit Sending By"
