Back,返回
Name,姓名
Enabled,Enabled
"* Required Fields","* Required Fields"
Message:,信息：
"Email to a Friend",给朋友发邮件
"Email Address",编辑电子邮件地址
"Email Templates","Email Templates"
Name:,姓名：
"Email Address:",电子邮件地址：
Sender:,发送人：
Email:,电子邮件：
Recipient:,收件人：
"Add Recipient",添加收件人
"Send Email",发送邮件
"You can't send messages more than %1 times an hour.","You can't send messages more than %1 times an hour."
"The link to a friend was sent.",链接已发送给朋友。
"We found some problems with the data.","We found some problems with the data."
"Some emails were not sent.",某些邮件未发送
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"The sender name cannot be empty.",发送人姓名不能为空。
"Invalid Sender Email","Invalid Sender Email"
"The message cannot be empty.",消息不能为空。
"At least one recipient must be specified.",必须至少指定一个收件人。
"Please enter a correct recipient email address.","Please enter a correct recipient email address."
"No more than %1 emails can be sent at a time.","No more than %1 emails can be sent at a time."
"Please define a correct Cookie instance.","请定义正确的 Cookie 实例。"
"Please define a correct Product instance.",请定义正确的产品实例。
"Invalid Sender Information",无效的发送者信息
"Please define the correct Sender information.",请定义正确的发送者信息。
"Remove Email",删除邮件
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Select Email Template","Select Email Template"
"Allow for Guests","Allow for Guests"
"Max Recipients","Max Recipients"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Limit Sending By","Limit Sending By"
