Back,Retour
Name,Nom
Enabled,Enabled
"* Required Fields","* Required Fields"
Message:,"Message :"
"Email to a Friend","Envoyer à un ami par email"
"Email Address","Adresse email"
"Email Templates","Email Templates"
Name:,"Nom :"
"Email Address:","Adresse email :"
Sender:,"Expéditeur :"
Email:,"Email :"
Recipient:,"Destinataire :"
"Add Recipient","Ajouter destinataire"
"Send Email","Envoyer l'email"
"You can't send messages more than %1 times an hour.","You can't send messages more than %1 times an hour."
"The link to a friend was sent.","Le lien a été envoyé à un ami."
"We found some problems with the data.","We found some problems with the data."
"Some emails were not sent.","Certains emails n'ont pas été envoyés."
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"The sender name cannot be empty.","Le nom de l'expéditeur ne peut pas être vide."
"Invalid Sender Email","Invalid Sender Email"
"The message cannot be empty.","Le message ne peut pas être vide."
"At least one recipient must be specified.","Au moins un destinataire doit être entré."
"Please enter a correct recipient email address.","Please enter a correct recipient email address."
"No more than %1 emails can be sent at a time.","No more than %1 emails can be sent at a time."
"Please define a correct Cookie instance.","Veuillez définir un cookie correct."
"Please define a correct Product instance.","Veuillez définir un produit correct."
"Invalid Sender Information","Information de l'expéditeur invalide"
"Please define the correct Sender information.","Veuillez définir les informations correctes de l'expéditeur."
"Remove Email","Supprimer l'email"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Select Email Template","Select Email Template"
"Allow for Guests","Allow for Guests"
"Max Recipients","Max Recipients"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Limit Sending By","Limit Sending By"
