"-OR-","-或-"
"2-pixel perimeter around the header space.","头部空间周围2像素的边界"
"3D Secure","3D 安全"
"3D Secure Card Validation","3D 安全信用卡验证"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Maestro卡需要 3D 安全验证。对美国运通卡的支持需要额外的协议。详情请访问 <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>。"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">开始通过PayPal接受付款！</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","动态模式需要提供值。请参考您的CardinalCommerce 协议。"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH保证金（用作保证或其他调查用途）"
"ACH Deposit (Reversal)","ACH保证金（撤销）"
"ACH Funding for Funds Recovery from Account Balance","来自帐户余额的返款恢复ACH返款"
"ACH Withdrawal","ACH撤销"
"API Authentication Methods","API身份验证方法"
"API Certificate","API证书"
"API Password","API密码"
"API Signature","API签名"
"API Username","API用户名"
"API Uses Proxy","API使用代理"
"API/Integration","API/集成"
"API/Integration Settings","API/集成设置"
"Ability for buyer to purchase without PayPal account.","买家在不使用PayPal帐户下购买的能力。"
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","在您的购物车中接受PayPal付款。PayPal将通过 Payflow Pro Gateway 处理您的付款。"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.  Includes a merchant account from PayPal.","接受兼容 PCI 标准的支付方法可以帮你留住顾客。你也可以使用 PayPal 的商家账户。"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. For use with your own merchant account.","接受兼容 PCI 标准的支付方法可以帮你留住顾客。你也可以使用自己的商家账户。"
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","在不要求客户离开您网站的情况下接受付款。很多流行的网络服务及购物车都内建有Payflow支付网关，因此安装更简便。"
"Acceptance Mark","接受标志"
"Acceptance Mark Image","接受标志图片"
"Account-to-Account Payment, initiated by PayPal","帐户到帐户支付，由PayPal开创"
