"-- Please Select --","-- Selecteer alstublieft --"
Status,Status
From,From
To,To
Export,Export
label,label
"Attribute Code","Attribute Code"
Import,Import
Continue,Doorgaan
"Attribute Label","Attribute Label"
"Export Settings","Export Settings"
"Entity Type","Entity Type"
"Export File Format","Export File Format"
"Attribute does not has options, so filtering is impossible","Attribute does not has options, so filtering is impossible"
Exclude,Exclude
Filter,Filter
"Unknown attribute filter type","Unknown attribute filter type"
"Check Data","Kijk Data Na"
"Import Settings","Import Settings"
"Import Behavior","Import Behavior"
"File to Import","File to Import"
"Select File to Import","Select File to Import"
Import/Export,Import/Export
"Please correct the data sent.","Please correct the data sent."
"Import successfully done","Import successfully done"
"File does not contain data. Please upload another one","Bestand bevat geen gegevens. Upload a.u.b. een andere"
"File is valid! To start import process press ""Import"" button","Bestand is geldig! Om het importeren te starten klik op de ""Import"" knop"
"File is valid, but import is not possible","Bestand is geldig, maar het is niet mogelijk te importeren"
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4"
"Please fix errors and re-upload file.","Please fix errors and re-upload file."
"File was not uploaded","File was not uploaded"
"Data is invalid or file is not uploaded","Gegevens zijn ongeldig of bestand is niet geüpload"
"File is totally invalid. Please fix errors and re-upload file.","File is totally invalid. Please fix errors and re-upload file."
"Errors limit (%1) reached. Please fix errors and re-upload file.","Errors limit (%1) reached. Please fix errors and re-upload file."
"Please fix errors and re-upload file or simply press ""Import"" button' ' to skip rows with errors","Please fix errors and re-upload file or simply press ""Import"" button' ' to skip rows with errors"
"File is partially valid, but import is not possible","Bestand is gedeeltelijk geldig, maar het is niet mogelijk te importeren"
"in rows:","in rows:"
"The total size of the uploadable files can't be more than %1M","The total size of the uploadable files can't be more than %1M"
"System doesn't allow to get file upload settings","System doesn't allow to get file upload settings"
"Please enter a correct entity model","Please enter a correct entity model"
"Entity adapter object must be an instance of %1 or %2","Entity adapter object must be an instance of %1 or %2"
"The input entity code is not equal to entity adapter code.","The input entity code is not equal to entity adapter code."
"Please enter a correct entity.","Please enter a correct entity."
"Adapter object must be an instance of %1","Adapter object must be an instance of %1"
"Please correct the file format.","Please correct the file format."
"Begin export of %1","Begin export of %1"
"There is no data for export","There is no data for export"
"Exported %1 rows.","Exported %1 rows."
"Export has been done.","Export has been done."
"Please provide filter data.","Please provide filter data."
"Cannot determine attribute filter type","Cannot determine attribute filter type"
"Entity is unknown","Entiteit is onbekend"
"File format is unknown","Bestand format is onbekend"
"Please correct the value for '%1' column","Please correct the value for '%1' column"
"Please specify writer.","Please specify writer."
"Destination file path must be a string","Bestemmingspad bestand moet tekst zijn"
"Destination directory is not writable","Bestemmingsmap is niet beschrijfbaar"
"Destination file is not writable","Bestemmingsbestand is niet schrijfbaar"
"Header column names already set","Koptekst kolom namen zijn reeds ingesteld"
"in rows","in rows"
"Validation finished successfully","Validation finished successfully"
"File does not contain data.","File does not contain data."
"Begin import of ""%1"" with ""%2"" behavior","Begin import of ""%1"" with ""%2"" behavior"
"Import has been done successfuly.","Import has been done successfuly."
"File was not uploaded.","File was not uploaded."
"Uploaded file has no extension","Het geüploade bestand heeft geen uitgang"
"Source file moving failed","Verplaatsen van het bronbestand mislukt"
"Begin data validation","Begin data validation"
"Done import data validation","Done import data validation"
"Invalid behavior token for %1","Invalid behavior token for %1"
"Source is not set","Bron is niet aangegeven"
"Please correct the value for '%s'.","Please correct the value for '%s'."
"Duplicate Unique Attribute for '%s'","Duplicate Unique Attribute for '%s'"
"Cannot find required columns: %1","Cannot find required columns: %1"
"Columns number: ""%1"" have empty headers","Columns number: ""%1"" have empty headers"
"Column names: ""%1"" are invalid","Column names: ""%1"" are invalid"
"The adapter type must be a non empty string.","The adapter type must be a non empty string."
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource"
"Please specify a source.","Please specify a source."
"Cannot get autoincrement value","Cannot get autoincrement value"
"Error in data structure: %1 values are mixed","Error in data structure: %1 values are mixed"
"Add/Update","Add/Update"
"Field separator","Field separator"
"Multiple value separator","Multiple value separator"
"Images File Directory","Images File Directory"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir"
"Replace Existing Complex Data","Replace Existing Complex Data"
"Delete Entities","Delete Entities"
"Add/Update Complex Data","Add/Update Complex Data"
"Custom Action","Custom Action"
"Entity Attributes",Eenheidattributen
"Validation Results","Validatie Resultaten"
