"Access denied.","Acesso negado."
"Client Session Timeout (sec.)","Tempo Limite da Sessão de Cliente (seg.)"
"Default Response Charset","Conjunto de Caracteres Predefinido de Resposta"
"Email","E-mail"
"General Settings","Definições Gerais"
"Invalid webservice adapter specified.","Adaptador de serviço de rede especificado inválido."
"Invalid webservice handler specified.","Processador de serviço de rede especificado inválido."
"Magento Core API","Núcleo Magento API"
"Magento Core API Section","Seção Núcleo Magento API"
"Roles","Funções"
"Unable to login.","Incapaz de entrar."
"User Name","Nome do Usuário"
"Users","Usuários"
"WS-I Compliance","Conformidade WS-I"
"Web Services","Serviços Web"
"Your account has been deactivated.","Sua conta foi desativada."
