"%s","%s"
"%s already exist.","%s already exist."
"%s already exists.","%s already exists."
"-- Please Select --","-- Please Select --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain"
"A category object is required for determining the product request path.","A category object is required for determining the product request path."
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Add Store Code to Urls"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Advanced","Advanced"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete."
"Allow Countries","Allow Countries"
"Allow Symlinks","Allow Symlinks"
"Allowed IPs (comma separated)","Allowed IPs (comma separated)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Allows customers to stay logged in when switching between different stores.","Allows customers to stay logged in when switching between different stores."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternative text for next link in pagination menu. If empty, default arrow image will used."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternative text for previous link in pagination menu. If empty, default arrow image will used."
"An error occurred while saving. Please review the error log.","An error occurred while saving. Please review the error log."
"Anchor Text for Next","Anchor Text for Next"
"Anchor Text for Previous","Anchor Text for Previous"
"Anchor symbol (#) is not supported in request path","Anchor symbol (#) is not supported in request path"
"Anchor symbol (#) is not supported in url rewrite suffix","Anchor symbol (#) is not supported in url rewrite suffix"
"Are you sure?","Are you sure?"
"Auto-redirect to Base URL","Auto-redirect to Base URL"
"Back","Back"
"Backup Options","Backup Options"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Base Link URL"
"Base Media URL","Base Media URL"
"Base Secure URL","Base Secure URL"
"Base Skin URL","Base Skin URL"
"Base URL","Base URL"
"Base Unsecure URL","Base Unsecure URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Before modifying the store view code please make sure that it is not used in index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Before modifying the website code please make sure that it is not used in index.php."
"Block with name ""%s"" already exists","Block with name ""%s"" already exists"
"Browser Capabilities Detection","Browser Capabilities Detection"
"CSS Settings","CSS Settings"
"Cache Storage Management","Cache Storage Management"
"Cache storage may contain additional data. Are you sure that you want flush it?","Cache storage may contain additional data. Are you sure that you want flush it?"
"Can not create invoice. Order was not found.","Can not create invoice. Order was not found."
"Can't retrieve request object","Can't retrieve request object"
"Can\'t retrieve entity config: %s","Can\'t retrieve entity config: %s"
"Cancel","Cancel"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Card type does not match credit card number.","Card type does not match credit card number."
"Code","Code"
"Controller file was loaded but class does not exist","Controller file was loaded but class does not exist"
"Cookie Domain","Cookie Domain"
"Cookie Lifetime","Cookie Lifetime"
"Cookie Path","Cookie Path"
"Cookie Restriction Mode","Cookie Restriction Mode"
"Copyright","Copyright"
"Core","Core"
"Countries Options","Countries Options"
"Country","Country"
"Create Store","Create Store"
"Create Store View","Create Store View"
"Create Website","Create Website"
"Credit card number does not match credit card type.","Credit card number does not match credit card type."
"Current Package Name","Current Package Name"
"Custom Admin Path","Custom Admin Path"
"Custom Admin URL","Custom Admin URL"
"Custom Design","Custom Design"
"Custom Email 1","Custom Email 1"
"Custom Email 2","Custom Email 2"
"Custom Variables","Custom Variables"
"Custom1 Contact Email","Custom1 Contact Email"
"Custom1 Contact Name","Custom1 Contact Name"
"Custom2 Contact Email","Custom2 Contact Email"
"Custom2 Contact Name","Custom2 Contact Name"
"Customer Support","Customer Support"
"Dashboard","Dashboard"
"Date From","Date From"
"Date To","Date To"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Debug"
"Default","Default"
"Default Country","Default Country"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default No-route URL","Default No-route URL"
"Default Pages","Default Pages"
"Default Robots","Default Robots"
"Default Store","Default Store"
"Default Store View","Default Store View"
"Default Title","Default Title"
"Default Web URL","Default Web URL"
"Delete","Delete"
"Delete Store","Delete Store"
"Delete Store View","Delete Store View"
"Delete Website","Delete Website"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Design"
"Design Change","Design Change"
"Developer","Developer"
"Developer Client Restrictions","Developer Client Restrictions"
"Disable Email Communications","Disable Email Communications"
"Disable Modules Output","Disable Modules Output"
"Display Demo Store Notice","Display Demo Store Notice"
"Duplicate Of Template Name","Duplicate Of Template Name"
"Edit Design Change","Edit Design Change"
"Edit Store","Edit Store"
"Edit Store View","Edit Store View"
"Edit Website","Edit Website"
"Empty identifier field name","Empty identifier field name"
"Empty main table name","Empty main table name"
"Enable Charts","Enable Charts"
