"%s","%s"
"%s already exist.","%sは既に存在しています。"
"%s already exists.","%sは既に存在しています。"
"-- Please Select --","-- 選択してください --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">警告!</strong> CDNを使用しているときにJavaScriptがサブドメインで実行されていると、正しく動かない場合があります。"
"A category object is required for determining the product request path.","カテゴリオブジェクトは商品のリクエストパスの定義を必要としています"
"Add Block Names to Hints","ブロック名をヒントに追加"
"Add Secret Key to URLs","URLにシークレットキーを付与"
"Add Store Code to Urls","店舗コードをURLに追加"
"Admin","管理"
"Admin Base URL","管理ページベースURL"
"Admin User Emails","管理者メールアドレス"
"Advanced","高度な設定"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","新しいメディアストレージを選択した場合は、同期ボタンを押してすべてのファイルを新しいストレージに転送してください。ファイルは同期が完了したあとに利用できるようになります。"
"Allow Countries","許可する国"
"Allow Symlinks","シンボリックリンクを許可する"
"Allowed IPs (comma separated)","許可されたIP(コンマ区切り)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Allows customers to stay logged in when switching between different stores.","異なる店舗に移動してもログイン状態を継続することを許可する"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","次ページへのリンクへのテキストに使用します。デフォルトでは矢印型の画像が使用されます。"
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","前ページへのリンクへのテキストに使用します。デフォルトでは矢印型の画像が使用されます。"
"An error occurred while saving. Please review the error log.","保存中にエラーが発生しました。ログを確認の上、やり直してください。"
"Anchor Text for Next","次ページへのアンカーテキスト"
"Anchor Text for Previous","前ページへのアンカーテキスト"
"Anchor symbol (#) is not supported in request path","アンカー (#) はリクエストパスでサポートされていません"
"Anchor symbol (#) is not supported in url rewrite suffix","アンカー (#) はURL書換サフィックスでサポートされていません"
"Are you sure?","よろしいですか？"
"Auto-redirect to Base URL","ベースURLに自動リダイレクトする"
"Back","戻る"
"Backup Options","バックアップオプション"
"Base JavaScript URL","JavascriptベースURL"
"Base Link URL","リンクベースURL"
"Base Media URL","メディアベースURL"
"Base Secure URL","セキュアベースURL"
"Base Skin URL","スキンベースURL"
"Base URL","ベースURL"
"Base Unsecure URL","ベースURL"
"Before modifying the store view code please make sure that it is not used in index.php.","ストアビューコードを変更する前に、index.phpで既に使用されていないか確認してください。"
"Before modifying the website code please make sure that it is not used in index.php.","ウェブサイトコードを変更する前に、index.phpで既に使用されていないか確認してください。"
"Block with name ""%s"" already exists","""%s""の名前のブロックはすでに存在します"
"Browser Capabilities Detection","ブラウザ互換性検出"
"CSS Settings","CSS設定"
"Cache Storage Management","キャッシュストレージ管理"
"Cache storage may contain additional data. Are you sure that you want flush it?","キャッシュストレージは多くの追加データを格納しています。消去してもいいですか?"
"Can not create invoice. Order was not found.","請求書を作成できません。注文データが存在しません。"
"Can't retrieve request object","リクエストオブジェクトを取得できません"
"Can\'t retrieve entity config: %s","属性の設定が見つかりません: %s"
"Cancel","キャンセル"
