"# of Uses","Anzahl der Verwendungen"
"%s tag(s) have been accepted for moderation.","%s Tag(s) wurde(n) für die Moderation akzeptiert."
"<strong>Tag Name:</strong> %s","<strong>Tag-Bezeichnung:</strong> %s"
"Action","Aktion"
"Add","Hinzufügen"
"Add New Tag","Neuen Tag hinzufügen"
"Add Tags","Tags hinzufügen"
"Add Your Tags:","Fügen Sie Ihre Tags hinzu:"
"Add tag(s) to product","Tag(s) zum Produkt hinzufügen"
"Add to Cart","Zum Warenkobrn hinzufügen"
"Add to Wishlist","Zum Wunschzettel hinzufügen"
"All Tags","Alle Tags"
"Approved","Bestätigt"
"Are you sure you want to delete this tag?","Sind Sie sicher, diesen Tag löschen zu wollen?"
"Are you sure you want to do this?","Sind Sie sicher, dass sie das tun wollen?"
"Are you sure?","Sind Sie sicher?"
"Back","Zurück"
"Back to Tags List","Zurück zur Tagliste"
"Base Popularity","Popularität aufbauen"
"Block Information","Blockinformation"
"CSV","CSV"
"Catalog Product View","Katalog-Produktansicht"
"Change status","Status ändern"
"Click on a tag to view your corresponding products.","Klicken Sie auf einen Tag, um die zugehörigen Produkte zu sehen."
"Country","Land"
"Customer My Account My Tags List","Kunde Mein Konto Meine Tagliste"
"Customer My Account Tag View","Kunde Mein Konto Tag-Ansicht"
"Customer Since","Kunde Seit"
"Customers","Kunden"
"Customers Submitted this Tag","Kunden Haben diesen Tag Eingereicht"
"Customers Tagged '%s'","Kunden Haben '%s' getaggt"
"Delete","Löschen"
"Delete Tag","Tag löschen"
"Disabled","Deaktiviert"
"Edit Tag '%s'","Tag '%s' Bearbeiten"
"Email","E-Mail"
"First Name","Vorname"
"General Information","Allgemeine Information"
"Grid","Raster"
"ID","ID"
"Info","Informationen"
"Last Name","Nachname"
"List","Liste"
"Manage Tags","Tags Verwalten"
"My Recent Tags","Meine Neuesten Tags"
"My Tags","Meine Tags"
"Name","Name"
"New Tag","Neuer Tag"
"No matches found.","Keine Übereinstimmungen gefunden."
"Other people marked this product with these tags:","Andere Leute haben dieses Produkt mit diesen Tags gekennzeichnet:"
"Pending","Ausstehend"
"Pending Tags","Unbestätigte Tags"
"Popular","Beliebt"
"Popular Tags","Beliebte Tags"
"Price","Preis"
"Product Name","Produktname"
"Product SKU","Bestandseinheit des Produktes"
"Product Tag API","Produkttag-Programmierschnittstelle"
"Product Tags","Produkttags"
"Products","Produkte"
"Products Tagged by Administrators","Von Administratoren Getaggte Produkte"
"Products Tagged by Customers","Von Kunden Getaggte Produkte"
"Products Tagged with '%s'","Mit '%s' getaggte Produkte"
"Products tagged with '%s'","Mit '%s' gekennzeichnete Produkte"
"Rebuild Tag aggregation data","Datenansammlungen im Anhang wiederherstellen"
"Remove","Löschen"
"Remove product tag","Produkttag entfernen"
"Retrieve list of tags by product","Liste von Tags nach Produkten abrufen"
"Retrieve product tag info","Produkttag-Informationen abrufen"
"SKU","SKU"
"Save Tag","Tag speichern"
"Save and Continue Edit","Speichern und Bearbeitung fortsetzen"
"Status","Status"
"Store View","Store-Ansicht"
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","Etikett ""%s"" wurde bereits zum Produkt hinzugefügt."
"Tag ""%s"" has been added to the product.","Etikett ""%s"" wurde zum Produkt hinzugefügt."
"Tag ""%s"" has been rejected by administrator.","Etikett ""%s"" wurde vom Administrator abgelehnt."
"Tag Aggregation Data","Tag Gruppierungsdaten"
"Tag Name","Tagname"
"Tagged Products List","Liste von Produkten mit Tags"
"Tags","Tags"
"Tags List (All Available)","Tagliste (Alle verfügbar)"
"Tags List Before","Etikettenliste zuerst"
"Tags:","Tags:"
"Telephone","Telefon"
"The tag has been deleted.","Das Tag wurde gelöscht."
"There are no tags available.","Es sind keine Tags verfügbar."
"Unable to find any products tagged with '%s' in the current store","Es konnten keine Produkte mit dem Tag '%s' in diesem Shop gefunden werden."
"Unable to remove tag. Please, try again later.","Tag kann nicht entfernt werden. Bitte versuchen Sie es später noch einmal."
"Unable to save tag(s).","Tag(s) konnte(n) nicht gespeichert werden."
"Update","Aktualisieren"
"Update product tag","Produkttag aktualisieren"
"Use spaces to separate tags. Use single quotes (') for phrases.","Verwenden Sie Leerzeichen um Tags zu trennen. Verwenden Sie Apostrophe (') für Phrasen."
"View All Tags","Alle Tags ansehen"
"View Customers","Kunden ansehen"
"View Products","Produkte ansehen"
"XML","XML"
"You have not tagged any products yet.","Sie haben noch keinen Produkten Tags hinzugefügt."
"ZIP/Post Code","Postleitzahl"
"[STORE VIEW]","[SHOP ANSICHT]"
