"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Warenkorb Preisregeln für ""%s"" Eigenschaften wurden deaktiviert."
"%s Coupon(s) have been generated","Es wurden %s Kupons erstellt."
"Actions","Aktionen"
"Active","Aktiv"
"Add New Rule","Neue Regel hinzufügen"
"Alphabetical","Alphabetisch"
"Alphanumeric","Alphanumerisch"
"An error occurred while generating coupons. Please review the log and try again.","Während er Erstellung der Kupons trat ein Fehler auf. Bitte überprüfen sie diese und versuchen sie es nochmals."
"Apply","Anwenden"
"Apply To","Anwenden auf"
"Apply the rule only if the following conditions are met (leave blank for all products)","Regel nur bei folgenden Bedingungen anwenden (Leer lassen für alle Produkte)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Regel nur auf Artikel im Warenkorb mit den folgenden Bedingungen anwenden (Leer lassen für alle Artikel)"
"Apply the rule to cart items matching the following conditions","Regel nur bei folgenden Bedingungen auf Artikel im Warenkorb anwenden"
"Apply to Shipping Amount","Auf Versandbetrag anwenden"
"Are you sure you want to delete the selected coupon(s)?","Wollen sie die ausgewählten Kupons wirklich löschen?"
"Auto","Automatisch"
"Auto Generated Specific Coupon Codes","Automatische generierte spezifische Kupon-Kennung"
"Buy X get Y free (discount amount is Y)","X kaufen, Y kostenlos bekommen (Rabattbetrag ist Y)"
"By Fixed value","Nach festen Wert"
"By Percentage","Nach Prozent"
"Can\'t acquire coupon.","Kann Gutschein nicht erwerben."
"Cart Attribute","Warenkorbattribut"
"Catalog","Katalog"
"Code Format","Kennung -Format"
"Code Length","Kennung -Länge"
"Code Prefix","Kennung- Präfix"
"Code Suffix","Kennung - Zusatz"
"Conditions","Bedingungen"
"Conditions combination","Bedingungskombination"
"Coupon","Gutschein"
"Coupon Code","Gutscheincode"
"Coupon Qty","Anzahl Kupon"
"Coupon with the same code","Kupon mit gleicher Kennung"
"Coupons Information","Kuponinformationen"
"Created On","Erstellt am"
"Customer Groups","Kundengruppen"
"Dash Every X Characters","Trennstrichs alle X Ziffern"
"Date Expire","Verfalldatum"
"Date Start","Startdatum"
"Default Label","Standardlabel"
"Default Rule Label for All Store Views","Standardregel Label für alle StoreViews"
"Description","Beschreibung"
"Discount Amount","Rabattbetrag"
"Discount Qty Step (Buy X)","Rabattmengenschritt (X kaufen)"
"Edit Rule","Regel ändern"
"Edit Rule '%s'","Regel '%s' ändern"
"Excluding prefix, suffix and separators.","Ausgenommen Präfix, Zusatzziffern und Trenner."
"FOUND","GEFUNDEN"
"Fixed amount discount","Rabatt mit festem Wert"
"Fixed amount discount for whole cart","Fester Rabattbetrag für gesamten Warenkorb"
"For matching items only","Nur für passende Artikel"
"For shipment with matching items","Für Versand mit passenden Artikeln"
"Free Shipping","Versandkostenfrei"
"From Date","Von Datum"
"General Information","Allgemeine Information"
"Generate","Erstellen"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Falls %s %s %s für eine Unterauswahl der Artikel im Einkaufswagen %s dieser Bedingungen entspricht:"
"If an item is %s in the cart with %s of these conditions true:","Falls ein Artikel im Einkaufswagen %s ist und %s dieser Bedingungen vorliegen:"
"If empty no separation.","Wenn leer, keine Trennung."
"If you select and save the rule you will be able to generate multiple coupon codes.","Wenn sie diese Erstellungsregel auswählen und abspeichern, können sie mehrere Kupon-Kennziffern erstellen."
"Inactive","Nicht aktiv"
"Item totals are not set for rule.","Artikel-Summen sind keine Regel."
"Labels","Bezeichnungen"
"Manage Coupon Codes","Kupon-Kennungen verwalten"
"Maximum Qty Discount is Applied To","Maximal angewendete Rabattmenge"
"NOT FOUND","NICHT GEFUNDEN"
"NOT LOGGED IN","NICHT ANGEMELDET"
"New Rule","Neue Regel"
"No","Nein"
"No Coupon","Kein Gutschein"
"Not valid data provided","Es liegen keine gültigen Daten vor"
"Number of Uses","Anzahl der Verwendungen"
"Numeric","Numerisch"
"Payment Method","Zahlungsart"
"Percent of product price discount","Prozente für Rabatt auf den Verkaufspreis"
"Period","Zeitraum"
"Price in cart","Preis im Warenkorb"
"Priority","Priorität"
"Product attribute combination","Kombination der Produktmerkmale"
"Products subselection","Produktunterauswahl"
"Promotions","Promotionen"
"Public In RSS Feed","Im RSS Feed veröffentlichen"
"Quantity in cart","Menge im Warenkorb"
"Row total in cart","Zeile Gesamt im Warenkorb"
"Rule Information","Regelinformation"
"Rule Name","Regelname"
"Rule is not defined","Regel nicht definiert"
"Sales Discount Amount","Rabttbetrag des Verkaufs"
"Sales Subtotal Amount","Zwischensumme des Verkaufsbetrags"
"Sales Total Amount","Gesamtbetrag des Verkaufs"
"Save and Continue Edit","Speichern und Bearbeitung fortsetzen"
"Shipping Country","Lieferland"
"Shipping Method","Lieferungsart"
"Shipping Postcode","Postleitzahl der Lieferadresse"
"Shipping Region","Region der Lieferadresse"
"Shipping State/Province","Bundesland/Provinz der Lieferadresse"
"Shopping Cart Price Rule","Warenkorb Preisgebot"
"Shopping Cart Price Rules","Warenkorb Preisgebote"
"Special Price","Sonderpreis"
"Specific Coupon","spezieller Gutschein"
"Status","Status"
"Stop Further Rules Processing","Weitere Regelbearbeitung abbrechen"
"Store View Specific Labels","Überblick spezifischer Etikette im Lager"
"Subtotal","Zwischensumme"
"Subtotal Amount","Zwischensumme des Betrags"
"The rule has been deleted.","Die Regel wurde gelöscht."
"The rule has been saved.","Die Regel wurde gespeichert."
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"Times Used","Wie oft eingelöst"
"To Date","Bis Datum"
"To Fixed Value","Zu festen Wert"
"To Percentage","Zu Prozent"
"Total","Gesamtbetrag"
"Total Amount","Gesamtbetrag"
"Total Items Quantity","Gesamtmenge aller Artikel"
"Total Weight","Gesamtgewicht"
"Unable to create requested Coupon Qty. Please check settings and try again.","Angeforderte Anzahl an Kupons konnte nicht erstellt werden. Bitte Einstellungen überprüfen und nochmals versuchen."
"Unable to find a rule to delete.","Keine Regel zum Löschen gefunden."
"Update prices using the following information","Finden Sie neue Preise mit den folgenden Informationen"
"Update product's %s %s: %s","%s %s: %s von Produkt aktualisieren"
"Update the Product","Produkt aktualisieren"
"Use Auto Generation","Über Automatische Erstellung"
"Used","Eingelöst"
"Uses per Coupon","Verwendung je Gutschein"
"Uses per Customer","Verwendung je Kunde"
"Website","Webseite"
"Websites","Websites"
"Wrong rule specified.","Falsche Regel angegeben."
"Yes","Ja"
"total amount","Gesamtsumme"
"total quantity","Gesamtmenge"
