All,Todos
Close,Fechar
Products,Produtos
Apply,Solicitar
"Design Theme","Design Theme"
"-- Please Select --","- Por Favor Selecione -"
"Sort Order","Classificar pedido"
"Save and Continue Edit","Salvar e continuar a editar"
Type,Tipo
Page,Página
label,label
"Frontend Properties","Propriedades de interface inicial"
Categories,Categorias
name,name
Continue,Continue
CMS,SGC
%1,%1
"Open Chooser","Abrir Seletor"
Settings,Configurações
Template,Modelo
"Not Selected","Não selecionado"
"Widget Insertion","Inserção de Widget"
"Insert Widget","Inserir Widget"
Choose...,Escolha...
Widget,Widget
"Widget Type","Widget Tipo"
"Manage Widget Instances","Gerenciar exemplos de widget"
"Add New Widget Instance","Adicionar Novo Exemplo de Widget"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","Novo exemplo de Widget"
"Custom Layouts","Custom Layouts"
"Page Layouts","Page Layouts"
"Please Select Container First","Please Select Container First"
"Design Package/Theme","Pacote de Design/Tema"
"Widget Instance Title","Widget Exemplo Título"
"Assign to Store Views","Atribuir a visualizações da loja"
"Sort Order of widget instances in the same container","Sort Order of widget instances in the same container"
"Layout Updates","Atualizações de layout"
"Anchor Categories","Categorias Âncora"
"Non-Anchor Categories","Categorias Não-Âncoras"
"All Product Types","Todos Tipos de Produtos"
"Generic Pages","Páginas genéricas"
"All Pages","Todas as Páginas"
"Specified Page","Página especificada"
"Add Layout Update","Adicionar Atualização de Layout"
"Remove Layout Update","Remover atualização do layout"
"Widget Options","Widget Opções"
"Widget Instance","Widget Exemplo"
"Please specify a Widget Type.","Please specify a Widget Type."
"Widgets","Widgets"
"Please specify a correct widget.","Please specify a correct widget."
"New Widget","New Widget"
"The widget instance has been saved.","O exemplo de widget foi salvo."
"The widget instance has been deleted.","O exemplo de widget foi deletado."
description,description
"We cannot create the widget instance because it is missing required information.","We cannot create the widget instance because it is missing required information."
Container,Container
"Specific %1","Specific %1"
"Widget ID","ID do Widget"
