All,Todo
Close,Cerrar
Products,Productos
Apply,Confirmar
"Design Theme","Design Theme"
"-- Please Select --","-- Seleccionar, por favor --"
"Sort Order","Ordenar Pedido"
"Save and Continue Edit","Guardar y continuar editando"
Type,Tipo
Page,Página
label,label
"Frontend Properties","Propiedades del frontend"
Categories,Categorías
name,name
Continue,Continuar
CMS,CMS
%1,%1
"Open Chooser","Abrir el buscador"
Settings,Configuración
Template,Plantilla
"Not Selected","No seleccionado"
"Widget Insertion","Inserción del widget"
"Insert Widget","Insertar aplicación"
Choose...,Elegir...
Widget,Aplicación
"Widget Type","Tipo de aplicación"
"Manage Widget Instances","Administrar instancias de aplicación"
"Add New Widget Instance","Agregar nueva instancia de aplicación"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","Nueva instancia de aplicación"
"Custom Layouts","Custom Layouts"
"Page Layouts","Page Layouts"
"Please Select Container First","Please Select Container First"
"Design Package/Theme","Diseñar paquete/tema"
"Widget Instance Title","Título de instancia de aplicación"
"Assign to Store Views","Asignar a vistas de tienda"
"Sort Order of widget instances in the same container","Sort Order of widget instances in the same container"
"Layout Updates","Actualizaciones de diseño"
"Anchor Categories","Categorías de ancla"
"Non-Anchor Categories","Categorías no de ancla"
"All Product Types","Todos los tipos de productos"
"Generic Pages","Páginas genéricas"
"All Pages","Todas las páginas"
"Specified Page","Página especificada"
"Add Layout Update","Agregar actualización de diseño"
"Remove Layout Update","Eliminar actualización de diseño"
"Widget Options","Opciones de aplicación"
"Widget Instance","Instancia de aplicación"
"Please specify a Widget Type.","Please specify a Widget Type."
"Frontend Apps","Frontend Apps"
"Please specify a correct widget.","Please specify a correct widget."
"New Frontend App Instance","New Frontend App Instance"
"The widget instance has been saved.","Se guardó la instancia de aplicación."
"The widget instance has been deleted.","Se eliminó la instancia de aplicación."
description,description
"We cannot create the widget instance because it is missing required information.","We cannot create the widget instance because it is missing required information."
Container,Container
"Specific %1","Specific %1"
"Widget ID","ID de aplicación"
