All,Alles
Close,Sluiten
Products,Producten
Apply,Toepassen
"Design Theme","Design Theme"
"-- Please Select --","-- Selecteer alstublieft --"
"Sort Order","Sorteer Bestelling"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
Type,Type
Page,Pagina
label,label
"Frontend Properties","Front end Eigenschappen"
Categories,Categoriën
name,name
Continue,Doorgaan
CMS,CMS
%1,%1
"Open Chooser","Open Kiezer"
Settings,Instellingen
Template,Sjabloon
"Not Selected","Niet Geselecteerd"
"Widget Insertion","Widget Invoeging"
"Insert Widget","Voeg Widget in"
Choose...,Kies...
Widget,Widget
"Widget Type","Widget type"
"Manage Widget Instances","Beheer Widget Gevallen"
"Add New Widget Instance","Voeg Nieuwe Widgets toe"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","Nieuw Widget Voorbeeld"
"Custom Layouts","Custom Layouts"
"Page Layouts","Page Layouts"
"Please Select Container First","Please Select Container First"
"Design Package/Theme","Ontwerp Pakket/Thema"
"Widget Instance Title","Widget instantie titel"
"Assign to Store Views","Wijs toe aan Store Views"
"Sort Order of widget instances in the same container","Sort Order of widget instances in the same container"
"Layout Updates","Lay-out Updates"
"Anchor Categories","Anker Categorieën"
"Non-Anchor Categories","Niet-Verankerde Categorieën"
"All Product Types","Alle Product Types"
"Generic Pages","Generieke Pagina's"
"All Pages","Alle pagina's"
"Specified Page","Specifieke Pagina"
"Add Layout Update","Voeg Update Layout toe"
"Remove Layout Update","Verwijder Lay-out Update"
"Widget Options","Widget opties"
"Widget Instance","Widget instantie"
"Please specify a Widget Type.","Please specify a Widget Type."
"Widgets","Widgets"
"Please specify a correct widget.","Please specify a correct widget."
"New Widget","New Widget"
"The widget instance has been saved.","De widget instantie is opgeslagen."
"The widget instance has been deleted.","De widget instantie is verwijderd."
description,description
"We cannot create the widget instance because it is missing required information.","We cannot create the widget instance because it is missing required information."
Container,Container
"Specific %1","Specific %1"
"Widget ID","Widget ID"
