Code,Country,State,"Zip/Post Code",Rate,"Zip/Post is Range","Range From","Range To",default
US-AK-99547,US,AK,99547,3,,,,
US-AK-99554,US,AK,99554,4,,,,
US-AK-99555,US,AK,99555,5,,,,
US-AK-99556,US,AK,99556,3,,,,
US-AK-99557,US,AK,99557,2,,,,
US-AK-99559,US,AK,99559,6,,,,
US-AK-99561,US,AK,99561,2,,,,
US-AK-99563,US,AK,99563,3,,,,
US-AK-99568,US,AK,99568,3,,,,
US-AK-99569,US,AK,99569,5,,,,
US-AK-99572,US,AK,99572,3,,,,
US-AK-99574,US,AK,99574,6,,,,
US-AK-99576,US,AK,99576,6,,,,
US-AK-99578,US,AK,99578,2,,,,
US-AK-99581,US,AK,99581,3,,,,
US-AK-99583,US,AK,99583,3,,,,
US-AK-99585,US,AK,99585,4,,,,
US-AK-99591,US,AK,99591,3,,,,
US-AK-99603,US,AK,99603,7.5,,,,
