" in rows: ","en filas:"
"-- Please Select --","-- Por favor seleccione --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","El adaptador debe ser una instancia de Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","El tipo de adaptador debe ser una cadena no vacía"
"Can not determine attribute filter type","No se puede determinar el tipo de filtro de atributos"
"Can not find required columns: ","No se pueden encontrar las columnas necesarias:"
"Can not get autoincrement value","No se puede obtener el valor de autoincremento"
"Check Data","Verificar los datos"
"Column names have duplicates","Los nombres de columna tienen duplicados"
"Column names is empty or is not an array","Nombres de columna está vacío o no es una matriz"
"Column names: ""%s"" are invalid","Nombres de comlumna: ""%s"" no son válidos"
"Continue","Continuar"
"Data is invalid or file is not uploaded","Los datos son incorrectos o el archivo no está cargado"
"Destination directory is not writable","No se puede escribir en el directorio de destino"
"Destination file is not writable","No se puede escribir en el archivo de destino"
"Destination file path must be a string","La ruta del archivo de destino debe ser una cadena"
"Entity Attributes","Atributos de la Entidad"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","El objeto de adaptador de entidad debe ser una instancia de Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entidad desconocida"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","El modelo de tipo de entidad debe ser una instancia de Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","El modelo de tipo de entidad debe ser una instancia de Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Error en la estructura de datos: hay conductas mezcladas"
"Error in data structure: entity codes are mixed","Error en la estructura de datos: hay códigos de entidad mezclados"
"Export","Exportar"
"Export FAQ","Exportar FAQ"
"FAQ","FAQ"
"File does not contain data. Please upload another one","El archivo no contiene datos. Por favor cargue otro distinto"
"File format is unknown","Formato de archivo desconocido"
"File is partially valid, but import is not possible","El archivo es parcialmente válido, pero no es posible importar"
"File is totally invalid. Please fix errors and re-upload file","El archivo es totalmente inválido. Por favor corrija los errores y vuelva a cargar el archivo"
"File is valid! To start import process press ""Import"" button","El archivo no es correcto. Para empezar el proceso de importación pulse el botón ""Importar"""
"File is valid, but import is not possible","El archivo es válido, pero importar no es posible"
"Header column names already set","Nombres de los encabezados de las columnas ya fijados"
"Import","Importar"
"Import / Export FAQ (Frequently Asked Questions)","Importar / Exportar FAQ (preguntas frecuentes)"
"Import FAQ","Importar FAQ"
"Import successfully done.","Importación realizada con éxito."
"Import/Export","Importar/Exportar"
"In/Out","Dentro/Fuera"
"Input entity code is not equal to entity adapter code","El código de la entidad de entrada no es igual al código adaptador de la entidad"
"Invalid entity","Entidad no válida"
"Invalid file format","Formato de archivo no válido"
"Invalid parameters","Parámetros no válidos"
"Invalid seek position","Posición de búsqueda no válida"
"Invalid value for '%s'","Valor inválido para '%s'"
"No filter data provided","No se han proporcionado filtros de datos"
"No source specified","Ninguna fuente especificada"
"No valid data sent","Los datos enviados no son válidos"
"No writer specified","Ningún escritor especificado"
"Node does not has model token tag","El nodo no tiene una etiqueta de señal modelo"
"Not implemented yet","Aún no implementado"
"Please fix errors and re-upload file","Por favor, corrija los errores y vuelva a cargar el archivo"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Solucione los errores y vuelva a cargar el archivo, o pulse el botón ""Importar"" para omitir las filas con errores"
"Some other FAQ","Algunas FAQs más"
"Source file moving failed","Fallo al mover el archivo de origen"
"Source file path must be a string","La ruta del archivo de origen debe ser una cadena"
"Source is not set","No se ha definido el origen"
"Status","Progreso"
"System busy","El sistema está ocupado"
"There are no product types available for export","No hay tipos de productos disponibles para la exportación"
"Total size of uploadable files must not exceed %s","El tamaño total de los archivos a cargar no puede exceder %s"
"Uploaded file has no extension","El archivo cargado no tiene extensión"
"Validation Results","Resultados de Validación"
