"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","Auf Attribut ""%s"" basierende %d-Katalogpreisregeln wurden deaktiviert."
"Actions","Aktionen"
"Active","Aktiv"
"Add New Rule","Neue Regel hinzufügen"
"An error occurred while deleting the rule. Please review the log and try again.","Beim Löschen der Regel trat ein Fehler auf. Bitte überprüfen Sie das Log und versuchen Sie es erneut."
"An error occurred while saving the rule data. Please review the log and try again.","Beim Speichern der Regeldaten trat ein Fehler auf. Bitte überprüfen Sie das Log und versuchen Sie es erneut."
"Apply","Anwenden"
"Apply Rules","Regeln anwenden"
"Attribute Set","Attributset"
"By Fixed Amount","Durch festen Betrag"
"By Percentage of the Original Price","Durch Prozentsatz des Orginalpreises"
"Catalog","Katalog"
"Catalog Price Rule","Katalogpreis Regel"
"Catalog Price Rules","Katalogpreis Regeln"
"Category","Kategorie"
"Conditions","Bedingungen"
"Conditions (leave blank for all products)","Bedingungen (leer lassen für Alle Produkte)"
"Conditions Combination","Bedingungenkombination"
"Customer Groups","Kundengruppen"
"Date Expire","Verfalldatum"
"Date From","Datum ab"
"Date Start","Startdatum"
"Date To","Datum bis"
"Description","Beschreibung"
"Discount Amount","Rabattsumme"
"Edit Rule","Regel ändern"
"Edit Rule '%s'","Regel '%s' ändern"
"Enable Discount to Subproducts","Rabatt für Unterprodukte aktivieren"
"Expiration Date","Ablaufdatum"
"From Date","Von Datum"
"General Information","Allgemeine Information"
"ID","ID"
"Inactive","Nicht aktiv"
"New Rule","Neue Regel"
"No","Nein"
"Options","Optionen"
"Priority","Priorität"
"Product Attribute","Produktattribut"
"Promotions","Promotionen"
"Rule Information","Regelinformation"
"Rule Name","Regelname"
"Save and Apply","Speichern und anwenden"
"Save and Continue Edit","Speichern und Bearbeitung fortsetzen"
"Start Date","Startdatum"
"Status","Status"
"Stop Further Rules Processing","Weitere Regelbearbeitung abbrechen"
"The rule has been deleted.","Die Regel wurde gelöscht."
"The rule has been saved.","Die Regel wurde gespeichert."
"The rules have been applied.","Die Regeln wurden angewendet."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Dies sind Regeln, welche geändert aber noch nicht eingesetzt wurden. Nur Benutzer mit exklusiven Zugang können diese Regeln anwenden."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Einige Regeln wurden geändert, aber nicht angewendet. Bitte klicken Sie „Regeln anwenden“ um sofortige Anwendung im Katalog zu erhalten."
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"To Date","Bis Datum"
"To Fixed Amount","Zu festem Betrag"
"To Percentage of the Original Price","Zu Prozentsatz des Originalpreises"
"Type","Typ"
"Unable to apply rules.","Regeln können nicht angewendet werden."
"Unable to find a rule to delete.","Keine Regel zum Löschen gefunden."
"Update Prices Using the Following Information","Preise mit folgenden Informationen aktualisieren"
"Update product's %s %s: %s","%s %s: %s von Produkt aktualisieren"
"Website","Webseite"
"Websites","Webseiten"
"Wrong rule specified.","Falsche Regel angegeben."
"Yes","Ja"
