Cancel,Annuleren
From,Van
To,Naar
OK,OK
"Gift Message",Cadeauboodschap
Message,Boodschap
"Unknown entity type","Onbekend entiteit type"
"Gift Options",Cadeauopties
"Do you have any gift items in your order?","Zijn er cadeaus bij uw bestelling?"
"Add gift options","Voeg cadeauopties toe"
"Gift Options for the Entire Order","Gift Options for the Entire Order"
"Add gift options for the Entire Order","Voeg cadeauopties toe voor gehele bestelling"
"If you don't want to leave a gift message for the entire order, leave this box blank.","If you don't want to leave a gift message for the entire order, leave this box blank."
"Gift Options for Individual Items","Cadeauopties voor afzonderlijke artikelen"
"Add gift options for Individual Items","Voeg cadeauopties toe voor afzonderlijke artikelen"
"Item %1 of %2","Item %1 of %2"
"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you don't wish to add a gift message for the item."
"Gift Options for this address.","Cadeauopties voor dit adres."
"You can leave this box blank if you do not wish to add a gift message for this address.","Je kunt deze ruimte leeglaten als je geen cadeaubericht wilt toevoegen voor dit adres."
"You can leave this box blank if you do not wish to add a gift message for the item.","Je kunt deze ruimte leeglaten als je geen cadeaubericht wilt toevoegen voor dit artikel."
"Allow Gift Messages on Order Level","Allow Gift Messages on Order Level"
"Allow Gift Messages for Order Items","Allow Gift Messages for Order Items"
