"Configurable Product","Producto Configurable"
"Configurable Product Settings","Parametrización de Producto Configurable"
"Configurable Product Image","Imagen configurable del producto"
"Attribute '%s' used in configurable products","Campo ""%s"" utilizado en productos configurables"
"This attribute is used in configurable products","Este atributo se utiliza en productos configurables"
"Select Configurable Attributes","Seleccionar atributos configurables"
"Configure Product","Configurar Producto"
"Copy From Configurable","Copiar desde Configurable"
"Product with this combination of attributes already associated to configurable.","El producto con esta combinación de atributos ya ha sido asociado a configurables."
"Scope must not be changed, because the attribute is used in configurable products.","No se puede cambiar el ámbito de aplicación, dado que el atributo se utiliza en productos configurables."
"This attribute is used in configurable products.","Este atributo se utiliza en productos configurables."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo se utiliza en productos configurables. No es posible eliminarlo del conjunto de atributos."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contiene atributos utilizados en productos configurables. Páselos a otro grupo y vuelva a intentarlo."
"Use To Create Configurable Product","Utilizar para crear producto configurable"
"Wrong product type to extract configurable options.","Tipo de producto incorrecto para extraer opciones configurables."
