"Configurable Product","Produto Configurável"
"Configurable Product Settings","Características do Produto Configurável"
"Configurable Product Image","Imagem Configurável de Produto"
"Attribute '%s' used in configurable products","Atributo '%s' usado em produtos configuráveis"
"This attribute is used in configurable products","Este atributo é utilizado em produtos configuráveis"
"Select Configurable Attributes","Selecionar Atributos Configuráveis"
"Configure Product","Configurar Produto"
"Copy From Configurable","Copiar de Configurável"
"Product with this combination of attributes already associated to configurable.","O produto com esta combinação de atributos já está associado aos configuráveis."
"Scope must not be changed, because the attribute is used in configurable products.","O limite não pode ser alterado, porque o atributo é usado em produtos configuráveis."
"Select Configurable Attributes ","Selecionar Atributos Configuráveis"
"This attribute is used in configurable products.","O atributo é usado em produtos configuráveis."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo é usado em produtos configuráveis​​. Você não pode removê-lo do conjunto de atributos."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contém atributos, usados ​​em produtos configuráveis. Por favor mova esses atributos para outro grupo e tente novamente."
"Use To Create Configurable Product","Use Para Criar Produto Configurável"
"Wrong product type to extract configurable options.","Tipo de produto errado para extrair opções configuráveis."
