"Configurable Product","Konfigurierbare Produkte"
"Configurable Product Settings","Konfigurierbare Produkteinstellungen"
"Configurable Product Image","Konfigurierbares Produktbild"
"This attribute is used in configurable products","Dieses Attribut wird für konfigurierbare Produkte verwendet"
"Attribute '%s' used in configurable products","Attribut '%s' wird für konfigurierbare Produkte verwendet"
"Select Configurable Attributes","Konfigurierbare Merkmale auswählen"
"Configure Product","Produkt konfigurieren"
"Copy From Configurable","Aus konfigurierbaren Produkteinstellungen kopieren"
"Product with this combination of attributes already associated to configurable.","Produktkombination mit diesen Attributen existiert bereits im konfigurierbaren Produkt."
"Scope must not be changed, because the attribute is used in configurable products.","Der Umfang darf nicht geändert werden, da dieses Attribut bei konfigurierbaren Produkten verwendet wird."
"This attribute is used in configurable products.","Das Attribut wurde in konfigurierbaren Produkten verwendet."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Diese Eigenschaft wird für konfigurierbare Produkte benötigt. Sie können sie nicht aus dem Eigenschaftenset entfernen."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Diese Gruppe enthält Eigenschaften, die für konfigurierbare Produkte benutzt werden. Bitte verschieben Sie diese Eigenschaften in eine andere Gruppe und versuchen Sie es noch einmal."
"Use To Create Configurable Product","Verwenden um konfigurierbares Produkt zu erstellen"
"Wrong product type to extract configurable options.","Falscher Produkt-Typ, um konfigurierbare Optionen zu extrahieren."

