"Configurable Product","Configureerbaar Product"
"Configurable Product Settings","Configureerbare Productinstellingen"
"Configurable Product Image","Instelbare productafbeelding"
"Attribute '%s' used in configurable products","Attribuut '%s' gebruikt in configureerbare producten"
"This attribute is used in configurable products","Dit attribuut wordt gebruikt in configureerbare producten"
"Select Configurable Attributes","Selecteer Configureerbare Attributen"
"Configure Product","Product instellen"
"Copy From Configurable","Kopieer Van Configureerbaar"
"Product with this combination of attributes already associated to configurable.","Product met deze combinatie van attributen is reeds geassocieerd met configureerbaar."
"Scope must not be changed, because the attribute is used in configurable products.","Reikwijdte moet niet veranderd worden, omdat de attribuut gebruikt wordt door configureerbare producten."
"Select Configurable Attributes ","Selecteer Configureerbare Attributen"
"This attribute is used in configurable products.","Dit kenmerk wordt gebruikt in configureerbare producten."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Dit attribuut wordt gebruikt in configureerbare producten. U kunt het niet verwijderen uit de attributenreeks."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Deze groep bevat attributen die gebruikt worden in configureerbare producten. Verplaats deze attributen naar een andere groep en probeer het opnieuw."
"Use To Create Configurable Product","Gebruik Om Configureerbaar Product Te Creëren"
"Wrong product type to extract configurable options.","Verkeerd producttype om configureerbare opties van af te nemen."
