All,Alle
Cancel,Abbrechen
"Create Order","Bestellung anlegen"
Back,Zurück
Product,Produktname
Price,Preis
Quantity,Anzahl
ID,Produkt-ID
SKU,SKU
Configure,Konfigurieren
Customers,Kunden
"Shopping Cart",Warenkorb
No,No
Qty,Qty
Action,Aktion
Total,Gesamtbetrag
"No item specified.","Kein Objekt angegeben."
"Are you sure that you want to remove this item?","Sind Sie sicher, dass Sie den Eintrag überspringen wollen?"
Edit,Bearbeiten
Orders,Aufträge
"New Customers","Neue Kunden"
Customer,Kunde
"Grand Total",Gesamtbetrag
"Lifetime Sales",Gesamteinnahmen
"All Store Views","Alle Ansichten des Geschäfts"
"My Account","Mein Konto"
"Account Information",Kontoinformationen
"First Name",Vorname
"Last Name",Nachname
Email,E-Mail
"New Password","Neues Passwort"
"Delete File","Delete File"
Delete,Löschen
Save,Speichern
Store,Shop
"-- Please Select --","-- Please Select --"
Yes,Yes
"Web Site","Web Site"
Name,Name
Status,Status
"Save and Continue Edit","Speichern und Bearbeitung fortsetzen"
"Store View",Store-Ansicht
Type,Typ
Submit,Senden
"You deleted the customer.","You deleted the customer."
"IP Address","IP Adresse"
Order,"Bestellung #"
"Customer View",Kundenansicht
"Personal Information","Persönliche Informationen"
View,Anzeigen
"* Required Fields","* Notwendige Felder"
Day,Tag
Month,Monat
Year,Jahr
label,label
Global,Global
Change,Change
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Customer Group",Kundengruppe
"End Date","Newsletter Ende"
"Customer Groups",Kundengruppen
Country,Land
State/Province,Staat/Provinz
"Please select region, state or province","Bitte Region, Staat oder Provinz auswählen"
City,Stadt
"Zip/Postal Code",Postleitzahl
"Email Address",E-Mail-Adresse
Company,Firma
"VAT Number",MwSt.-Nummer
Address,Adresse
"Street Address","Adresse Strasse"
"Street Address %1","Street Address %1"
Telephone,Telephone
Fax,Fax
Password,Passwort
"Confirm Password","Passwort bestätigen"
Login,Einloggen
"Forgot Your Password?","Passwort vergessen?"
Register,Register
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Contact Information",Kontaktinformation
"Log Out",Abmelden
"Log In",Anmelden
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You are currently not subscribed to our newsletter.","Sie sind momentan nicht für unseren Newsletter angemeldet."
"You have not set a default shipping address.","Sie haben keine Standard-Versandadresse angegeben."
"You have not set a default billing address.","Sie haben keine Standard-Rechnungsadresse angegeben."
"Address Book",Adressbuch
"Edit Address","Adresse bearbeiten"
"Add New Address","Neue Adresse hinzufügen"
region,region
"Add New Customer","Neuen Kunden hinzufügen"
"Save Customer","Kunden speichern"
"Delete Customer","Kunden löschen"
"Reset Password","Reset Password"
"New Customer","Neuer Kunde"
"or ","or "
" Send auto-generated password"," Send auto-generated password"
"Please select","Bitte auswählen"
"Send Welcome Email","Willkommen eMail senden"
"Send From","Senden von"
"Send Welcome Email after Confirmation","Willkommen eMail nach Bestätigung senden"
"Delete Address","Adresse löschen"
"Edit Customer's Address","Kundenadresse bearbeiten"
"Shopping Cart from %1","Shopping Cart from %1"
"Newsletter Information","Newsletter Information"
"Subscribed to Newsletter","Subscribed to Newsletter"
"Last Date Subscribed","Last Date Subscribed"
"Last Date Unsubscribed","Zuletzt gekündigt"
"No Newsletter Found","Kein Newsletter gefunden"
"Start date","Start date"
"Receive Date","Newsletter empfangen"
Subject,Betreff
Sent,Gesendet
"Not Sent","Nicht gesendet"
Sending,"Wird gesendet"
Paused,Pausiert
Unknown,Unbekannt
"Purchase Date","Gekauft bei"
"Bill-to Name","Rechnung auf Namen"
"Ship-to Name","Ship-to Name"
"Order Total","Gesamtsumme Bestellung"
"Purchase Point","Gekauft von"
Never,Niemals
Offline,Offline
Confirmed,Bestätigt
"Confirmation Required","Confirmation Required"
"Confirmation Not Required","Confirmation Not Required"
Indeterminate,Indeterminate
"The customer does not have default billing address.","Der Kunde hat keine Standard-Rechnungsadresse."
"Recent Orders","Letzte Bestellungen"
"Shopping Cart - %1 item(s)","Shopping Cart - %1 item(s)"
"Shopping Cart of %1 - %2 item(s)","Shopping Cart of %1 - %2 item(s)"
"Wishlist - %1 item(s)","Wishlist - %1 item(s)"
"There are no items in customer's shopping cart at the moment","Es gibt momentan keine Artikel im Kundenwarenkorb"
"Shipped-to Name","Shipped-to Name"
"Deleted Stores","Stores löschen"
"There are no items in customer's wishlist at the moment","Momentan gibt es keine Artikel auf dem Wunschzettel des Kunden"
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Days in Wish List"
"Customer Information",Konteninformation
Addresses,Adressen
Wishlist,Wunschzettel
Newsletter,Newsletter
"Product Reviews",Produktreviews
Download,Download
