All,Todos
Cancel,Cancelar
"Create Order","Criar Pedido"
Back,Voltar
Product,"Nome do produto"
Price,Preço
Quantity,Quant.
ID,"ID do Produto"
SKU,"Unidade de Manutenção de Estoque"
Configure,Configurar
Customers,Clientes
"Shopping Cart","Carrinho de compras"
No,No
Qty,Qty
Action,Ação
Total,Total
"No item specified.","Nenhum item especificado."
"Are you sure that you want to remove this item?","Tem certeza de que deseja remover este item?"
Edit,Editar
Orders,Ordens
"New Customers","Novos clientes"
Customer,Cliente
"Grand Total","Total geral"
"Lifetime Sales","Vendas de Vida Inteira"
"All Store Views","Todas as Visualizações da Loja"
"My Account","Minha Conta"
"Account Information","Informações da Conta"
"First Name","Primeiro nome"
"Last Name","Último nome"
Email,E-mail
"New Password","Nova senha"
"Delete File","Delete File"
Delete,Excluir
Save,Salvar
Store,Loja
"-- Please Select --","-- Please Select --"
Yes,Yes
"Web Site","Web Site"
Name,Nome
Status,Status
"Save and Continue Edit","Salvar e continuar a editar"
"Store View","Visualização da loja"
Type,Tipo
Submit,Enviar
"You deleted the customer.","You deleted the customer."
"IP Address","Endereço de IP"
Order,"Ordem #"
"Customer View","Visualização do cliente"
"Personal Information","Informações pessoais"
View,Ver
"* Required Fields","* Campos obrigatórios"
Day,Dia
Month,Mês
Year,Ano
label,label
Global,Global
Change,Change
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Customer Group","Grupo de Clientes"
"End Date","Final de boletim informativo"
"Customer Groups","Grupos do cliente"
Country,País
State/Province,Estado/Província
"Please select region, state or province","Selecione a região, estado ou província"
City,Cidade
"Zip/Postal Code","Zip/Código Postal"
"Email Address","Endereço de e-mail"
Company,Companhia
"VAT Number","Número VAT"
Address,Endereço
"Street Address","Endereço da rua"
"Street Address %1","Street Address %1"
Telephone,Telephone
Fax,Fax
Password,Senha
"Confirm Password","Confirmar a senha"
Login,Conectar-se
"Forgot Your Password?","Esqueceu a senha?"
Register,Register
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Contact Information","Informações de contato"
"Log Out",Sair
"Log In",Entrar
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You are currently not subscribed to our newsletter.","Você ainda não assinou o nosso boletim informativo."
"You have not set a default shipping address.","Você não definiu um endereço de envio."
"You have not set a default billing address.","Você não configurou um endereço de faturamento padrão."
"Address Book","Livro de Endereços"
"Edit Address","Editar endereço"
"Add New Address","Adicionar Novo Endereço"
region,region
"Add New Customer","Adicionar Novo Cliente"
"Save Customer","Salvar cliente"
"Delete Customer","Excluir Cliente"
"Reset Password","Reset Password"
"New Customer","Novo Cliente"
"or ","or "
" Send auto-generated password"," Send auto-generated password"
"Please select","Favor selecionar"
"Send Welcome Email","Enviar e-mail de boas-vindas"
"Send From","Enviar De"
"Send Welcome Email after Confirmation","Enviar e-mail de boas-vindas após confirmação"
"Delete Address","Apagar endereço"
"Edit Customer's Address","Editar o endereço do cliente"
"Shopping Cart from %1","Shopping Cart from %1"
"Newsletter Information","Informações de boletim à imprensa"
"Subscribed to Newsletter","Subscribed to Newsletter"
"Last Date Subscribed","Last Date Subscribed"
"Last Date Unsubscribed","Última Data de Cancelamento"
"No Newsletter Found","Nenhum boletim informativo foi encontrado"
"Start date","Start date"
"Receive Date","Boletim informativo recebido"
Subject,Assunto
Sent,Enviado
"Not Sent","Não Enviado"
Sending,Enviando
Paused,Parado.
Unknown,Desconhecido
"Purchase Date","Comprados Na"
"Bill-to Name","Faturar para Nome"
"Ship-to Name","Ship-to Name"
"Order Total","Total do Pedido"
"Purchase Point","Comprado De"
Never,Nunca
Offline,Offline
Confirmed,Confirmado
"Confirmation Required","Confirmation Required"
"Confirmation Not Required","Confirmation Not Required"
Indeterminate,Indeterminate
"The customer does not have default billing address.","O cliente não tem endereço de cobrança predefinido."
"Recent Orders","Pedidos Recentes"
"Shopping Cart - %1 item(s)","Shopping Cart - %1 item(s)"
"Shopping Cart of %1 - %2 item(s)","Shopping Cart of %1 - %2 item(s)"
"Wishlist - %1 item(s)","Wishlist - %1 item(s)"
"There are no items in customer's shopping cart at the moment","Não há itens no carrinho de compras do cliente no momento"
"Shipped-to Name","Shipped-to Name"
"Deleted Stores","Excluir Lojas"
"There are no items in customer's wishlist at the moment","No momento não há itens na lista de desejos do cliente"
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Days in Wish List"
