All,Alles
Cancel,Annuleren
"Create Order","Maak Bestelling Aan"
Back,Terug
Product,Productnaam
Price,Prijs
Quantity,Hoeveelheid
ID,"Product Identificatie"
SKU,SKU
Configure,Configureren
Customers,Klanten
"Shopping Cart",Winkelmandje
No,No
Qty,Qty
Action,Actie
Total,Totaal
"No item specified.","Geen artikel gespecificeerd."
"Are you sure that you want to remove this item?","Weet u zeker dat u dit item wilt verwijderen?"
Edit,Bewerken
Orders,Bestellingen
"New Customers","Nieuwe Klanten"
Customer,Klant
"Grand Total",Totaal
"Lifetime Sales","Lifetime Verkopen"
"All Store Views","Alle Winkelbezichtigingen"
"My Account","Mijn account"
"Account Information",Accountinformatie
"First Name",Voornaam
"Last Name",Achternaam
Email,Email
"New Password","Nieuw Wachtwoord"
"Delete File","Delete File"
Delete,Verwijderen
Save,Opslaan
Store,Winkel
"-- Please Select --","-- Please Select --"
Yes,Yes
"Web Site","Web Site"
Name,Naam
Status,Status
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Store View","Aanblik winkel"
Type,Type
Submit,Bevestig
"You deleted the customer.","You deleted the customer."
"IP Address","IP Adres"
Order,"Bestelling #"
"Customer View","Klant View"
"Personal Information","Persoonlijke Informatie"
View,Bekijk
"* Required Fields","* Vereiste velden"
Day,Dag
Month,Maand
Year,Jaar
label,label
Global,Wereldwijd
Change,Change
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Customer Group",Klantgroep
"End Date","Nieuwsbrief Eind"
"Customer Groups",Klantgroepen
Country,Land
State/Province,Staat/Provincie
"Please select region, state or province","Selecteer a.u.b. uw provincie"
City,Stad
"Zip/Postal Code",Zip/Postcode
"Email Address",e-mailadres
Company,Bedrijf
"VAT Number","BTW nummer"
Address,Adres
"Street Address","Adres straat"
"Street Address %1","Street Address %1"
Telephone,Telephone
Fax,Fax
Password,Wachtwoord
"Confirm Password","Bevestig wachtwoord"
Login,"Log in"
"Forgot Your Password?","Uw Wachtwoord Vergeten?"
Register,Register
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Contact Information","Contact Informatie"
"Log Out",Uitloggen
"Log In",Inloggen
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You are currently not subscribed to our newsletter.","U staat niet ingeschreven voor onze nieuwsbrief."
"You have not set a default shipping address.","U heeft geen standaard verzendingsadres ingesteld."
"You have not set a default billing address.","U heeft geen standaard facturatieadres ingesteld."
"Address Book",Adresboek
"Edit Address","Adres bewerken"
"Add New Address","Nieuw adres toevoegen"
region,region
"Add New Customer","Nieuwe klant toevoegen"
"Save Customer","Sla klant op"
"Delete Customer","Verwijder Klant"
"Reset Password","Reset Password"
"New Customer","Nieuwe Klant"
"or ","or "
" Send auto-generated password"," Send auto-generated password"
"Please select",Selecteer
"Send Welcome Email","Verzend Welkomstemail"
"Send From","Verzend Van"
"Send Welcome Email after Confirmation","Stuur een Welkomst E-mail na Confirmatie"
"Delete Address","Verwijder Adres"
"Edit Customer's Address","Bewerk Klant Adres"
"Shopping Cart from %1","Shopping Cart from %1"
"Newsletter Information","Nieuwsbrief Informatie"
"Subscribed to Newsletter","Subscribed to Newsletter"
"Last Date Subscribed","Last Date Subscribed"
"Last Date Unsubscribed","Laatste Niet Ingeschreven Datum"
"No Newsletter Found","Geen Nieuwsbrief Gevonden"
"Start date","Start date"
"Receive Date","Nieuwsbrief Ontvangen"
Subject,Onderwerp
Sent,Verzonden
"Not Sent","Niet verstuurd"
Sending,Verzenden
Paused,Gepauzeerd
Unknown,Onbekend
"Purchase Date","Gekocht bij"
"Bill-to Name","Bon op naam"
"Ship-to Name","Ship-to Name"
"Order Total","Totaal Bestelling"
"Purchase Point","Gekocht van"
