All,Tous
Cancel,Annuler
"Create Order","Créer une commande"
Back,Retour
Product,"Nom du produit"
Price,Prix
Quantity,Qté
ID,"Identifiant du produit"
SKU,SKU
Configure,Configurer
Customers,Clients
"Shopping Cart",Panier
No,No
Qty,Qty
Action,Action
Total,Total
"No item specified.","Pas d'objet spécifié"
"Are you sure that you want to remove this item?","Etes-vous sûr de vouloir supprimer cet objet ?"
Edit,Modifier
Orders,Commandes
"New Customers","Nouveaux utilisateurs"
Customer,Client
"Grand Total","Total final"
"Lifetime Sales","Ventes à vie"
"All Store Views","Toutes les vues de la boutique"
"My Account","Mon compte"
"Account Information","Informations du compte"
"First Name",Prénom
"Last Name",Nom
Email,Email
"New Password","Nouveau mot de passe"
"Delete File","Delete File"
Delete,Supprimer
Save,Enregistrer
Store,Magasin
"-- Please Select --","-- Please Select --"
Yes,Yes
"Web Site","Web Site"
Name,Nom
Status,Statut
"Save and Continue Edit","Sauvegarder et continuer l'édition"
"Store View","Vue du magasin"
Type,Type
Submit,Soumettre
"You deleted the customer.","You deleted the customer."
"IP Address","Adresse IP"
Order,"Commande n°"
"Customer View","Voir le client"
"Personal Information","Information personnelle"
View,Vue
"* Required Fields","* Champs obligatoires"
Day,Jour
Month,Mois
Year,Année
label,label
Global,Global
Change,Change
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Customer Group","Groupe du client"
"End Date","Fin de la lettre d'informations"
"Customer Groups","Groupes de clients"
Country,Pays
State/Province,Etat/pays
"Please select region, state or province","Veuillez sélectionner la région, l'état et le pays"
City,Ville
"Zip/Postal Code","Code postal"
"Email Address","Adresse email"
Company,Société
"VAT Number","Numéro TVA"
Address,Adresse
"Street Address","Adresse postale"
"Street Address %1","Street Address %1"
Telephone,Telephone
Fax,Fax
Password,"Mot de passe"
"Confirm Password","Confirmez le mot de passe"
Login,Identifiant
"Forgot Your Password?","Mot de passe oublié?"
Register,Register
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Contact Information","Informations de contact"
"Log Out",Déconnexion
"Log In",Connexion
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You are currently not subscribed to our newsletter.","Vous n'êtes pas actuellement abonné à notre lettre d'informations."
"You have not set a default shipping address.","Vous n'avez pas défini d'adresse de facturation par défaut."
"You have not set a default billing address.","Vous n'avez pas défini d'adresse de facturation par défaut."
"Address Book","Carnet d'adresses"
"Edit Address","Éditer l'adresse"
"Add New Address","Ajouter une nouvelle adresse"
region,region
"Add New Customer","Ajouter un nouvel utilisateur"
"Save Customer","Enregistrer le client"
"Delete Customer","Supprimer le client"
"Reset Password","Reset Password"
"New Customer","Nouvel utilisateur"
"or ","or "
" Send auto-generated password"," Send auto-generated password"
"Please select","Veuillez sélectionner"
"Send Welcome Email","Envoyer l'e-mail de bienvenue"
"Send From","Envoyer depuis"
"Send Welcome Email after Confirmation","Envoyer l'e-mail de bienvenue après confirmation"
"Delete Address","Supprimer l'adresse"
"Edit Customer's Address","Éditer l'adresse du client"
"Shopping Cart from %1","Shopping Cart from %1"
"Newsletter Information","Information de la lettre"
"Subscribed to Newsletter","Subscribed to Newsletter"
"Last Date Subscribed","Last Date Subscribed"
"Last Date Unsubscribed","Dernière date de désinscription"
"No Newsletter Found","Aucune lettre d'information trouvée"
"Start date","Start date"
"Receive Date","Lettre d'informations reçue"
Subject,Sujet
Sent,Envoyé
"Not Sent","Non envoyé"
Sending,Envoi
Paused,"En pause"
Unknown,Inconnu
"Purchase Date","Commandé via"
"Bill-to Name","Facture au nom"
"Ship-to Name","Ship-to Name"
"Order Total","Total de la commande"
"Purchase Point","Acheté à"
Never,Jamais
Offline,"Hors ligne"
Confirmed,Confirmé
"Confirmation Required","Confirmation Required"
"Confirmation Not Required","Confirmation Not Required"
Indeterminate,Indeterminate
"The customer does not have default billing address.","L'utilisateur ne dispose pas d'une adresse de facturation par défaut."
"Recent Orders","Commandes récentes"
"Shopping Cart - %1 item(s)","Shopping Cart - %1 item(s)"
"Shopping Cart of %1 - %2 item(s)","Shopping Cart of %1 - %2 item(s)"
"Wishlist - %1 item(s)","Wishlist - %1 item(s)"
"There are no items in customer's shopping cart at the moment","Il n'y a pas d'objets dans le panier d'utilisateur"
"Shipped-to Name","Shipped-to Name"
"Deleted Stores","Magasins supprimés"
"There are no items in customer's wishlist at the moment","Il n'y a pas d'objets dans la liste de voeux de l'utilisateur"
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Days in Wish List"
"Customer Information","Information sur le client"
Addresses,Adresses
Wishlist,"Liste de cadeaux"
Newsletter,Newsletter
"Product Reviews","Avis sur le produit"
Download,Download
"Delete Image","Delete Image"
"View Full Size","View Full Size"
"All countries","Tous les pays"
"Add New Customer Group","Ajouter un nouveau groupe d'utilisateurs"
"Save Customer Group","Enregistrer le groupe de clients"
"Delete Customer Group","Supprimer le groupe de client"
"New Customer Group","Nouveau groupe d'utilisateurs"
"Edit Customer Group ""%1""","Edit Customer Group ""%1"""
"Group Information","Informations sur le groupe"
"Group Name","Nom du groupe"
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Tax Class","Classe d'impôt"
"Customers Only","Clients seulement"
"Visitors Only","Visiteurs uniquement"
Visitor,Visiteur
"The customer is currently assigned to Customer Group %s.","Le client appartient actuellement au Groupe de clients %s."
"Would you like to change the Customer Group for this order?","Souhaitez-vous modifier le Groupe de clients pour cette commande ?"
"The VAT ID is valid. The current Customer Group will be used.","Le numéro de TVA est valide. Le Groupe de clients en cours va être utilisé."
"Based on the VAT ID, ' 'the customer would belong to the Customer Group %s.","Based on the VAT ID, ' 'the customer would belong to the Customer Group %s."
"The VAT ID entered (%s) is not a valid VAT ID. ' 'The customer would belong to Customer Group %s.","The VAT ID entered (%s) is not a valid VAT ID. ' 'The customer would belong to Customer Group %s."
"There was an error validating the VAT ID. ' 'The customer would belong to Customer Group %s.","There was an error validating the VAT ID. ' 'The customer would belong to Customer Group %s."
"There was an error validating the VAT ID.","Une erreur est apparue lors de la validation du numéro de TVA."
"Validate VAT Number","Valider le numéro de TVA"
"Customer Login","Login du client"
"Create New Customer Account","Créer un nouveau compte client"
"This account is not confirmed.' ' <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed.' ' <a href=""%1"">Click here</a> to resend confirmation email."
"Invalid login or password.","Login ou mot de passe invalide"
"There was an error validating the login and password.","There was an error validating the login and password."
"Login and password are required.","Le nom d'utilisateur et le mot de passe sont requis."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%1"">click here</a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"Cannot save the customer.","Impossible d'enregistrer le client."
"Thank you for registering with %1.","Thank you for registering with %1."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you shipping address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you shipping address for proper VAT calculation"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you billing address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you billing address for proper VAT calculation"
"Bad request.","Requête invalide."
"This confirmation key is invalid or has expired.","This confirmation key is invalid or has expired."
"There was an error confirming the account","There was an error confirming the account"
"Please, check your email for confirmation key.","Veuillez vérifier vos emails pour la clé de confirmation."
"This email does not require confirmation.","Cet email ne nécessite pas de confirmation."
"Wrong email.","Mauvaise adresse email."
"Please correct the email address.","Please correct the email address."
"Unable to send password reset email.","Unable to send password reset email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"Please enter your email.","Veuillez entrer votre adresse email."
"Your password reset link has expired.","Votre lien de réinitialisation de mot de passe a expiré."
"New Password and Confirm New Password values didn't match.","New Password and Confirm New Password values didn't match."
"New password field cannot be empty.","Le champ nouveau mot de passe ne peut pas être vide."
"Your password has been updated.","Votre mot de passe a été mis à jour."
"There was an error saving the new password.","There was an error saving the new password."
"A problem was encountered trying to change password.","A problem was encountered trying to change password."
"Confirm your new password","Confirm your new password"
"Invalid input","Invalid input"
"The account information has been saved.","Les informations du compte ont été sauvegardées."
"The address has been saved.","L'adresse a été enregistrée."
