All,Todo
Cancel,Cancelar
"Create Order","Crear pedido"
Back,Volver
Product,"Nombre del producto"
Price,Precio
Quantity,Cantidad
ID,"ID de Producto"
SKU,SKU
Configure,Configurar
Customers,Clientes
"Shopping Cart","Cesta de la Compra"
No,No
Qty,Qty
Action,Acción
Total,Total
"No item specified.","No es especificaron artículos."
"Are you sure that you want to remove this item?","¿Está seguro de que desea eliminar este artículo?"
Edit,Editar
Orders,Pedidos
"New Customers","Nuevos Clientes"
Customer,Cliente
"Grand Total","Suma total"
"Lifetime Sales","Ventas de por vida"
"All Store Views","Todas las vistas de tienda"
"My Account","Mi cuenta"
"Account Information","Información de Cuenta"
"First Name",Nombre
"Last Name",Apellido
Email,"Correo electrónico"
"New Password","Nueva contraseña"
"Delete File","Delete File"
Delete,Eliminar
Save,Guardar
Store,Tienda
"-- Please Select --","-- Please Select --"
Yes,Yes
"Web Site","Web Site"
Name,Nombre
Status,Estado
"Save and Continue Edit","Guardar y continuar editando"
"Store View","Ver Tienda"
Type,Tipo
Submit,Enviar
"You deleted the customer.","You deleted the customer."
"IP Address","Dirección IP"
Order,"Número de pedido"
"Customer View","Vista de cliente"
"Personal Information","Información Personal"
View,Ver
"* Required Fields","* Campos Requeridos"
Day,Día
Month,Mes
Year,Año
label,label
Global,Global
Change,Change
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Customer Group","Grupo de Clientes"
"End Date","Fin del boletín informativo"
"Customer Groups","Grupos de Cliente"
Country,País
State/Province,Estado/Provincia
"Please select region, state or province","Por favor, seleccionar región, estado o provincia"
City,Ciudad
"Zip/Postal Code","Código Postal"
"Email Address","Dirección de email"
Company,Compañía
"VAT Number","Número de IVA"
Address,Dirección
"Street Address","Dirección de Calle"
"Street Address %1","Street Address %1"
Telephone,Telephone
Fax,Fax
Password,Contraseña
"Confirm Password","Confirma Contraseña"
Login,Entrar
"Forgot Your Password?","¿Ha olvidado la contraseña?"
Register,Register
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Contact Information","Información de Contacto"
"Log Out","Fin de sesión"
"Log In","Inicio de sesión"
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You are currently not subscribed to our newsletter.","Actualmente no está suscrito a nuestro boletín informativo."
"You have not set a default shipping address.","No ha establecido una dirección de envío predeterminada."
"You have not set a default billing address.","No ha establecido una dirección de facturación predeterminada."
"Address Book","Libreta de Direcciones"
"Edit Address","Cambiar la dirección"
"Add New Address","Añadir Nueva Dirección"
region,region
"Add New Customer","Agregar nuevo cliente"
"Save Customer","Guardar cliente"
"Delete Customer","Borrar cliente"
"Reset Password","Reset Password"
"New Customer","Nuevo cliente"
"or ","or "
" Send auto-generated password"," Send auto-generated password"
"Please select",Seleccione
"Send Welcome Email","Enviar mensaje de correo electrónico de bienvenida"
"Send From","Enviar Desde"
"Send Welcome Email after Confirmation","Enviar mensaje de correo electrónico de bienvenida después de la confirmación"
"Delete Address","Borrar Dirección"
"Edit Customer's Address","Editar dirección del cliente"
