category,name,sku,price,qty,description,features_bags,pattern,strap_bags,material,style_bags,activity,eco_collection,performance_fabric,erin_recommends,new,sale,special_price,attribute_set
"Gear
Bags","Joust Duffle Bag",24-MB01,34,100,"<p>The sporty Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.<p>
<ul>
<li>Dual top handles.</li>
<li>Adjustable shoulder strap.</li>
<li>Full-length zipper.</li>
<li>L 29"" x W 13"" x H 11"".</li>
</ul>","Waterproof
TSA Approved
Lockable",Solid,"Adjustable
Cross Body
Detachable
Double
Padded
Shoulder","Nylon
Polyester","Luggage
Duffel
Exercise","Gym
Travel
Trail
Overnight",,,,,,,Bag
"Gear
Bags
Collections
Erin Recommends","Strive Shoulder Pack",24-MB04,32,100,"<p>Convenience is next to nothing when your day is crammed with action. So whether you're heading to class, gym, or the unbeaten path, make sure you've got your Strive Shoulder Pack stuffed with all your essentials, and extras as well.</p>
<ul>
<li>Zippered main compartment.</li>
<li>Front zippered pocket.</li>
<li>Side mesh pocket.</li>
<li>Cell phone pocket on strap.</li>
<li>Adjustable shoulder strap and top carry handle.</li>
</ul>","Audio Pocket
Waterproof
Lightweight
Laptop Sleeve",Solid,"Adjustable
Cross Body
Padded
Shoulder
Single","Canvas
Cotton
Mesh
Polyester","Messenger
Exercise
Tote","Gym
Trail
Urban
Hiking",,,1,,1,32,Bag
"Gear
Bags","Crown Summit Backpack",24-MB03,38,100,"<p>The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.</p>
<ul>
<li>Top handle.</li>
<li>Grommet holes.</li>
<li>Two-way zippers.</li>
<li>H 20"" x W 14"" x D 12"".</li>
<li>Weight: 2 lbs, 8 oz. Volume: 29 L.</li>
<ul>","Audio Pocket
Waterproof
Lightweight
Reflective
Laptop Sleeve",Solid,"Adjustable
Double
Padded","Nylon
Polyester",Backpack,"Gym
Hiking
Overnight
School
Trail
Travel
Urban",,,,,,,Bag
"Gear
Bags
Collections
New Luma Yoga Collection","Wayfarer Messenger Bag",24-MB05,45,100,"<p>Perfect for class, work or the gym, the Wayfarer Messenger Bag is packed with pockets. The dual-buckle flap closure reveals an organizational panel, and the roomy main compartment has spaces for your laptop and a change of clothes. An adjustable shoulder strap and easy-grip handle promise easy carrying.</p>
<ul>
<li>Multiple internal zip pockets.</li>
<li>Made of durable nylon.</li>
</ul>","Waterproof
Lightweight
Reflective
Laptop Sleeve
Lockable",Solid,"Adjustable
Detachable
Double
Padded
Shoulder","Nylon
Polyester","Messenger
Laptop","Gym
Overnight
Travel",,,,1,,,Bag
"Gear
Bags
Collections
New Luma Yoga Collection","Rival Field Messenger",24-MB06,45,100,"<p>The Rival Field Messenger packs all your campus, studio or trail essentials inside a unique design of soft, textured leather - with loads of character to spare. Two exterior pockets keep all your smaller items handy, and the roomy interior offers even more space.</p>
<ul>
<li>Leather construction.</li>
<li>Adjustable fabric carry strap.</li>
<li>Dimensions: 18"" x 10"" x 4"".</li>
</ul>","Flapover
Lightweight
Laptop Sleeve",Solid,"Adjustable
Cross Body
Shoulder
Single","Leather
Nylon
Suede","Messenger
Laptop
Exercise","
Travel
Urban",,,,1,,,Bag
"Gear
Bags","Fusion Backpack",24-MB02,59,100,"<p>With the Fusion Backpack strapped on, every trek is an adventure - even a bus ride to work. That's partly because two large zippered compartments store everything you need, while a front zippered pocket and side mesh pouches are perfect for stashing those little extras, in case you change your mind and take the day off.</p>
<ul>
<li>Durable nylon construction.</li>
<li>2 main zippered compartments.</li>
<li>1 exterior zippered pocket.</li>
<li>Mesh side pouches.</li>
<li>Padded, adjustable straps.</li>
<li>Top carry handle.</li>
<li>Dimensions: 18"" x 10"" x 6"".</li>
</ul>","Hydration Pocket
Audio Pocket
Waterproof
Lightweight",Solid,"Adjustable
Double
Padded","Burlap
Nylon
Polyester","Backpack
Laptop","Hiking
School
Yoga",,,,,,,Bag
"Gear
Bags","Impulse Duffle",24-UB02,74,100,"<p>Good for beach trips, track meets, yoga retreats and more, the Impulse Duffle is the companion you'll want at your side. A large U-shaped opening makes packing a hassle-free affair, while a zippered interior pocket keeps jewelry and other small valuables safely tucked out of sight.</p>
<ul>
<li>Wheeled.</li>
<li>Dual carry handles.</li>
<li>Retractable top handle.</li>
<li>W 14"" x H 26"" x D 11"".</li>
</ul>","Wheeled
TSA Approved
Lockable
",Solid,"Adjustable
Double
Telescoping","Nylon
Polyester","
Luggage
Duffel","Gym
Overnight
Travel",,,,,,,Bag
"Gear
Bags","Voyage Yoga Bag",24-WB01,32,100,"<p>Everything you need for a trip to the gym will fit inside this surprisingly spacious Voyage Yoga Bag. Stock it with a water bottle, change of clothes, pair of shoes, and even a few beauty products. Fits inside a locker and zips shut for security.</p>
<ul>
<li>Slip pocket on front.</li>
<li>Contrast piping.</li>
<li>Durable nylon construction.</li>
</ul>","
Waterproof
Reflective
Lockable",Solid,"
Double
Shoulder","Nylon
Polyester","Exercise
Tote","Gym
Yoga",,,,,,,Bag
"Gear
Bags","Compete Track Tote",24-WB02,32,100,"<p>The Compete Track Tote holds a host of exercise supplies with ease. Stash your towel, jacket and street shoes inside. Tuck water bottles in easy-access external spaces. Perfect for trips to gym or yoga studio, with dual top handles for convenience to and from.<p>
<ul>
<li>Two-way zippers.</li>
<li>Contrast detailing.</li>
<li>W 22.0"" x H 17"" x D 10"".</li>
</ul>","Waterproof
Lightweight
Reflective",Solid,"Adjustable
Double
Shoulder","Nylon
Polyester
Rayon","Exercise
Tote","Gym
School
Yoga",,,,,,,Bag
"Gear
Bags
Collections
Erin Recommends","Savvy Shoulder Tote",24-WB05,32,100,"<p>Powerwalking to the gym or strolling to the local coffeehouse, the Savvy Shoulder Tote lets you stash your essentials in sporty style! A top-loading compartment provides quick and easy access to larger items, while zippered pockets on the front and side hold cash, credit cards and phone.</p>
<ul>
<li>Water-resistant shell.</li>
<li>Water bottle pocket.</li>
<li>Padded, articulating shoulder strap.</li>
<li>Dimensions: W 21"" x H 15"" x D 10"".</li>
</ul>","Audio Pocket
Lightweight",Solid,"Adjustable
Cross Body
Shoulder
Single",,"Exercise
Tote","Gym
Yoga",,,1,,1,24,Bag
"Gear
Bags
Collections
Erin Recommends","Endeavor Daytrip Backpack",24-WB06,33,100,"<p>With more room than it appears, the Endeavor Daytrip Backpack will hold a whole day's worth of books, binders and gym clothes. The spacious main compartment includes a dedicated laptop sleeve. Two other compartments offer extra storage space.</p>
<ul>
<li>Foam-padded adjustable shoulder straps.</li>
<li>900D polyester.</li>
<li>Oversized zippers.</li>
<li>Locker loop.</li>
</ul>","
Audio Pocket
Lightweight
Reflective
Laptop Sleeve
Lockable
",Color-Blocked,"Adjustable
Double
Padded","Mesh
Nylon
Polyester","Backpack
Laptop","Gym
Hiking
School
Urban",,,1,,1,33,Bag
