"Read Details","Lees details"
"Mark as Read","Markeer als gelezen"
"Are you sure?","Weet u het zeker"
Remove,Verwijderen
"Messages Inbox","Berichten inbox"
"You have %1 new system messages","You have %1 new system messages"
"You have %1 new system message","You have %1 new system message"
"Incoming Message","Incoming Message"
close,close
"Read details","Read details"
Notifications,Notificaties
"The message has been marked as Read.","The message has been marked as Read."
"We couldn't mark the notification as Read because of an error.","We couldn't mark the notification as Read because of an error."
"Please select messages.","Selecteer a.u.b. berichten"
"A total of %1 record(s) have been marked as Read.","A total of %1 record(s) have been marked as Read."
"The message has been removed.","Dit bericht is verwijderd"
"We couldn't remove the messages because of an error.","We couldn't remove the messages because of an error."
"Total of %1 record(s) have been removed.","Total of %1 record(s) have been removed."
"1 Hour","1 Hour"
"2 Hours","2 Hours"
"6 Hours","6 Hours"
"12 Hours","12 Hours"
"24 Hours","24 Hours"
critical,Kritisch
major,groot
minor,klein
notice,aankondiging
"Wrong message type","Wrong message type"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%1"">configuration</a>."
"One or more of the Cache Types are invalidated: %1. ","One or more of the Cache Types are invalidated: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Please go to <a href=""%1"">Cache Management</a> and refresh cache types."
"One or more media files failed to be synchronized during the media storages synchronization process. Refer to the log file for details.","One or more media files failed to be synchronized during the media storages synchronization process. Refer to the log file for details."
"Synchronization of media storages has been completed.","Synchronization of media storages has been completed."
"Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.","Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider."
"We appreciate our merchants' feedback. Please <a href=""#"" data-mage-init=%1>take our survey</a> and tell us about features you'd like to see in Magento.","We appreciate our merchants' feedback. Please <a href=""#"" data-mage-init=%1>take our survey</a> and tell us about features you'd like to see in Magento."
"Close popup","Close popup"
Close,Close
"Critical System Messages","Critical System Messages"
"Major System Messages","Major System Messages"
"System messages","System messages"
Notification,Notification
Cancel,Cancel
Acknowledge,Acknowledge
"See All (%1 unread)","See All (%1 unread)"
Actions,Acties
Message,Bericht
"Use HTTPS to Get Feed","Use HTTPS to Get Feed"
"Update Frequency","Update Frequency"
"Last Update","Last Update"
Severity,Zwaarheid
"Date Added","Datum toegevoegd"
