" or ","oder"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' ist offenbar ein DNS-Hostname, aber die Hauptdomäne (TLD) lässt sich nicht extrahieren."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","%value%' ist offenbar ein DNS-Hostname, aber die Hauptdomäne (TLD) lässt sich nicht unter den bekannten Einträgen finden."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","%value%' ist offenbar ein DNS-Hostname, aber die Hauptdomäne (TLD) entspricht keinem Hostnamen -Schema für TLD '%tld%'."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","%value%' ist offenbar ein DNS-Hostname mit einem Strich an einer ungültigen Stelle."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' scheint ein DNS-Hostname zu sein, aber die angegebene Punycode-Notation konnte nicht entschlüsselt werden."
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' scheint der Name eines lokalen Netzwerks zu sein. Namen lokaler Netzwerke sind allerdings nicht erlaubt."
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' scheint eine IP-Adresse zu sein. IP-Adressen sind allerdings nicht erlaubt."
"'%value%' does not appear to be a valid local network name","'%value%' scheint kein gültiger Name für ein lokales Netzwerk zu sein."
"* Required Fields","* Notwendige Felder"
"ALL GROUPS","ALLE GRUPPEN"
"Account Dashboard","Konto Dashboard"
"Account Information","Kontoinformationen"
"Account Sharing Options","Optionen zum Kontozugriff"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Sie müssen Ihr Konto zunächst bestätigen. Bitte überprüfen Sie Ihr Postfach, ob Sie den Bestätigungslink erhalten haben. Falls die Bestätigungsmail noch einmal gesendet werden soll, <a href=""%s"">klicken Sie bitte hier</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Sie müssen Ihr Konto zunächst bestätigen. Bitte überprüfen Sie Ihr Postfach, ob Sie den Bestätigungslink erhalten haben. Falls die Bestätigungsmail noch einmal gesendet werden soll, <a href=""%s"">klicken Sie bitte hier</a>."
"Action","Aktion"
"Add New Address","Neue Adresse hinzufügen"
"Add New Customer","Neuen Kunden hinzufügen"
"Add New Customer Group","Neue Kundengruppe hinzufügen"
"Added From","Hinzugefügt von"
"Additional Address Entries","Zusätzliche Einträge von Adressen"
"Address","Adresse"
"Address Book","Adressbuch"
"Address Books","Adressbücher"
"Address Information","Adressinformation"
"Address Templates","Adressvorlagen (Templates)"
"Addresses","Adressen"
"Admin","Admin"
"All","Alle"
