"-- Please select --","-Bitte wählen -"
"Allowed Currencies","Zulässige Währungen"
"Base Currency","Basiswährung"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Die Basiswährung wird für alle Online-Transaktionen verwendet. Der Spielraum richtet sich nach dem Spielraum des Katalogpreises (""Katalog"" > ""Preis"" > ""Spielraum Katalogpreis"")."
"Can\'t convert rate from ""%s-%s"".","Rate kann nicht von ""%s-%s"" konvertiert werden. 



"
"Cannot retrieve rate from %s.","Kurs von %s kann nicht abgefragt werden."
"Connection Timeout in Seconds","Verbindungstimeout in Sekunden"
"Continue &raquo;","&raquo; fortsetzen;"
"Country","Land"
"Country API","Land API"
"Country and Format Type combination should be unique","Die Kombination aus Land und Formattyp sollte unverwechselbar sein"
"Currency","Währung"
"Currency Options","Währung Optionen"
"Currency Setup","Währung Setup"
"Currency Update Warnings","Währung Aktualisierung Warnungen"
"Default Display Currency","Angezeigte Standardwährung"
"Directory","Verzeichnis"
"Display not required State","Anzeige nicht erforderlich Status"
"Enabled","Aktiviert"
"Error Email Recipient","Fehler E-Mail Empfänger"
"Error Email Sender","Fehler E-Mail Absender"
"Error Email Template","Fehler E-Mail Vorlage"
"FATAL ERROR:","SCHWERWIEGENER FEHLER:"
"Frequency","Frequenz"
"Installed Currencies","Installierte Währungen"
"Invalid Import Service specified.","Ungültiger Importservice gewählt."
"Invalid country code: %s","Ungültiger Länder-Code: %s"
"Invalid rates received","Ungültige Kurse erhalten"
"Invalid target currency.","Ungültige Zielwährung."
"List of countries","Länderverzeichnis"
"List of regions in specified country","Liste der Regionen in einem gewählten Land"
"Postal Code is Optional for the following countries","Für folgende Länder ist die Postleitzahl optional"
"Region","Region"
"Region API","Region API"
"Scheduled Import Settings","Geplanter Import Einstellungen"
"Select Your Currency","Wählen Sie Ihr Land aus"
"Service","Service"
"Start Time","Startzeit"
"State is required for","Status ist erforderlich für"
"State/Province","Bundesstaat/ Provinz"
"States Options","Status-Optionen"
"Unable to initialize the import model.","Import-Model konnte nicht initialisiert werden."
"Undefined rate from ""%s-%s"".","Nicht definierter Satz von ""%s-%s""."
"WARNING:","WARNUNG:"
"Webservicex","Webservicex"
"Your current currency is: %s","Ihre aktuelle Währung ist: %s"
