"Access denied.","Acceso denegado"
"Client Session Timeout (sec.)","Plazo límite de la sesión cliente (seg.)"
"Default Response Charset","Conjunto de caracteres de respuesta por omisión"
"Email","Correo electrónico"
"General Settings","Opciones generales"
"Invalid webservice adapter specified.","Adaptador de servicio web especificado inválido"
"Invalid webservice handler specified.","Controlador de servicio web especificado inválido"
"Magento Core API","API del núcleo de Magento"
"Magento Core API Section","Apartado de la API (interfaz de programación de aplicaciones) del núcleo de Magento"
"Roles","Roles"
"Unable to login.","No es posible entrar al sistema."
"User Name","Nombre de usuario"
"Users","Usuarios"
"WS-I Compliance","Conformidad con WS-I"
"Web Services","Servicios web"
"Your account has been deactivated.","Se ha desactivado su cuenta."
