"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","Foram desativadas as Regras de Preço do Catálogo %d baseadas no atributo ""%s""."
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar nova regra"
"An error occurred while deleting the rule. Please review the log and try again.","Ocorreu um erro ao apagar a regra. Reveja o relatório e tente novamente."
"An error occurred while saving the rule data. Please review the log and try again.","Ocorreu um erro ao salvar os dados da regra. Reveja o relatório e tente novamente."
"Apply","Solicitar"
"Apply Rules","Aplicar Regras"
"Attribute Set","Conjunto de Atributos"
"By Fixed Amount","Por Quantia Fixa"
"By Percentage of the Original Price","Por Percentagem do Preço Original"
"Catalog","Catálogo"
"Catalog Price Rule","Regra de Preço de Catálogo"
"Catalog Price Rules","Regras de Preço do Catálogo"
"Category","Categoria"
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixar em branco para todos os produtos)"
"Conditions Combination","Combinação de condições"
"Customer Groups","Grupos do cliente"
"Date Expire","Vencimento"
"Date From","Data Inicial"
"Date Start","Data Inicial"
"Date To","Data Final"
"Description","Descrição"
"Discount Amount","Quantia de Desconto"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar regra ""s%"""
"Enable Discount to Subproducts","Habilitar Desconto para Subprodutos"
"Expiration Date","Data de Validade"
"From Date","A Partir da Data"
"General Information","Informações gerais"
"ID","Identidade"
"Inactive","Inativo"
"New Rule","Nova Regra"
"No","Não"
"Options","Opções"
"Priority","Prioridade"
"Product Attribute","Atributo de Produto"
"Promotions","Promoções"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Save and Apply","Salvar e Aplicar"
"Save and Continue Edit","Salvar e continuar a editar"
"Start Date","Data de início"
"Status","Status"
"Stop Further Rules Processing","Parar Outras Regras de Processamento"
"The rule has been deleted.","A regra foi apagada."
"The rule has been saved.","A regra foi salva."
"The rules have been applied.","As regras foram aplicadas."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Existem regras que foram alteradas, mas não aplicadas. Somente usuários com acesso exclusivo podem aplicar as regras."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Existem regras que foram alteradas mas não foram aplicadas. Por favor, clique em Aplicar Regras para ver o efeito imediato no catálogo."
"This rule no longer exists.","Essa regra não existe mais."
"To Date","Até a Data Atual"
"To Fixed Amount","Para um Valor Fixo"
"To Percentage of the Original Price","Para uma Porcentagem do Preço Original"
"Type","Tipo"
"Unable to apply rules.","Incapaz de aplicar as regras."
"Unable to find a rule to delete.","Incapaz de encontrar uma regra para excluir."
"Update Prices Using the Following Information","Atualizar preços usando as seguintes informações"
"Update product's %s %s: %s","Atualização dos produtos %s %s: %s"
"Website","Website"
"Websites","Sites"
"Wrong rule specified.","Especificação de regra incorreta."
"Yes","Sim"
