" in rows: ","en ligne :"
"-- Please Select --","-- Veuillez sélectionner --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","L'adaptateur doit être une instance de Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","Le type d'adaptateur doit être une variable non vide"
"Can not determine attribute filter type","N'a pas pu déterminer le type de filtre d'attribut"
"Can not find required columns: ","N'a pas pu trouver les colonnes requises :"
"Can not get autoincrement value","N'a pas pu obtenir la valeur"
"Check Data","Vérifier données"
"Column names have duplicates","Il y a des noms de colonne en double"
"Column names is empty or is not an array","Le nom de la colonne est vide, ou invalide"
"Column names: ""%s"" are invalid","Noms des colonnes : ""%s"" est invalide"
"Continue","Continuer"
"Data is invalid or file is not uploaded","Donnée invalide ou fichier non soumis;"
"Destination directory is not writable","Le répertoire de destination n'est pas accessible en écriture"
"Destination file is not writable","Le fichier de destination n'est pas accessible en écriture"
"Destination file path must be a string","Le répertoire de destination du fichier doit être une variable"
"Entity Attributes","Attributs de l'entité"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","L'objet adaptateur doit être une isntance de Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entitée inconnue"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Le type de modèle de l'entité doit être une instance de Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Le type de modèle de l'entité doit être une instance de Mage_ImportExport_Model_Import_Entity_Abstract"
"Error in data structure: behaviors are mixed","Erreur dans la structure des données : les comportements sont mélangés"
"Error in data structure: entity codes are mixed","Erreur dans la structure des données : les codes d'entité sont mélangés"
"Export","Exporter"
"Export FAQ","Exporter FAS"
"FAQ","FAQ"
"File does not contain data. Please upload another one","Le fichier ne contient pas de donné. Veuillez en soumettre un nouveau"
"File format is unknown","Format de fichier inconnu"
"File is partially valid, but import is not possible","Le fichier est partiellement valide, mais l'importation est impossible"
"File is totally invalid. Please fix errors and re-upload file","Le fichier est totalement invalide. Veuillez corriger les erreurs et soumettre à nouveau le fichier"
"File is valid! To start import process press ""Import"" button","Fichier valide ! Pour lancer le processus d'importation, appuyez sur le bouton ""Importer"""
"File is valid, but import is not possible","Le fichier est valide, mais l'importation n'est pas possible"
"Header column names already set","Noms de colonnes déjà fixés"
"Import","Importation"
"Import / Export FAQ (Frequently Asked Questions)","Importer / Exporter FAQ (Foire Aux Questions)"
"Import FAQ","Importer FAQ"
"Import successfully done.","Importation effectuée avec succès"
"Import/Export","Importer / Exporter"
"In/Out","Entré/sortie"
"Input entity code is not equal to entity adapter code","Le code d'entité ne correspond pas au code d'entité adaptateur"
"Invalid entity","Entité invalide"
"Invalid file format","Format de fichier invalide"
"Invalid parameters","Paramètres invalides"
"Invalid seek position","Position de recherche invalide"
"Invalid value for '%s'","Valeur invalide pour '%s'"
"No filter data provided","Pas de filtre de données fourni"
"No source specified","Pas de source spécifiée"
"No valid data sent","Pas de donnée valide envoyée"
"No writer specified","Pas d'auteur spécifié"
"Node does not has model token tag","Le voyant n'a pas de tag modèle"
"Not implemented yet","Pas encore implémenté"
"Please fix errors and re-upload file","Veuillez corriger les erreurs et soumettre à nouveau le fichier"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Veuillez corriger les erreurs et retélécharger le fichier ou appuyez simplement sur le bouton ""Importer"" pour sauter les lignes avec des erreurs"
"Some other FAQ","Autres FAQ"
"Source file moving failed","Le déplacement du fichier source a échoué"
"Source file path must be a string","Le chemin d'accès du fichier source doit être une chaîne"
"Source is not set","La source n'est pas définie"
"Status","Statut"
"System busy","Le système est occupé"
"There are no product types available for export","Il n'y a aucun type de produit disponible pour l'exportation"
"Total size of uploadable files must not exceed %s","La taille totale des fichirs ne doit pas dépasser %s"
"Uploaded file has no extension","Le fichier téléchargé n'a pas d'extension"
"Validation Results","Résultats validation"
