Cancel,Cancelar
From,De
To,Para
OK,OK
"Gift Message","Mensagem de presente"
Message,Mensagem
"Unknown entity type","Tipo de entidade desconhecido"
"Gift Options","Opções de presente"
"Do you have any gift items in your order?","Você tem algum item de presente em seu pedido?"
"Add gift options","Adicionar opções de presente"
"Gift Options for the Entire Order","Gift Options for the Entire Order"
"Add gift options for the Entire Order","Adicionar opções de presente no Pedido Completo"
"If you don't want to leave a gift message for the entire order, leave this box blank.","If you don't want to leave a gift message for the entire order, leave this box blank."
"Gift Options for Individual Items","Opções de Presente para Itens Individuais"
"Add gift options for Individual Items","Adicionar opções de presente em Itens Individuais"
"Item %1 of %2","Item %1 of %2"
"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you don't wish to add a gift message for the item."
"Gift Options for this address.","Opções de presente para este endereço."
"You can leave this box blank if you do not wish to add a gift message for this address.","Você pode deixar este campo em branco se você não pretende adicionar uma mensagem de presente para este endereço."
"You can leave this box blank if you do not wish to add a gift message for the item.","Você pode deixar este campo em branco se você não pretende adicionar uma mensagem de presente para o item."
"Allow Gift Messages on Order Level","Allow Gift Messages on Order Level"
"Allow Gift Messages for Order Items","Allow Gift Messages for Order Items"
