Cancel,Abbrechen
From,Von
To,An
OK,OK
"Gift Message",Grußnachricht
Message,Nachricht
"Unknown entity type","Unbekannter Entitätentyp"
"Gift Options",Geschenkoptionen
"Do you have any gift items in your order?","Haben Sie Geschenkartikel in Ihrer Bestellung?"
"Add gift options","Geschenkoptionen hinzufügen"
"Gift Options for the Entire Order","Gift Options for the Entire Order"
"Add gift options for the Entire Order","Geschenkoptionen für die gesamte Bestellung hinzufügen"
"If you don't want to leave a gift message for the entire order, leave this box blank.","If you don't want to leave a gift message for the entire order, leave this box blank."
"Gift Options for Individual Items","Geschenkoptionen für einzelne Artikel"
"Add gift options for Individual Items","Geschenkoptionen für einzelne Artikel hinzufügen"
"Item %1 of %2","Item %1 of %2"
"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you don't wish to add a gift message for the item."
"Gift Options for this address.","Geschenkoptionen für diese Anschrift."
"You can leave this box blank if you do not wish to add a gift message for this address.","Lassen Sie diese Box leer, wenn Sie keine Geschenknachricht zu dieser Adresse hinzufügen wollen."
"You can leave this box blank if you do not wish to add a gift message for the item.","Lassen Sie diese Box leer, wenn Sie keine Geschenknachricht zum Artikel hinzufügen wollen."
"Allow Gift Messages on Order Level","Allow Gift Messages on Order Level"
"Allow Gift Messages for Order Items","Allow Gift Messages for Order Items"
