"# of Use","# de uso"
"%1$s incl tax.","%1$s con impuestos incluidos."
"%s - %s","%s - %s"
"%s Item(s)","%s artículo(s)"
"%s and above","%s y superior"
"(%d)","(%d)"
"(Copy data from: %s)","(Copiar datos de: %s)"
"* Required Fields","* Campos Requeridos"
"-- Please Select --","-- Seleccionar, por favor --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","La opción predeterminada es 86400, si no se la configura. Para actualizarla instantáneamente, borre la memoria caché de salida HTML del bloque."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">¡Atención!</strong> El MAP aplicado por defecto esconderá todos los precios de productos en la parte frontal."
"A group with the same name already exists.","Ya existe un grupo con el mismo nombre."
"A name is required","Se requiere un nombre"
"A product type is not defined for the indexer.","No hay un tipo de producto definido para el motor de indexación."
"ALL GROUPS","TODOS LOS GRUPOS"
"AM","AM"
"Action","Acción"
"Actual Price","Precio Actual"
"Add","Añadir"
"Add Attribute","Añadir Atributo"
"Add Design Change","Agregar cambio de diseño"
"Add Group","Agregar grupo"
"Add Group Price","Añadir precio de grupo"
"Add New","Añadir Nuevo"
"Add New Attribute","Añadir Nuevo Atributo"
"Add New Attribute Set","Agregar nuevo conjunto de atributos"
"Add New Group","Agregar nuevo grupo"
"Add New Images","Agregar nuevas imágenes"
"Add New Option","Añadir Nueva Opción"
"Add New Row","Agregar nueva fila"
"Add New Search Term","Añadir Nueva Cláusula de Búsqueda"
"Add New Set","Agregar nuevo conjunto"
"Add Product","Agregar producto"
"Add Product To Websites","Agregar producto a sitios web"
"Add Root Category","Agregar categoría raíz"
"Add Subcategory","Agregar subcategoría"
"Add Tax","Agregar impuestos"
"Add Tier","Agregar capa"
"Add attribute into attribute set","Añadir atributo al conjunto de atributos"
"Add group into attribute set","Añadir grupo al conjunto de atributos"
"Add new custom option into product","Añadir nueva opción de personalización al producto"
"Add new values into custom option","Añadir nuevos valores a la opción de personalización"
"Add option","Añadir opción"
"Add to Cart","Añadir al Carrito"
"Add to Compare","Añadir para comparar."
"Add to Wishlist","Añadir a lista que quieres."
"Additional Information","Información adicional"
"Alert Urls","Direcciones URL de alerta"
"All","Todo"
"All Product Types","Todos los tipos de productos"
"All Websites","Todos los Sitios Web"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","¡Todos los productos de este conjunto serán eliminados! ¿Estás seguro que quieres eliminar este conjunto de atributos?"
"Allow All Products per Page","Permitir todos los productos por página"
"Allow Dynamic Media URLs in Products and Categories","Permitir direcciones URL multimedia dinámicas en productos y categorías"
"Allow HTML Tags on Frontend","Permitir etiquetas HTML en la interfaz del cliente"
"Allowed File Extensions","Extensiones de archivo permitidas"
"Allowed file extensions to upload","Extensiones de archivo permitidas para la carga"
"Amount","Importe"
"An error occurred while adding products to websites.","Se produjo un error mientras se agregaban productos a los sitios web."
"An error occurred while clearing comparison list.","Se produjo un error mientras se borraba la lista de comparación."
"An error occurred while deleting this review.","Se produjo un error al eliminar esta revisión."
"An error occurred while removing products from websites.","Se produjo un error mientras se eliminaban productos de sitios web."
"An error occurred while saving the URL rewrite","Se produjo un error al guardar la URL reescrita"
"An error occurred while saving the attribute set.","Se produjo un error mientras se guardaba el conjunto de atributos."
"An error occurred while saving the collection, aborting. Error message: %s","Se produjo un error al guardar la recopilación, abortando. Mensaje de error: %s"
"An error occurred while saving the product. ","Se produjo un error mientras se guardaba el producto."
"An error occurred while saving the search query.","Se produjo un error mientras se guardaba el enunciado de búsqueda."
"An error occurred while saving this group.","Se produjo un error mientras se guardaba este grupo."
"An error occurred while saving this review.","Se produjo un error al guardar esta revisión."
"An error occurred while trying to delete the category.","Se produjo un error mientras se intentaba eliminar la categoría."
"An error occurred while updating the product(s) attributes.","Se produjo un error al actualizar los atributos del producto o productos."
"An error occurred while updating the product(s) status.","Se produjo un error al actualizar el estado del producto o productos."
"An invalid group ID is specified, skipping the record.","Se ha especificado una identificación de grupo inválida, saltando el registro."
"An invalid option ID is specified for %s (%s), skipping the record.","Se especificó un ID de opción no válido para %s (%s). Se omitirá este registro."
"An invalid store was specified.","Se especificó una tienda no válida."
"Anchor Custom Text","Texto personalizado del delimitador"
"Anchor Custom Title","Título personalizado del delimitador"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Aplicable únicamente a las categorías y los productos de catálogo. Todo el contenido multimedia se insertará en el editor como una dirección URL estática. No se actualiza si cambia la dirección URL básica de configuración del sistema."
"Apply MAP (Default Value)","Aplicar MAP (Valor por Defecto)"
"Apply To","Aplicar a."
"Approved","Aprobado"
"Are you sure you want to delete this category?","¿Está seguro de que desea eliminar esta categoría?"
"Are you sure you would like to remove all products from your comparison?","¿Está seguro de que desea eliminar todos los productos de la comparación?"
"Are you sure you would like to remove this item from the compare products?","¿Está seguro de que desea eliminar este artículo de los productos de la comparación?"
"Are you sure?","¿Está seguro?"
"As low as:","Valor mínimo:"
"Assign","Asignar"
"Assign product link","Asignar enlace de producto"
"Assign product to category","Asignar producto a categoría"
"Assigned Products","Productos asignados"
"Associated Products","Productos asociados"
"Attrib. Set Name","Nombre de conjunto de atributos"
"Attribute ""%s"" is invalid.","El atributo ""%s"" es inválido."
"Attribute ""%s"" is required.","El atributo ""%s"" es requerido."
"Attribute Information","Información de Atributo"
"Attribute Model","Modelo de atributo"
"Attribute Name:","Nombre de atributo:"
"Attribute Set","Conjunto de atributos"
"Attribute Sets","Conjunto de atributos"
"Attribute add","Añadir atributo"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","El código de atributo no es válido. Por favor, usa solo letras (a-z), números (0-9) o guión bajo(_) en este campo, el primer carácter ha de ser una letra."
"Attribute group with the \/name/\ name already exists","El grupo de atributo con el nombre \/name/\ ya existe."
"Attribute remove","Eliminar atributo"
"Attribute with the same code already exists","Ya existe un atributo con el mismo código"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Pueden especificarse nombres de atributos por tienda."
"Autogenerate","Generar automáticamente"
"Availability:","Disponibilidad:"
"Back","Volver"
"Backend Model","Modelo de administración del sitio:"
"Backend Table","Tabla de administración del sitio"
"Backend Table Title","Título de la tabla de administración del sitio"
"Backorders","Pedidos Pendientes"
"Based On","Basado en"
"Before Order Confirmation","Antes de la Confirmación del Pedido"
"Best Value","Mejor valor"
"Block after Info Column","Bloque posterior a la columna de información"
"Bottom Block Options Wrapper","Ajuste de opciones del bloque inferior"
"Bottom/Left","Inferior/izquierda"
"Bottom/Right","Inferior/derecha"
"Browse By","Ver por"
"Bundle Items","Elementos en Paquete"
"Buy %1$s","Comprar %1$s"
"Buy %1$s for","Comprar %1$s por"
"Buy %1$s for %2$s","Comprar %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Comprar %1$s por %2$s (%3$s con impuestos incluidos) cada uno"
"Buy %1$s for %2$s each","Comprar %1$s por %2$s cada uno"
"Cache Lifetime (Seconds)","Duración máxima de la memoria caché (segundos)"
"Cache refresh needed.","Es necesario actualizar la memoria caché."
"Can be Divided into Multiple Boxes for Shipping","Puede dividirse en varias cajas para el envío"
"Can be used only with catalog input type Dropdown","Sólo puede utilizarse con el tipo de entrada de catálogo Lista desplegable"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Sólo puede utilizarse con los tipos de entrada de catálogo Lista desplegable, Selección múltiple y Precio"
"Can\'t create image.","No se puede crear la imagen."
"Cancel","Cancelar"
"Cannot create image.","No se puede crear la imagen."
"Cannot create writeable directory '%s'.","No se puede crear el directorio con permiso de escritura '%s'."
"Cart Item Attribute","Atributo de artículo del carrito"
"Catalog","Catálogo"
"Catalog Category (Anchor)","Categoría de Catálogo (Ancla)"
"Catalog Category (Non-Anchor)","Categoría de catálogo (Sin ancla)"
"Catalog Category Link","Enlace a la Categoría de Catálogo"
"Catalog New Products List","Lista de Nuevos Productos del Catálogo"
"Catalog Price Scope","Rango de Precios del Catálogo"
"Catalog Product Compare List","Lista de Comparación de Productos del Catálogo"
"Catalog Product Email to a Friend","Enviar Email a un amigo con el Catálogo de Productos"
"Catalog Product Image Gallery Popup","Galería de imágenes emergente del Catálogo de Productos"
"Catalog Product Link","Enlace al Catálgo de Productos"
"Catalog Product View (Any)","Vista del Catálogo de Producto (cualquiera)"
"Catalog Product View (Configurable)","Vista del Catálogo de Producto (Configurable)"
"Catalog Product View (Grouped)","Vista del Catálogo de Producto (Agrupada)"
"Catalog Product View (Simple)","Vista del Catálogo de Producto (Simple)"
"Catalog Product View (Virtual)","Vista del Catálogo de Producto (Virtual)"
"Catalog Section","Sección de Catálogo"
"Catalog Seo Popular Search Terms","Términos de búsqueda frecuentes del Catálogo Seo"
"Catalog Seo Sitemap (Category List)","Mapa del Sitio Catálogo Seo (Lista de categorías)"
"Catalog Seo Sitemap (Category Tree)","Mapa del Sitio Catálogo Seo (Árbol de Categorías)"
"Catalog Seo Sitemap (Common)","Mapa del Sitio Catálogo Seo (Común)"
"Catalog Seo Sitemap (Product List)","Mapa del Sitio Catálogo Seo (Lista de Productos)"
"Catalog URL Rewrites","Nueva versión de URL de Catálogo"
