" Copy","Kopie"
"Action","Aktion"
"Add New Template","Neues Template hinzufügen"
"Add to Queue","Zur Warteschlange hinzufügen"
"Allow Guest Subscription","Gast-Abonnement erlauben"
"An error occurred while saving your subscription.","Ein Fehler ist beim Speichern Ihres Abonnements aufgetreten."
"Are you sure that you want to delete this template?","Sind Sie sicher, dass Sie diese Vorlage löschen möchten?"
"Are you sure that you want to strip all tags?","Sind Sie sicher, dass Sie alle Tags entfernen wollen?"
"Back","Zurück"
"Cancel","Abbrechen"
"Cancelled","Abgebrochen"
"Cannot mark as received subscriber.","Nicht als emfangender Abonnent markierbar."
"Confirmation Email Sender","Bestätigungs-E-Mail-Absender"
"Confirmation Email Template","Bestätigungs-E-Mail-Template"
"Confirmation request has been sent.","Bestätigungs-Anfrage wurde gesendet."
"Convert to Plain Text","In einfachen Text umwandeln"
"Create Newsletter Template","Newsletter-Template erstellen"
"Customer","Kunde"
"Customer First Name","Kunden-Vorname"
"Customer Last Name","Nachname des Kunden"
"Customer My Account Newsletter Subscriptions","Kunde Mein Konto Newsletter Abonnements"
"Date Added","Hinzugefügt am"
"Date Updated","Aktualisierungsdatum"
"Delete","Löschen"
"Delete Selected Problems","Ausgewählte Probleme löschen"
"Delete Template","Template löschen"
"Do you really want to cancel the queue?","Wollen Sie wirklich die Warteschlange abbrechen?"
"Duplicate template code.","Doppelter Template-Code."
"Edit Newsletter","Newsletter bearbeiten"
"Edit Newsletter Template","Newsletter-Template bearbeiten"
"Edit Queue","Warteschlange bearbeiten"
"Edit Template","Template bearbeiten"
"Email","E-Mail"
"Error Code","Fehlercode"
"Error Text","Fehlertext"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Folgen sie diesem Link um sich abzumelden &lt;!-- This tag is for unsubscribe link --&gt;<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Gast"
"ID","ID"
"Invalid queue selected.","Ungültige Warteschlange ausgewählt."
"Invalid subscription ID.","Ungültige Abonnement ID."
"Invalid subscription confirmation code.","Ungültiger Abonnement Bestätigungscode."
"Message","Nachricht"
"Need to Confirm","Bestätigung erforderlich"
"New Newsletter Template","Neue Newsletter Vorlage"
"New Template","Neue Vorlage"
"Newsletter","Newsletter"
"Newsletter Message Preview","Newsletternachricht Vorschau"
"Newsletter Problem Reports","Newsletter Problembericht"
"Newsletter Queue","Newsletter Warteschlange"
"Newsletter Section","Newsletterabschnitt"
