"%s Index process is working now. Please try run this process later.","%s Index-Verarbeitung läuft gerade. Bitte versuchen Sie, diesen Prozess später zu starten."
"%s index was rebuilt.","%s Index wurde wieder hergestellt."
"'%s' Index Process Information","""%s"" Index-Verarbeitung Information"
"Action","Aktion"
"Cannot initialize the indexer process.","Indexer-Verarbeitung konnte nicht initialisiert werden."
"Change Index Mode","Index-Modus ändern"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Klicken Sie hier, um zur <a href=""%s"">Cacheverwaltung</a> zu gelangen und die Cachetypen zu aktualisieren."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Klicken Sie hier, um zur <a href=""%s"">Indexverwaltung</a> zu gelangen und nötige Indizes wiederherzustellen."
"Description","Beschreibung"
"Disable","Deaktivieren"
"Enable","Aktivieren"
"General","Allgemein"
"Index","Index"
"Index Description","Index Beschreibung"
"Index Management","Index Management"
"Index Mode","Index Modus"
"Index Name","Index Name"
"Index mode","Indexmodus"
"Indexer code is not defined.","Indexer-Code nicht definiert."
"Indexer model is not defined.","Indexer-Vorlage nicht definiert."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer-Vorlage sollte Erweiterung für Mage_Index_Model_Indexer_Abstract sein."
"Manual Update","Manuelle Aktualisierung"
"Mode","Modus"
"Never","Nie"
"No","Nein"
"One or more of the Indexes are not up to date:","Ein oder mehrere Indexe sind nicht aktuell:"
"Please select Index(es)","Bitte Index(e) auswählen"
"Please select Indexes","Bitte Indexe auswählen"
"Process Information","Informationen verarbeiten"
"Processing","Verarbeitung läuft"
"Ready","Fertig"
"Refresh","Aktualisieren"
"Reindex Data","Daten neu indexieren"
"Reindex Required","Neuindexierung erforderlich"
"Status","Status"
"System","System"
"The index has been saved.","Der Index wurde gespeichert."
"There was a problem with reindexing process.","Bei der Verarbeitung der Reindexierung ist ein Problem aufgetreten."
"There was a problem with saving process.","Beim Speichern ist ein Problem aufgetreten."
"Total of %d index(es) have changed index mode.","Der Index-Modus von insgesamt %d Index(en) wurde geändert."
"Total of %d index(es) have reindexed data.","Insgesamt %d Index(e) haben neu indexierte Daten."
"Update Required","Update erforderlich"
"Update on Save","Aktualisierung gespeichert."
"Updated At","Aktualisiert am"
"Yes","Ja"
