"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","Auf Attribut ""%s"" basierende %d-Katalogpreisregeln wurden deaktiviert."
"Actions","Aktionen"
"Active","Aktiv"
"Add New Rule","Neue Regel hinzufügen"
"An error occurred while deleting the rule. Please review the log and try again.","Beim Löschen der Regel trat ein Fehler auf. Bitte überprüfen Sie das Log und versuchen Sie es erneut."
"An error occurred while saving the rule data. Please review the log and try again.","Beim Speichern der Regeldaten trat ein Fehler auf. Bitte überprüfen Sie das Log und versuchen Sie es erneut."
"Apply Rules","Regeln anwenden"
"Attribute Set","Attributset"
"Catalog","Katalog"
"Catalog Price Rule","Katalogpreis Regel"
"Catalog Price Rules","Katalogpreis Regeln"
"Category","Kategorie"
"Conditions","Bedingungen"
"Conditions (leave blank for all products)","Bedingungen (leer lassen für Alle Produkte)"
"Conditions Combination","Bedingungenkombination"
"Customer Groups","Kundengruppen"
"Customer Registered: %s","Registrierter Kunde: %s"
"Customer is a New Buyer: %s","Kunde ist ein Neuer Käufer: %s"
"Date Expire","Verfalldatum"
"Date From","Datum ab"
"Date Start","Startdatum"
"Date To","Datum bis"
"Delete Rule","Regel löschen"
"Description","Beschreibung"
"Description: %s","Beschreibung: %s"
"Edit Rule","Regel ändern"
"Edit Rule '%s'","Regel '%s' ändern"
"Expiration Date","Ablaufdatum"
"Expire at: %s","Läuft ab am: %s"
"From Date","Von Datum"
"General Information","Allgemeine Information"
"ID","ID"
"Inactive","Nicht aktiv"
"NOT LOGGED IN","NICHT ANGEMELDET"
"Name: %s","Name: %s"
"New Rule","Neue Regel"
"No","Nein"
"Options","Optionen"
"Priority","Priorität"
"Product Attribute","Produktattribut"
"Promotions","Promotionen"
"Rule Information","Regelinformation"
"Rule Name","Regelname"
"Save Rule","Regel speichern"
"Save and Apply","Speichern und anwenden"
"Save and Continue Edit","Speichern und Bearbeitung fortsetzen"
"Start Date","Startdatum"
"Start at: %s","Start am: %s"
"Status","Status"
"Stop Further Rules Processing","Weitere Regelbearbeitung abbrechen"
"The rule has been deleted.","Die Regel wurde gelöscht."
"The rule has been saved.","Die Regel wurde gespeichert."
"The rules have been applied.","Die Regeln wurden angewendet."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Einige Regeln wurden geändert, aber nicht angewendet. Bitte klicken Sie „Regeln anwenden“ um sofortige Anwendung im Katalog zu erhalten."
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"To Date","Bis Datum"
"Type","Typ"
"Unable to apply rules.","Regeln können nicht angewendet werden."
"Unable to find a rule to delete.","Keine Regel zum Löschen gefunden."
"Update product's %s %s: %s","%s %s: %s von Produkt aktualisieren"
"Websites","Webseiten"
"Wrong rule specified.","Falsche Regel angegeben."
"Yes","Ja"
