"* Required Fields","* Notwendige Felder"
"Comment","Kommentar"
"Contact Form","Kontaktformular"
"Contact Information","Kontaktinformation"
"Contact Us","Kontakt"
"Contact Us Form","Kontaktformular"
"Contacts","Kontakte"
"Contacts Section","Kontaktbuch"
"Email","E-Mail"
"Email Options","E-Mail-Optionen"
"Email Sender","E-Mail-Absender"
"Email Template","E-Mail-Vorlage"
"Enable Contact Us","Kontaktfunktion aktivieren"
"Name","Name"
"Send Emails To","E-Mails senden an"
"Submit","Senden"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","Ihre Anfrage konnte nicht verarbeitet werden. Bitte versuchen Sie es später erneut"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Ihre Anfrage wurde übermittelt und wir werden so bald wie möglich darauf antworten. Vielen Dank, dass Sie sich mit uns in Kontakt setzen."
