"Abandoned Carts","Unbenutzte Einkaufswagen"
"Abandoned carts","Verlassene Warenkörbe"
"Action","Aktion"
"Add to Cart","Zum Warenkobrn hinzufügen"
"Add to Compare","Hinzufügen um zu vergleichen"
"Add to Wishlist","Zum Wunschzettel hinzufügen"
"Any","Etwas"
"Applied Coupon","Benutzter Gutschein"
"Applies to Any of the Specified Order Statuses","Gilt für jeden spezifischen Stand der Bestellung"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Sind Sie sicher, dass Sie die Laufzeit der Statistiken aktualisieren möchten? Während dieser Tätigkeit kann die Leistung beeinflusst werden."
"Are you sure?","Sind Sie sicher?"
"Avg. Approved Rating","Durchschnittliche anerkannte Bewertung"
"Avg. Rating","Durchschnittliche Bewertung"
"Bestsellers","Bestseller"
"Bought from wishlists","Vom Wunschzettel gekauft"
"CSV","CSV"
"Carts","Einkaufswagen"
"Catalog Category (Without Subcategories)","Katalogkategorie (ohne Unterkategorien)"
"Compared Products Grid Template","Gittermustervorlage für verglichene Produkte"
"Compared Products List Template","Vorlage für die Liste verglichener Produkte"
"Coupons","Gutscheine"
"Coupons Usage Report","Protokoll zur Anwendung von Gutscheinen"
"Created At","Erstellte At"
"Current Month Starts","Aktuelle monatliche Starts"
"Customer","Kunde"
"Customer Name","Kundenname"
"Customer Tags","Tags des Kunden"
"Customers","Kunden"
"Customers Report","Erfahrungsbericht der Kunden"
"Customers Reviews","Berichte der Kunden"
"Customers Tags","Tags der Kunden"
"Customers by Number of Orders","Kunden nach Bestellnummer"
"Customers by Orders Total","Kunden nach Gesamtzahl der Bestellung"
"Customers by number of orders","Kunden nach der Anzahl der Aufträge"
"Customers by orders total","Kunden nach Aufträgen insgesamt"
"Customers that have wishlist: %s%","Kunden, die einen Wunschzettel haben: %s%"
"Dashboard","Dashboard"
"Day","Tag"
"Default Recently Compared Products Count","Default der kürzlich verglichenen Anzahl der Produkte"
"Default Recently Viewed Products Count","Default der kürzlich angesehenen Anzahl der Produkte"
"Description","Beschreibung"
"Detail","Detail"
"Downloads","Downloads"
"Email","E-Mail"
"Empty Rows","Leere Reihe"
"Excel XML","Excel-XML"
"Filter","Filter"
"First Name","Vorname"
"From","Von"
"Guest","Gast"
"Hits","Treffer"
"ID","ID"
"IP Address","IP Adresse"
"Index model name must be defined","Index Modellname muss definiert sein"
"Invalid date specified.","Ungültiges angegebenes Datum"
"Invoiced","In Rechnung gestellt."
"Items in Cart","Waren im Einkaufswagen"
"Last Name","Nachname"
"Last Review","Letzte Überprüfung"
"Link","Link"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Liste der kürzlich verglichenen Produkte und Produkte, die vom Besucher von der Vergleichsliste entfernt wurden"
"List of Products Recently Viewed by Visitor","Liste der kürzlich angesehenen Produkte des Besuchers"
"Low Stock","Niedriger Lagerbestand"
"Low stock","Wenige Artikel vorrätig"
