"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Warenkorb Preisregeln für ""%s"" Eigenschaften wurden deaktiviert."
"Actions","Aktionen"
"Active","Aktiv"
"Add New Rule","Neue Regel hinzufügen"
"Apply","Anwenden"
"Apply To","Anwenden auf"
"Apply the rule only if the following conditions are met (leave blank for all products)","Regel nur bei folgenden Bedingungen anwenden (Leer lassen für alle Produkte)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Regel nur auf Artikel im Warenkorb mit den folgenden Bedingungen anwenden (Leer lassen für alle Artikel)"
"Apply the rule to cart items matching the following conditions","Regel nur bei folgenden Bedingungen auf Artikel im Warenkorb anwenden"
"Apply to Shipping Amount","Auf Versandbetrag anwenden"
"Auto","Automatisch"
"Buy X get Y free (discount amount is Y)","X kaufen, Y kostenlos bekommen (Rabattbetrag ist Y)"
"By Fixed Amount","Um einen festgelegten Betrag"
"By Fixed value","Nach festen Wert"
"By Percentage","Nach Prozent"
"By Percentage of the Original Price","Um einen Prozentsatz des Originalpreises"
"Can\'t acquire coupon.","Kann Gutschein nicht erwerben."
"Cart Attribute","Warenkorbattribut"
"Catalog","Katalog"
"Conditions","Bedingungen"
"Conditions combination","Bedingungskombination"
"Coupon","Gutschein"
"Coupon Code","Gutscheincode"
"Customer Groups","Kundengruppen"
"Customer is new buyer: %s","Kunde ist Neukunde: %s"
"Customer registered: %s","Kunde registriert: %s"
"Date Expire","Verfalldatum"
"Date Start","Startdatum"
"Default Label","Standardlabel"
"Default Rule Label for All Store Views","Standardregel Label für alle StoreViews"
"Delete Rule","Regel löschen"
"Description","Beschreibung"
"Description: %s","Beschreibung: %s"
"Discount Amount","Rabattbetrag"
"Discount Qty Step (Buy X)","Rabattmengenschritt (X kaufen)"
"Edit Rule","Regel ändern"
"Edit Rule '%s'","Regel '%s' ändern"
"Expire at: %s","Läuft ab am: %s"
"FOUND","GEFUNDEN"
"Fixed amount discount","Rabatt mit festem Wert"
"Fixed amount discount for whole cart","Fester Rabattbetrag für gesamten Warenkorb"
"For matching items only","Nur für passende Artikel"
"For shipment with matching items","Für Versand mit passenden Artikeln"
"Free Shipping","Versandkostenfrei"
"From Date","Von Datum"
"General Information","Allgemeine Information"
"ID","ID"
"Inactive","Nicht aktiv"
"Item totals are not set for rule.","Artikel-Summen sind keine Regel."
"Labels","Bezeichnungen"
"Maximum Qty Discount is Applied To","Maximal angewendete Rabattmenge"
"NOT FOUND","NICHT GEFUNDEN"
"NOT LOGGED IN","NICHT ANGEMELDET"
"Name: %s","Name: %s"
"New Rule","Neue Regel"
"No","Nein"
"No Coupon","Kein Gutschein"
"Number of Uses","Anzahl der Verwendungen"
"Payment Method","Zahlungsart"
"Percent of product price discount","Prozente für Rabatt auf den Verkaufspreis"
"Period","Zeitraum"
"Price in cart","Preis im Warenkorb"
"Priority","Priorität"
"Product attribute combination","Kombination der Produktmerkmale"
"Products subselection","Produktunterauswahl"
"Promotions","Promotionen"
"Public In RSS Feed","Im RSS Feed veröffentlichen"
"Quantity in cart","Menge im Warenkorb"
"Row total in cart","Zeile Gesamt im Warenkorb"
"Rule Information","Regelinformation"
"Rule Name","Regelname"
"Sales Discount Amount","Rabttbetrag des Verkaufs"
"Sales Subtotal Amount","Zwischensumme des Verkaufsbetrags"
"Sales Total Amount","Gesamtbetrag des Verkaufs"
"Save Rule","Regel speichern"
"Save and Continue Edit","Speichern und Bearbeitung fortsetzen"
"Shipping Country","Lieferland"
"Shipping Method","Lieferungsart"
"Shipping Postcode","Postleitzahl der Lieferadresse"
"Shipping Region","Region der Lieferadresse"
"Shipping State/Province","Bundesland/Provinz der Lieferadresse"
"Shopping Cart Price Rule","Warenkorb Preisgebot"
"Shopping Cart Price Rules","Warenkorb Preisgebote"
"Special Price","Sonderpreis"
"Specific Coupon","spezieller Gutschein"
"Start at: %s","Start am: %s"
"Status","Status"
"Stop Further Rules Processing","Weitere Regelbearbeitung abbrechen"
"Store View Specific Labels","Überblick spezifischer Etikette im Lager"
"Subtotal","Zwischensumme"
"Subtotal Amount","Zwischensumme des Betrags"
"The rule has been deleted.","Die Regel wurde gelöscht."
"The rule has been saved.","Die Regel wurde gespeichert."
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"To Date","Bis Datum"
"To Fixed Amount","zum festgesetzten Betrag"
"To Fixed Value","Zu festen Wert"
"To Percentage","Zu Prozent"
"To Percentage of the Original Price","zum Prozentanteil des Neupreises"
"Total","Gesamtbetrag"
"Total Amount","Gesamtbetrag"
"Total Items Quantity","Gesamtmenge aller Artikel"
"Total Weight","Gesamtgewicht"
"Unable to find a rule to delete.","Keine Regel zum Löschen gefunden."
"Update Prices Using the Following Information","Aktualisierung der Preise aufgrund folgender Informationen"
"Update prices using the following information","Finden Sie neue Preise mit den folgenden Informationen"
"Update product's %s %s: %s","%s %s: %s von Produkt aktualisieren"
"Update the Product","Produkt aktualisieren"
"Uses per Coupon","Verwendung je Gutschein"
"Uses per Customer","Verwendung je Kunde"
"Wrong rule specified.","Falsche Regel angegeben."
"Yes","Ja"
