"Add New Row","Neue Zeile hinzufügen"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumerische Zeichen, Bindestriche und Unterstriche werden für Dateinamen empfohlen. Unangemessene Zeichen werden durch '_' ersetzt."
"An error occurred while getting requested content. Please contact the store owner.","Beim Laden des angeforderten Inhalts ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Shopbesitzer."
"An error occurred while getting the requested content.","Beim Laden des angeforderten Inhalts ist ein Fehler aufgetreten."
"An error occurred while getting the requested content. Please contact the store owner.","Beim Laden des angeforderten Inhalts ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Shopbesitzer."
"An error occurred while saving the file(s).","Beim Speichern der Datei(en) ist ein Fehler aufgetreten."
"Availability:","Verfügbarkeit:"
"Back","Zurück"
"Canceled","Storniert"
"Cannot connect to remote host, error: %s.","Verbindung zu Remote Host kann nicht aufgebaut werden, Fehler: %s."
"Catalog Product View (Downloadable)","Katalog Produktansicht (Herunterladbar)"
"Customer My Account Downloadable Items","Kunde Mein Konto Herunterladbare Artikel"
"Date","Datum"
"Default Link Title","Standard Linktitel"
"Default Maximum Number of Downloads","Standard Maximumanzahl von Downloads"
"Default Sample Title","Standard Beispietitel"
"Delete","Löschen"
"Disable Guest Checkout if Cart Contains Downloadable Items","Gastcheckout deaktivieren wenn Warenkorb Herunterladbare Artikel enthält"
"Downloadable Information","Herunterladbare Informationen"
"Downloadable Product","Herunterladbares Produkt"
"Downloadable Product Options","Herunterladbare Produktoptionen"
"Downloadable product Section","Abschnitt Herunterladbares Produkt"
"Edit","Bearbeiten"
"Edit item parameters","Artikelangaben ändern"
"Excl. Tax","Steuer weglassen"
"File","Datei"
"From:","Von:"
"Gift Message","Geschenkmitteilung"
"Go to <a href=""%s"">My Downloadable Products</a>","Gehen Sie zu <a href=""%s"">Meine Download Produke</a>"
"Guest checkout will only work with shareable.","Gastcheckout funktioniert nur wenn mitbenutzbar."
"In stock","Auf Lager"
"Incl. Tax","Steuer inkludieren"
"Invalid download URL host.","Ungültiger Download URL Host."
"Invalid download URL scheme.","Ungültiges Download URL Schema."
"Invalid download link type.","Ungültiger Downloadlinktyp."
"Invoiced","In Rechnung gestellt."
"Links can be purchased separately","Links können separat gekauft werden."
"Max. Downloads","Max. Downloads"
"Message:","Nachricht:"
"Move to Wishlist","Auf Wunschzettel schreiben"
"My Downloadable Products","Meine herunterladbaren Produkte"
"Open Links in New Window","Links in neuem Fenster öffnen"
"Order #","Bestellung #"
"Order Item Status to Enable Downloads","Bestellungsartikelstatus zu Downloads aktivieren"
"Order id cannot be null","Order-ID kann nicht Null sein"
"Order item id cannot be null","Order-Artikel-ID kann nicht Null sein"
"Ordered","Bestellt"
"Out of stock","Nicht lieferbar"
"Pending","Ausstehend"
"Please log in to download your product.","Bitte melden Sie sich an um das Produkt herunterzuladen."
"Please set resource file and link type.","Bitte setzten Sie Ressourcendatei und Linktyp."
"Please specify product link(s).","Bitte spezifizieren Sie Produktlink(s)."
"Price","Preis"
"Qty","Anzahl"
"Refunded","Rückerstattet"
"Remaining Downloads","Übrige Downloads"
"Remove Item","Artikel entfernen"
"Requested link does not exist.","Angeforderter Link existiert nicht."
"Sample","Beispiel"
"See price before order confirmation.","Preis vor Bestellbestätigung ansehen."
"Shareable","Mitbenutzbar"
"Shipped","Versandt"
"Sort Order","Sortierreihenfolge"
"Start Download","Download starten"
"Status","Status"
"The file does not exist.","Die Datei existiert nicht."
"The link has expired.","Der Link ist abgelaufen."
"The link is not available.","Der Link ist nicht verfügbar."
"Title","Titel"
"To:","An:"
"U","U"
"Unlimited","Unbegrenzt"
"Use Content-Disposition","Verwenden Sie Content-Disposition"
"Use Default Value","Standardwert verwenden"
"View Order","Bestellung ansehen"
"What's this?","Was ist das?"
"You have not purchased any downloadable products yet.","Sie haben noch keine herunterladbaren Produkte gekauft."
"attachment","Anhang"
"download","Download"
"inline","Inline"
"sample","Probe"
