" and ","und"
" note that the URLs provided below are the correct values for your current website): ","Bitte beachten sie, dass die unten gezeigten URLs die korrekten Werte ihrer aktuellen Webseite angeben):"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(yp ""Lokaler Server"" muss die relative Pfadangabe zu Magento install var/export oder var/import nutzen, z.B. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Für US Name des Bundesstaates in 2 Buchstaben)"
"(If left empty will be auto-generated)","(Falls leer gelassen wird dies automatisch generiert)"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Dazu gehören weitere Ländern außer den genannten. Als Eigentümer der Anwendung sind sie für die Einhaltung der Rechtsvorschriften ihres Landes hinsichtlich der Verbreitung oder dem Verkauf ihrer Anwendung in jeweiligem Land, einschließlich ihrem Heimatland, selbst verantwortlich.)"
"(Leave empty for first spreadsheet)","(Leer lassen auf dem ersten Arbeitsblatt)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkte werden zu diesem Store hinzugefügt/ aktualisiert, falls die Spalte ""Store"" leer bleibt oder in der Importdatei nicht vorhanden ist.)"
"(Shift-)Click or drag to change value","Mit gedrückter Shift-Taste klicken oder ziehen, um den Wert zu ändern"
"(Starting with)","(Beginne mit)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Bei ""Nein"" werden nur die gemappten Felder importiert. Benutzen sie beim Übernehmen der Felder 'spalte1', 'spalte2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Sie müssen das php Speicher_Limit erhöhen, bevor Sie diesen Wert ändern können)"
"(\\t for tab)","(\t für Tabulator)"
"- Click on any of the time parts to increase it","- Klicken Sie auf einen beliebigen Zeitanteil, um ihn zu erhöhen"
"- Hold mouse button on any of the above buttons for faster selection.","- Halten Sie die Maustaste über einer der obigen Schaltflächen gedrückt, um die Auswahl zu beschleunigen."
"- Use the %s buttons to select month","- Verwenden Sie die %s Schaltflächen, um den Monat auszuwählen"
"- Use the %s, %s buttons to select year","- Verwenden Sie die %s, %s Schaltflächen, um das Jahr auszuwählen"
"- or Shift-click to decrease it","- oder klicken Sie mit gedrückter Shift-Taste, um den Wert zu verringern"
"- or click and drag for faster selection.","- oder klicken und ziehen Sie, um eine schnellere Auswahl vorzunehmen."
"-- Please Select Billing Agreement--","-- Bitte wählen Sie Rechnungsvereinbarung --"
"10:40 AM","10:40 Uhr"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"ASCII","ASCII"
"About the calendar","Über den Kalender"
"Access denied.","Zugang verweigert."
"Account Created in:","Konto erstellt in:"
"Account Created on (%s):","Konto erstellt am (%s):"
"Account Created on:","Konto erstellt am:"
"Action","Aktion"
"Actions","Aktionen"
"Activate","Aktivieren"
"Add Contents Path","Inhalte hinzufügen Pfad"
"Add Field with URL:","Feld mit URL hinzufügen:"
"Add New Role","Neue Rolle hinzufügen"
"Add New User","Neuen Benutzer hinzufügen"
"Add PHP Extension dependency","PHP Erweiterung Abhängigkeit hinzufügen"
"Add Package dependency","Paket Abhängigkeit hinzufügen"
"Add to Cart","Zum Warenkobrn hinzufügen"
"Add to Wishlist","Zum Wunschzettel hinzufügen"
"Address Type:","Adresstyp:"
"AirMail Template Preview","AirMail Template Vorschau"
"All","Alle"
"All Websites","Alle Webseiten"
"All fields","Alle Felder"
"All locations","Alle Orte"
"Archive file name:","Archiv Dateiname:"
"Are you sure that you want to delete this template?","Sind Sie sicher, dass Sie diese Vorlage löschen möchten?"
"Are you sure that you want to strip tags?","Sind Sie sicher, dass Sie die Tags abdecken möchten?"
"As low as:","Unterster Wert:"
"Attribute Set Name:","Attribut Satz Name:"
"Attributes","Attribute"
"Authors","Verfasser"
"Available Products","Verfügbare Produkte"
"BINARY","BINÄR"
"Back","Zurück"
"Big Image","Größeres Bild"
