"ALL","ALLE"
"ANY","JEDE"
"Add","Hinzufügen"
"Apply","Anwenden"
"Conditions Combination","Bedingungenkombination"
"Customer Groups must be specified.","Die Kundengruppen müssen angegeben werden."
"End Date must be greater than Start Date.","Das Enddatum muss hinter dem Anfangsdatum liegen."
"FALSE","FALSCH"
"If %s of these conditions are %s:","Wenn %s dieser Bedingungen sind %s:"
"Invalid discount amount.","Ungültiger Rabattbetrag:"
"Open Chooser","Auswahl öffnen"
"Perform following actions","Folgende Aktionen ausführen"
"Please choose a condition to add...","Bitte wählen Sie eine Bedingung, die hinzugefügt werden soll..."
"Please choose an action to add...","Bitte wählen Sie eine Aktion, die hinzugefügt werden soll..."
"Remove","Entfernen"
"TRUE","WAHR"
"Websites must be specified.","Die Webseiten müssen angegeben werden."
"by","von"
"contains","enthält"
"does not contain","enthält nicht"
"does not contains","enthält nicht"
"equals or greater than","gleich oder größer als"
"equals or less than","gleich oder kleiner als"
"for","für"
"for greater than","für größer als"
"for or greater than","für oder größer als"
"found","gefunden"
"from","von"
"greater than","größer als"
"is","ist"
"is not","ist nicht"
"is not one of","ist nicht einer von"
"is one of","ist einer von"
"less than","weniger als"
"not found","nicht gefunden"
"not from","nicht von"
"to","bis"
"was","war"
"was not","war nicht"
