"%s and greater","%s und darüber"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d Artikel</strong> wurden unter Verwendung der folgenden Suchkriterien gefunden"
"Advanced Search","Erweiterte Suche"
"Advanced Search Form","Formular Erweiterte Suche"
"Advanced Search Result","Erweiterte Suche Ergebnisse"
"All","Alle"
"Applies for ""Like"" search type only.","Gilt nur für ""Like""-Suchtyp."
"Apply Layered Navigation if Search Results are Less Than","Geschichtete Navigation verwenden falls weniger Suchergebnisse als"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribut-Einstellungsänderung mit Bezug auf Suchindex. Bitte <a href=""%s"">Rebuild-Suchindex</a>-Prozess starten."
"Autogenerated Site Map","Automatisch generierte Site Map"
"Catalog Advanced Search","Katalog Erweiterte Suche"
"Catalog Search","Katalog Suche"
"Catalog Search Index","Katalog Suchindex"
"Don't see what you're looking for?","Nicht gefunden, was Sie suchen?"
"Enter ""0"" to enable layered navigation for any number of results.","Um Ebenennavigation für eine beliebige Anzahl von Ergebnissen zu aktivieren bitte ""0"" eingeben."
"Go to Home Page","Zur Startseite gehen"
"Grid","Raster"
"Home","Startseite"
"List","Liste"
"Maximum Query Length","Maximale Abfragenlänge"
"Maximum Query Words Count","Maximale Wortanzahl für Abfragen"
"Maximum Search query  length is %s. Your query was cut.","Maximale Länge für Suchabfragen ist %s. Ihre Abfrage wurde abgeschnitten."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Die maximale Zahl an Wörtern beträgt %1$s. Ihre Suchanfrage wurde bei %2$s abgeschnitten."
"Minimal Query Length","Mindestlänge für Abfragen"
"Minimum Search query length is %s","Mindestlänge für Suchabfrage ist %s."
"Modify your search","Verändern Sie Ihre Suche"
"No","Nein"
"No items were found using the following search criteria.","Es wurden keine Artikel mit den folgenden Suchkriterien gefunden."
"Please specify at least one search term.","Bitte geben Sie zumindest einen Suchbegriff ein."
"Popular Search Terms","Beliebte Suchbegriffe"
"Quick Search Form","Formular Schnellsuche"
"Rebuild Catalog product fulltext search index","Katalog Produktvolltext Suchindex neu generieren."
"Relevance","Relevanz"
"Results","Ergebnisse"
"Search","Suche"
"Search Settings","Sucheinstellungen"
"Search Terms","Suchbegriffe"
"Search Type","Suchtyp"
"Search entire store here...","Den gesamten Shop durchsuchen..."
"Search results for '%s'","Suchergebnisse für '%s'"
"Search results for: '%s'","Suchergebnisse für: '%s'"
"Search:","Suche:"
"Specified date is invalid.","Angegebene Daten sind ungültig."
"Subscribe to Feed","Feed abonnieren"
"There are no search terms available.","Es sind keine Suchbegriffe verfügbar."
"Yes","Ja"
"Your search returns no results.","Ihre Suche ergab keine Ergebnisse."
"up to %s","bis zu %s."
