"-- Please Select --","-- Bitte auswählen --"
"Account Registration","Konto Registrierung"
"All fields of script types have to be filled.","Alle Felder zu den Skripttypen müssen ausgefüllt werden."
"Attributes","Attribute"
"Category View Optimization","Kategorie-Ansicht Optimierung"
"Control Script","Kontrollskript"
"Conversion Page","Conversion-Seite"
"Conversion Page URL","Conversion-Seite URL"
"Conversion Script","Conversion Skript"
"Enable","Aktivieren"
"Google Optimizer Scripts","Google Optimizer Skripte"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Skripte installieren"
"Multi Address Checkout","Mehradress-Checkout"
"One Page Checkout","Eine Seite Checkout"
"Order Success (Multi Address Checkout)","Bestellung erfolgreich aufgegeben (Mehradress-Checkout)"
"Order Success (One Page Checkout)","Bestellung erfolgreich aufgegeben (Eine Seite Checkout)"
"Original Page","Originalseite"
"Other","Sonstige"
"Page Type","Seitentyp"
"Page View Optimization","Seitenansicht Optimierung"
"Please copy and paste this value to experiment edit form","Bitte diesen Wert per Kopieren und Einfügen ins Experiment-Bearbeitungsformular einfügen"
"Please copy and paste this value to experiment edit form.","Bitte diesen Wert per Kopieren und Einfügen ins Experiment-Bearbeitungsformular einfügen"
"Please select store view to see the URL","Bitte Store-Ansicht auswählen, um URL zu sehen"
"Please select store view to see the URL.","Bitte Store-Ansicht auswählen, um URL zu sehen"
"Product View Optimization","Produktansicht Optimierung"
"Scripts Install URL","Skripte URL installieren"
"Shopping Cart","Warenkorb"
"The limit is 8 attributes only.","Die Grenze liegt bei maximal 8 Attributen."
"Tracking Script","Tracking-Skript"
"Use Default","Default verwenden"
"Use Default Values","Default-Werte verwenden"
"Variant Page","Varianten-Seite"
