"%s codes deleted","%s Codes gelöscht"
"%s codes imported","%s Codes importiert"
"%s codes not imported","%s Codes nicht importiert"
"%s product in feed.","%s Produkt vorrätig."
"%s product not in feed.","%s Produkt nicht vorrätig."
"Add new","Hinzufügen einer neuen"
"Attrib. Set Name","Bezeichnung für den Attributsatz"
"Attributes map","Attributübersicht"
"Cron Frequency","Frequenz für Cronjob"
"Cron Hour","Cronjob Stunde"
"Delete","Löschen"
"Eav code","Eav Code"
"FTP Password","FTP Passwort"
"FTP Path","FTP Pfad"
"FTP Server","FTP Server"
"FTP Settings","FTP Einstellungen"
"FTP User","FTP Benutzer"
"FTP: Can't delete files","FTP: Dateien können nicht gelöscht werden"
"Feed","Feed"
"Feed code","Feed-Code"
"ID","ID"
"Import","Import"
"Import attribute map","Attributübersicht importieren"
"Import code","Code importieren"
"In Feed","Im Feed"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","Um auf Ihre FTP-Accountdaten zugreifen zu können, müssen Sie sich zunächst registrieren und Ihren Shop im TheFind Merchant Center bestätigen. Klicken Sie <a href=""https://merchant.thefind.com/mc/claim.fhtml"">hier</a>, um anzufangen."
"Is imported","wurde importiert"
"Item params","Artikelparameter"
"Manage attributes","Eigenschaften verwalten"
"Manage items","Artikel verwalten"
"Not import","Nicht importieren"
"Not publish","Nicht veröffentlichen"
"Price","Preis"
"Product Name","Produktbezeichnung"
"Product import","Produkt importieren"
"Publish","Veröffentlichen"
"SKU","Artikelposition"
"Settings","Einstellungen"
"The Find","TheFind"
"TheFind Feed Filename","Dateiname des TheFind-Feeds"
"TheFind feed","TheFind-Feed"
"Type","Typ"
"Unable to process an import. ","Der Import konnte nicht bearbeitet werden."
"Update TheFind Item when Product is Updated","TheFind-Artikel aktualisieren, wenn das Produkt aktualisiert wurde"
