"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Regras de Preço de Carrinho de Compras baseado em atributo ""%s"" ter sido desativado."
"%s Coupon(s) have been generated","%s Cupom(s) foram gerados"
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar nova regra"
"Alphabetical","Alfabético"
"Alphanumeric","Alfanumérico"
"An error occurred while generating coupons. Please review the log and try again.","Ocorreu um erro ao gerar os cupons. Por favor reveja a sessão e tente novamente."
"Apply","Solicitar"
"Apply To","Aplicar a"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra apenas se as seguintes condições forem atendidas (deixe em branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra apenas para itens do carrinho correspondendo às seguintes condições (deixe em branco para todos os itens)"
"Apply the rule to cart items matching the following conditions","Aplicar a regra para itens do carrinho correspondendo às seguintes condições"
"Apply to Shipping Amount","Aplicar a Valor de Envio"
"Are you sure you want to delete the selected coupon(s)?","Tem certeza que quer apagar o(s) cupom(s) escolhido(s)?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Códigos de Cupom Específicos Auto Gerados"
"Buy X get Y free (discount amount is Y)","Compre X obtenha Y grátis (valor do desconto é Y)"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Percentagem"
"Can\'t acquire coupon.","Não é possível adquirir cupons."
"Cart Attribute","Atributo do Carrinho"
"Catalog","Catálogo"
"Code Format","Formato do código"
"Code Length","Tamanho do código"
"Code Prefix","Prefixo Código"
"Code Suffix","Sufixo Código"
"Conditions","Condições"
"Conditions combination","Combinação de Condições"
"Coupon","Cupom"
"Coupon Code","Código do cupom"
"Coupon Qty","Qtd. de Cupom"
"Coupon with the same code","Cupom com o mesmo código"
"Coupons Information","Informação dos cupons"
"Created On","Criado Em"
"Customer Groups","Grupos do cliente"
"Dash Every X Characters","Trace Cada X Caracteres"
"Date Expire","Vencimento"
"Date Start","Data Inicial"
"Default Label","Etiqueta padrão"
"Default Rule Label for All Store Views","Etiqueta de regra padrão para todas as visualizações da loja"
"Description","Descrição"
"Discount Amount","Quantia de Desconto"
"Discount Qty Step (Buy X)","Etapa de Desconto por Quantidade (Comprar X)"
"Edit Rule","Editar regra"
