"* Required Fields",*必要字段
"-- Select --","-- 选择 --"
"Add New Option",添加新选项
"Add Products to Option",添加产品到选项
"As Low as",低至
"As low as",低至
"Bundle Items",捆绑项
"Buy %1 with %2 discount each",买%1，每个送折扣%2
"Choose a selection...",选择一个选项...
Close,关闭
"Create New Option",创建新的选项
Default,默认
"Default Quantity",默认数量
Dynamic,动态
"Excl. Tax",不含税
Fixed,固定
From,来自
From:,来自：
"Gift Message",礼品消息
"Incl. Tax",含税
"Input Type",输入类型
Message:,信息：
"Multiple Select",多选
N/A,N/A
"New Option",新选项
"No options of this product are available.",该产品没有可用选项。
None,无
Percent,百分之
"Percent Discount",折扣百分率
"Please enter search conditions to view products.",请输入搜索条件以查看产品。
"Please select all required options.",请选择所有必须的选项。
"Please select options for the product.",请为该产品选择选项。
"Please specify product option(s).",请指定产品选项。
Position,位置
"Price Range",价格范围
"Price Type",价格类型
"Price as configured",预配置价格
SKU,SKU
Separately,分别
"Ship Bundle Items",运送捆绑的条目
Shipment,发货
"Store View Title",店铺视图标题
"The required options you selected are not available.",你选择的必须选项是无效的。
"There are no products in this option.",该选项里没有产品。
"There is no defined renderer for ""%1"" option type.","针对 ""%1"" 选项类型没有预定义的渲染器。"
To,发送至
To:,至：
Together,一起
"Use Default Value",使用默认值
"User Defined",用户定义的
"We cannot add this item to your shopping cart.",不能添加该条目到购物车。
"%1 x %2","%1 x %2"
Availability,"有效性"
"Customize %1","定制%1"
"Customize and Add to Cart","定制并添加到购物车"
"Go back to product details","回产品详细页"
"Your Customization","您的定制"
