Remove,Entfernen
Action,Aktion
File,File
Email,E-Mail
Name,Name
Type,Typ
Description,Beschreibung
Summary,Zusammenfassung
Include,Inkludieren
"Save Data and Create Package","Daten speichern und Paket erstellen"
"Save As...","Speichern als..."
"Save package with custom package file name","Paket speichern mit individueller Bezeichnung der Paketdatei"
"New Extension","Neue Erweiterung"
"Add files","Dateien hinzufügen"
Authors,Verfasser
"Add Author","Verfasser hinzufügen"
Contents,Inhalte
"PHP Version","PHP Version"
Minimum,Minimum
Maximum,Maximum
Dependencies,Abhängigkeiten
Folder,Ordner
Package,Verpackung
"Load Local Package","Lokales Paket laden"
"Package File Name","Paket Datei-Name"
Channel,Kanal
"1.5.0.0 & later","1.5.0.0 & neuer"
Pre-1.5.0.0,"früher als 1.5.0.0"
"Supported releases","Unterstützte Versionen"
License,Lizenz
"License URI","Lizenz URI"
"Package Info","Paket Info"
Release,Release
"Release Version","Release Version"
"Release Stability","Release Stability"
Notes,Notes
"Release Info","Informationen zur Veröffentlichung"
"Create Extension Package","Erweiterungs-Paket erstellen"
"Package Extensions",Paket-Erweiterungen
Extension,Erweiterung
"Something went wrong loading the package data.","Something went wrong loading the package data."
"The package %1 data has been loaded.","The package %1 data has been loaded."
"The package data has been saved.","Die Paketdaten wurden gespeichert."
"Something went wrong saving the package data.","Something went wrong saving the package data."
"Something went wrong saving the package.","Something went wrong saving the package."
"Something went wrong creating the package.","Something went wrong creating the package."
User,Benutzer
Target,Ziel
Path,Pfad
Ignore,Ignorieren
"Recursive Dir","Recursive Dir"
"Add Contents Path","Inhalte hinzufügen Pfad"
Packages,Pakete
Min,Min
Max,Max
Files,Dateien
"Add Package dependency","Paket Abhängigkeit hinzufügen"
Extensions,Erweiterungen
"Add PHP Extension dependency","PHP Erweiterung Abhängigkeit hinzufügen"
"Caution: All unsaved form data will be lost as soon as you you click on the row and the package data loads.","Caution: All unsaved form data will be lost as soon as you you click on the row and the package data loads."
