Remove,Remover
Action,Ação
File,File
Email,E-mail
Name,Nome
Type,Tipo
Description,Descrição
Summary,Sumário
Include,Incluir
"Save Data and Create Package","Salvar Dados e Criar Pacote"
"Save As...","Salvar Como..."
"Save package with custom package file name","Salvar pacote com nome do arquivo de pacote personalizado"
"New Extension","Nova Extensão"
"Add files","Adicionar arquivos"
Authors,Autores
"Add Author","Adicionar autor"
Contents,Conteúdos
"PHP Version","Versão PHP"
Minimum,Mínimo
Maximum,Máximo
Dependencies,Dependências
Folder,Pasta
Package,Embalagem
"Load Local Package","Carregar Pacote Local"
"Package File Name","Nome do Arquivo do Pacote"
Channel,Canal
"1.5.0.0 & later","1.5.0.0 e posterior"
Pre-1.5.0.0,Pré-1.5.0.0
"Supported releases","Versões suportadas"
License,Licença
"License URI","Licença de URI"
"Package Info","Informação do Pacote"
Release,Release
"Release Version","Release Version"
"Release Stability","Release Stability"
Notes,Notes
"Release Info","Informação de Lançamento"
"Create Extension Package","Criar pacote de expansão"
"Package Extensions","Extensões da Embalagem"
Extension,Extensão
"Something went wrong loading the package data.","Something went wrong loading the package data."
"The package %1 data has been loaded.","The package %1 data has been loaded."
"The package data has been saved.","Os dados do pacote foram salvos."
"Something went wrong saving the package data.","Something went wrong saving the package data."
"Something went wrong saving the package.","Something went wrong saving the package."
"Something went wrong creating the package.","Something went wrong creating the package."
User,Usuário
Target,Objetivo
Path,Caminho
Ignore,Ignorar
"Recursive Dir","Recursive Dir"
"Add Contents Path","Adicionar sequência de conteúdos"
Packages,Embalagens
Min,Min
Max,Máximo
Files,Arquivos
"Add Package dependency","Adicionar dependência de Pacote"
Extensions,Extensões
"Add PHP Extension dependency","Adicionar dependência de Extensão PHP"
"Caution: All unsaved form data will be lost as soon as you you click on the row and the package data loads.","Caution: All unsaved form data will be lost as soon as you you click on the row and the package data loads."
