Remove,Verwijder
Action,Actie
File,File
Email,Email
Name,Naam
Type,type
Description,Omschrijving
Summary,Overzicht
Include,"Sluit in"
"Save Data and Create Package","Sla data op en creëer pakket."
"Save As...","Sla op als..."
"Save package with custom package file name","Sla pakket op met aangepaste pakket bestandsnaam"
"New Extension","Nieuwe extensie"
"Add files","Voeg bestanden toe"
Authors,Auteurs
"Add Author","Voeg auteur toe"
Contents,Inhoud
"PHP Version","PHP versie"
Minimum,Minimum
Maximum,Maximum
Dependencies,Afhankelijkheden
Folder,Map
Package,Pakket
"Load Local Package","Laad lokaal pakket"
"Package File Name","Pakket bestandsnaam"
Channel,Kanaal
"1.5.0.0 & later","1.5.0.0 & later"
Pre-1.5.0.0,Pre-1.5.0.0
"Supported releases","Ondersteunde uitbrenging"
License,Licentie
"License URI","Licentie URL"
"Package Info","Pakket info"
Release,Release
"Release Version","Release Version"
"Release Stability","Release Stability"
Notes,Notes
"Release Info",Uitbrengingsinformatie
"Create Extension Package","Creëer extensie pakket"
"Package Extensions","Pakket extensies"
Extension,Extensie
"Something went wrong loading the package data.","Something went wrong loading the package data."
"The package %1 data has been loaded.","The package %1 data has been loaded."
"The package data has been saved.","De data van het pakket is opgeslagen"
"Something went wrong saving the package data.","Something went wrong saving the package data."
"Something went wrong saving the package.","Something went wrong saving the package."
"Something went wrong creating the package.","Something went wrong creating the package."
User,Gebruiker
Target,Doel
Path,Pad
Ignore,Negeer
"Recursive Dir","Recursive Dir"
"Add Contents Path","Voeg inhoudspad toe"
Packages,Pakketten
Min,Minimaal
Max,Maximaal
Files,Bestanden
"Add Package dependency","Voeg pakket afhankelijkheid toe"
Extensions,Extensies
"Add PHP Extension dependency","Voeg PHP extensie afhankelijkheid toe"
"Caution: All unsaved form data will be lost as soon as you you click on the row and the package data loads.","Caution: All unsaved form data will be lost as soon as you you click on the row and the package data loads."
