" in rows: ","行："
"-- Please Select --","-- 请选择 --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","适配器必须为Mage_ImportExport_Model_Import_Adapter_Abstract的实例"
"Adapter type must be a non empty string","适配器类型必须为非空字符串"
"Can not determine attribute filter type","无法确定属性筛选类型"
"Can not find required columns: ","无法找到所请求的栏："
"Can not get autoincrement value","无法获得自动增量值"
"Check Data","检查数据"
"Column names have duplicates","栏名称有重复"
"Column names is empty or is not an array","栏名称为空或非阵列"
"Column names: ""%s"" are invalid","栏名称：%s 无效"
"Continue","继续"
"Data is invalid or file is not uploaded","数据无效，或文件未被上传"
"Destination directory is not writable","目标目录不可写"
"Destination file is not writable","目标文件不可写"
"Destination file path must be a string","目标文件路径必须为字符串"
"Entity Attributes","编辑属性"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","实体适配器对象必须为Mage_ImportExport_Model_Import_Entity_Abstract的实例"
"Entity is unknown","未知实体"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","实体类型模块必须为Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract的实例"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","实体类型模块必须为Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract的实例"
"Error in data structure: behaviors are mixed","数据结构有误：行为是混合的"
"Error in data structure: entity codes are mixed","数据结构有误：实体代码是混合的"
"Export","导出"
"Export FAQ","导出 FAQ"
"FAQ","常见问题与解答"
"File does not contain data. Please upload another one","文件不包含数据。请上传另一个文件"
"File format is unknown","未知的文件格式"
"File is partially valid, but import is not possible","文件部分有效，但无法导入"
"File is totally invalid. Please fix errors and re-upload file","文件无效。请修复错误并重新上传文件"
"File is valid! To start import process press ""Import"" button","文件有效！要开始导入，请单击“导入”按钮"
"File is valid, but import is not possible","文件有效，但无法导入"
"Header column names already set","标题列名称已设置"
"Import","导入"
"Import / Export FAQ (Frequently Asked Questions)","导入 / 导出 FAQ（常见问题）"
"Import FAQ","导入 FAQ"
"Import successfully done.","导入成功完成。"
"Import/Export","导入/导出"
"In/Out","入/出"
"Input entity code is not equal to entity adapter code","输入的实体代码与实体适配器代码不相同"
"Invalid entity","无效的实体"
"Invalid file format","无效的文件格式"
"Invalid parameters","无效的参数"
"Invalid seek position","无效的位置寻找"
"Invalid value for '%s'","“%s”的数值无效"
"No filter data provided","没有提供过滤器数据"
"No source specified","没有指定源"
"No valid data sent","没有发送有效的数据"
"No writer specified","没有指定作者"
"Node does not has model token tag","节点不具有模型令牌标签"
"Not implemented yet","尚未实现"
"Please fix errors and re-upload file","请修复错误并重新上传文件"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","请修复错误并重新上传文件，或单击“导入”按钮来跳过错误行"
"Some other FAQ","一些其他 FAQ"
"Source file moving failed","源文件移动失败"
"Source file path must be a string","源文件路径必须为字符串"
"Source is not set","源未设置"
"Status","状态"
"System busy","系统忙碌"
"There are no product types available for export","没有可用的产品类型可供导出"
"Total size of uploadable files must not exceed %s","可上传文件的总大小不可超过 %s"
"Uploaded file has no extension","已上传的文件没有扩展名"
"Validation Results","验证结果"
