"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","Les règles des prix du catalogue %d basées sur l'attribut ""%s"" ont été désactivées.
"
"Actions","Action"
"Active","Actif"
"Add New Rule","Ajouter nouvelle règle"
"An error occurred while deleting the rule. Please review the log and try again.","Une erreur s'est produite à la suppression de la règle. Réessayez après avoir lu le message d'erreur."
"An error occurred while saving the rule data. Please review the log and try again.","Une erreur s'est produite à la sauvegarde des données de la règle. Réessayez après avoir lu le message d'erreur."
"Apply","Appliquer"
"Apply Rules","Appliquer les règles"
"Attribute Set","Ensemble d'attributs"
"By Fixed Amount","Par quantité fixée"
"By Percentage of the Original Price","Par pourcentage du prix d'origine"
"Catalog","Catalogue"
"Catalog Price Rule","Règle de prix du catalogue"
"Catalog Price Rules","Règles de prix du catalogue"
"Category","Catégorie"
"Conditions","Conditions"
"Conditions (leave blank for all products)","Conditions (laisser vide pour tous les produits)"
"Conditions Combination","Combinaison de conditions"
"Customer Groups","Groupes de clients"
"Date Expire","Date d'expiration"
"Date From","Date de création"
"Date Start","Date de début"
"Date To","Date de fin"
"Description","Description"
"Discount Amount","Montant de réduction"
"Edit Rule","Éditer la règle"
"Edit Rule '%s'","Éditer la règle '%s'"
"Enable Discount to Subproducts","Autoriser les réductions sur les sous-produits"
"Expiration Date","Date d'expiration"
"From Date","Depuis"
"General Information","Informations générales"
"ID","ID"
"Inactive","Inactif"
"New Rule","Nouvelle règle"
"No","Non"
"Options","Options"
"Priority","Priorité"
"Product Attribute","Attribut de produit"
"Promotions","Promotions"
"Rule Information","Information de règle"
"Rule Name","Nom de règle"
"Save and Apply","Enregistrer et appliquer"
"Save and Continue Edit","Sauvegarder et continuer l'édition"
"Start Date","Date de début"
"Status","Statut"
"Stop Further Rules Processing","Ne pas aller plus loin dans le traitement des règles"
"The rule has been deleted.","La règle a été supprimée."
"The rule has been saved.","La règle a été sauvée."
"The rules have been applied.","Les règles ont été appliquées."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Certaines règles ont été modifiées sans être appliquées. Seuls les utilisateurs bénéficiant d'un accès exclusif peuvent appliquer les règles."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Il y a des règles qui ont été changées mais pas appliquées. Cliquez sur ""Appliquer les règles"" pour un effet immédiat sur le catalogue."
"This rule no longer exists.","Cette règle n'existe plus."
"To Date","Date de fin"
"To Fixed Amount","Sur montant fixé"
"To Percentage of the Original Price","Sur pourcentage du prix d'origine"
"Type","Type"
"Unable to apply rules.","Impossible d'appliquer les règles"
"Unable to find a rule to delete.","Aucune règle à supprimer"
"Update Prices Using the Following Information","Mettre à jour les prix à l'aide des informations suivantes"
"Update product's %s %s: %s","Mettre à jour le %s %s du produit: %s"
"Website","Site web"
"Websites","Site web"
"Wrong rule specified.","Une mauvaise règle a été spécifiée."
"Yes","oui"
