Product,"Nome do produto"
Price,Preço
Quantity,"Quantidade de itens"
Products,Produtos
ID,Identidade
SKU,SKU
Customers,Clientes
"Shopping Cart","Carrinho de compras"
No,Não
Subtotal,Subtotal
Discount,Discount
Action,Ação
Total,Total
"Add to Cart","Adicionar ao carrinho"
Orders,Ordens
Bestsellers,"Mais vendidos"
Customer,"Nome do Cliente"
Guest,Convidado
Items,Items
Results,Resultados
Uses,Uses
Average,Average
"Order Quantity","Quantidade pedida"
Views,"Número de Visualizações"
Revenue,Receita
Tax,Taxas
Shipping,Remessa
"First Name","Primeiro nome"
"Last Name","Último nome"
Email,E-mail
Refresh,Refresh
Store,Store
Yes,Sim
Name,Nome
Title,Título
Description,Descrição
From,De
To,Para
Dashboard,Dashboard
"IP Address","Endereço de IP"
"All Websites","All Websites"
"Tax Amount","Tax Amount"
Invoiced,Faturado
Refunded,Refunded
Canceled,Canceled
"In stock","In stock"
"Out of stock","Fora de estoque"
Day,Dia
Month,Mês
Year,Ano
"Search Query","Palavras-Chave da Busca"
"Search Terms","Buscar Termos"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Add to Compare","Adicionar para Comparar"
"Items in Cart","Itens no carrinho"
Sales,Vendas
Created,Created
"Product Reviews","Comentários sobre Produto"
Updated,Updated
Reports,Relatórios
Details,Details
Unlimited,Unlimited
Fulfilled,Fulfilled
Filter,Filtro
Link,Link
Report,Relatório
Added,Added
"Coupon Code","Coupon Code"
"New Accounts","Número de Novas Contas"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by Orders Total","Clientes por Total dos Pedidos"
"Match Period To","Match Period To"
Period,Period
"Empty Rows","Colunas vazias"
"Invalid date specified","Invalid date specified"
"We couldn't find records for this period.","We couldn't find records for this period."
"Show Reviews","Show Reviews"
"Products Report","Relatórios de produtos"
Downloads,Transferências
Purchases,Compras
CSV,CSV
"Excel XML","Excel XML"
Viewed,"Número Vistos"
Purchased,Purchased
"Low stock","Estoque baixo"
"Products Ordered","Produtos Encomendados"
"Most Viewed","Mais vistos"
"Show Report","Exibir relatório"
Interval,Período
"Refresh Statistics","Atualizar Estatísticas"
"Customers Reviews","Análises dos clientes"
"Reviews for %1","Reviews for %1"
Detail,Detalhe
"Products Reviews","Comentários sobre Produtos"
"Products Bestsellers Report","Products Bestsellers Report"
"Coupons Usage Report","Relatório de utilização de cupons"
"Price Rule","Regra de Preço de Carrinho de Compras"
"Sales Subtotal","Sales Subtotal"
"Sales Discount","Sales Discount"
"Sales Total","Sales Total"
"Total Invoiced vs. Paid Report","Total faturado versus Relatório de pagamento"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","Total Invoiced"
"Paid Invoices","Paid Invoices"
"Unpaid Invoices","Unpaid Invoices"
"Total Refunded Report","Relatório do total reembolsado"
"Refunded Orders","Refunded Orders"
"Total Refunded","Total Refunded"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Relatório do Total Encomendado"
"Sales Items","Sales Items"
Profit,Profit
Paid,Paid
"Sales Tax","Sales Tax"
"Sales Shipping","Sales Shipping"
"Total Shipped Report","Relatório do total remessado"
Carrier/Method,Carrier/Method
"Total Sales Shipping","Total Sales Shipping"
"Total Shipping","Total Shipping"
"Order Taxes Report Grouped by Tax Rate","Relatório de Impostos de Ordens Agrupados por Taxa de Imposto"
Rate,Rate
"Abandoned carts","Carrinhos de compra abandonados"
"Applied Coupon","Cupons aplicados"
"Products in carts","Produtos no carrinho"
Carts,"Carrinhos de compra"
"Wish Lists","Wish Lists"
"Wishlist Purchase","Comprado da lista de presentes"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
"Times Deleted","Número de Tempos Apagados"
"Index type is not valid","Index type is not valid"
"Search Terms Report","Search Terms Report"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, ' 'click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, ' 'click <a href=""%3"">here</a>."
"New Accounts Report","New Accounts Report"
"Order Count Report","Order Count Report"
"Customers by Number of Orders","Customers by Number of Orders"
"Order Total Report","Order Total Report"
"Ordered Products Report","Ordered Products Report"
"Product Views Report","Product Views Report"
"Products Most Viewed Report","Products Most Viewed Report"
"Low Stock Report","Low Stock Report"
"Low Stock","Baixo Estoque"
"Downloads Report","Downloads Report"
