Product,Produktname
Price,Preis
Quantity,Artikelmenge
Products,Produkte
ID,ID
SKU,SKU
Customers,Kunden
"Shopping Cart",Warenkorb
No,Nein
Subtotal,Zwischensumme
Discount,Discount
Action,Aktion
Total,Gesamtbetrag
"Add to Cart","Zum Warenkorb hinzufügen"
Orders,Aufträge
Bestsellers,Bestseller
Customer,Kundenname
Guest,Gast
Items,Items
Results,Ergebnisse
Uses,Uses
Average,Average
"Order Quantity","bestellte Menge"
Views,"Anzahl wie oft angesehen"
Revenue,Umsatz
Tax,Steuer
Shipping,Lieferung
"First Name",Vorname
"Last Name",Nachname
Email,E-Mail
Refresh,Refresh
Store,Store
Yes,Ja
Name,Name
Title,Titel
Description,Beschreibung
From,Von
To,An
Dashboard,Dashboard
"IP Address","IP Adresse"
"All Websites","All Websites"
"Tax Amount","Tax Amount"
Invoiced,"In Rechnung gestellt."
Refunded,Refunded
Canceled,Canceled
"In stock","In stock"
"Out of stock","Nicht lieferbar"
Day,Tag
Month,Monat
Year,Jahr
"Search Query",Suchbegriff
"Search Terms",Suchbegriffe
"Add to Wishlist","Zum Wunschzettel hinzufügen"
"Add to Compare","Hinzufügen um zu vergleichen"
"Items in Cart","Waren im Einkaufswagen"
Sales,Verkäufe
Created,Created
"Product Reviews",Produktreviews
Updated,Updated
Reports,Berichte
Details,Details
Unlimited,Unlimited
Fulfilled,Fulfilled
Filter,Filter
Link,Link
Report,Report
Added,Added
"Coupon Code","Coupon Code"
"New Accounts","Anzahl der neuen Konten"
"Customers by number of orders","Kunden nach der Anzahl der Aufträge"
"Customers by Orders Total","Kunden nach Gesamtzahl der Bestellung"
"Match Period To","Match Period To"
Period,Period
"Empty Rows","Leere Reihe"
"Invalid date specified","Invalid date specified"
"We couldn't find records for this period.","We couldn't find records for this period."
"Show Reviews","Show Reviews"
"Products Report",Artikelmeldung
Downloads,Downloads
Purchases,Käufe
CSV,CSV
"Excel XML",Excel-XML
Viewed,"Anzahl wie oft angesehen"
Purchased,Purchased
"Low stock","Wenige Artikel vorrätig"
"Products Ordered","Bestellte Artikel"
"Most Viewed","am meisten angesehen"
"Show Report","Report anzeigen"
Interval,Zeitraum
"Refresh Statistics","Aktualisiere Statistik"
"Customers Reviews","Berichte der Kunden"
"Reviews for %1","Reviews for %1"
Detail,Detail
"Products Reviews",Artikelbewertungen
"Products Bestsellers Report","Products Bestsellers Report"
"Coupons Usage Report","Protokoll zur Anwendung von Gutscheinen"
"Price Rule","Warenkorb Preisregel"
"Sales Subtotal","Sales Subtotal"
"Sales Discount","Sales Discount"
"Sales Total","Sales Total"
"Total Invoiced vs. Paid Report","Gesamtgegenüberstellung Berechnet zu Bezahlt"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","Total Invoiced"
"Paid Invoices","Paid Invoices"
"Unpaid Invoices","Unpaid Invoices"
"Total Refunded Report","Gesamtreport zu Rückerstattungen"
"Refunded Orders","Refunded Orders"
"Total Refunded","Total Refunded"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Report Gesamtbestellvolumen"
"Sales Items","Sales Items"
Profit,Profit
Paid,Paid
"Sales Tax","Sales Tax"
"Sales Shipping","Sales Shipping"
"Total Shipped Report","Gesamtreport versendeter Produkte"
Carrier/Method,Carrier/Method
"Total Sales Shipping","Total Sales Shipping"
"Total Shipping","Total Shipping"
"Order Taxes Report Grouped by Tax Rate","Auftragssteuermeldung unterteilt nach Steuersatz"
Rate,Rate
"Abandoned carts","Verlassene Warenkörbe"
"Applied Coupon","Benutzter Gutschein"
"Products in carts","Artikel in den Warenkörben"
Carts,Einkaufswagen
"Wish Lists","Wish Lists"
"Wishlist Purchase","Vom Wunschzettel gekauft"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
"Times Deleted","Anzahl wie oft gelöscht"
"Index type is not valid","Index type is not valid"
"Search Terms Report","Search Terms Report"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, ' 'click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, ' 'click <a href=""%3"">here</a>."
"New Accounts Report","New Accounts Report"
"Order Count Report","Order Count Report"
"Customers by Number of Orders","Customers by Number of Orders"
"Order Total Report","Order Total Report"
"Ordered Products Report","Ordered Products Report"
"Product Views Report","Product Views Report"
"Products Most Viewed Report","Products Most Viewed Report"
"Low Stock Report","Low Stock Report"
"Low Stock","Niedriger Lagerbestand"
"Downloads Report","Downloads Report"
Review,Review
Reviews,Bewertungen
"Customer Reviews Report","Customer Reviews Report"
"Customers Report","Erfahrungsbericht der Kunden"
"Product Reviews Report","Product Reviews Report"
"Sales Report",Verkaufsreport
"Best Sellers Report","Best Sellers Report"
"Tax Report","Tax Report"
"Shipping Report","Shipping Report"
"Invoice Report","Invoice Report"
"Refunds Report","Refunds Report"
"Coupons Report","Coupons Report"
Coupons,Gutscheine
"Customer Shopping Carts","Customer Shopping Carts"
"Products in Carts","Products in Carts"
"Abandoned Carts","Unbenutzte Einkaufswagen"
Statistics,Statistik
"No report code is specified.","No report code is specified."
"Recent statistics have been updated.","Recent statistics have been updated."
"We can't refresh recent statistics.","We can't refresh recent statistics."
"We updated lifetime statistics.","We updated lifetime statistics."
"We can't refresh lifetime statistics.","We can't refresh lifetime statistics."
"The product type filter specified is incorrect.","The product type filter specified is incorrect."
"Order Taxes Report Grouped by Tax Rates","Order Taxes Report Grouped by Tax Rates"
"Total Invoiced VS Paid Report","Total Invoiced VS Paid Report"
"Promotion Coupons Usage Report","Promotion Coupons Usage Report"
"Most Viewed Products Report","Most Viewed Products Report"
"Show By","Show By"
"Select Date","Select Date"
"Customers that have wish list: %1%","Customers that have wish list: %1%"
"Number of wish lists: %1","Number of wish lists: %1"
"Number of items bought from a wish list: %1","Number of items bought from a wish list: %1"
"Number of times wish lists have been shared (emailed): %1","Number of times wish lists have been shared (emailed): %1"
"Number of wish list referrals: %1","Number of wish list referrals: %1"
"Number of wish list conversions: %1","Number of wish list conversions: %1"
"Show Report For:","Show Report For:"
"Recently Viewed","Kürzlich angesehen"
"Recently Compared Products","zuletzt verglichene Artikel"
"Recently Viewed Products","Kürzlich angesehene Produkte"
"Recently Compared","zuletzt verglichen"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Show for Current","Show for Current"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Year-To-Date Starts","Year-To-Date Starts"
"Current Month Starts","Current Month Starts"
"Select day of the month.","Select day of the month."
"List of Products Recently Viewed by Visitor","Liste der kürzlich angesehenen Produkte des Besuchers"
"Number of Products to display","Anzahl der darzustellenden Artikel"
"Viewed Products Grid Template","Tabellarische Vorlage für angesehene Produkte"
"Viewed Products List Template","Vorlage für Liste der angesehenen Produkte"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Liste der kürzlich verglichenen Produkte und Produkte, die vom Besucher von der Vergleichsliste entfernt wurden"
"Compared Products Grid Template","Gittermustervorlage für verglichene Produkte"
"Compared Products List Template","Vorlage für die Liste verglichener Produkte"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
Hits,Treffer
"Stock Quantity","Anzahl auf Lager"
"Ordered Quantity","Ordered Quantity"
"This report uses timezone configuration data. Be sure to refresh lifetime statistics any time you change store timezone.","This report uses timezone configuration data. Be sure to refresh lifetime statistics any time you change store timezone."
"Average (Approved)","Average (Approved)"
"Last Review","Letzte Überprüfung"
"Order Created Date","Order Created Date"
"Order Updated Date","Order Updated Date"
"The Order Updated Date report is displayed in real-time, and does not need to be refreshed.","The Order Updated Date report is displayed in real-time, and does not need to be refreshed."
"Last Invoice Created Date","Last Invoice Created Date"
"Last Credit Memo Created Date","Last Credit Memo Created Date"
"First Invoice Created Date","First Invoice Created Date"
"Refresh Lifetime Statistics","Aktualisiere lebenslange Statistik"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Sind Sie sicher, dass Sie die Laufzeit der Statistiken aktualisieren möchten? Während dieser Tätigkeit kann die Leistung beeinflusst werden."
"Refresh Statistics for the Last Day","Aktualisiere Statistik für den letzten Tag"
"Are you sure you want to refresh statistics for last day?","Are you sure you want to refresh statistics for last day?"
undefined,undefiniert
