All,Alles
None,Geen
"Are you sure?","Weet u het zeker?"
Cancel,Annuleren
Back,Terug
Product,Productnaam
Price,Prijs
Quantity,Hoeveelheid
Products,Producten
ID,"Product Identificatie"
SKU,SKU
No,Nee
Qty,Qty
Action,Actie
Reset,Opnieuw
Edit,Bewerken
"Add to Cart","Aan mandje toevoegen"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"First Name",Voornaam
"Last Name",Achternaam
Email,Email
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
"Use Default","Use Default"
Delete,Verwijderen
Save,Opslaan
Store,Winkel
"-- Please Select --","-- Selecteer alstublieft --"
"Custom Design",Custom-design
Yes,Ja
"Web Site","Web Site"
Name,Naam
Status,Status
Disabled,Uitgeschakeld
Enabled,Aan
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
Title,Titel
"Store View","Aanblik winkel"
Type,Type
Home,Thuis
Search,Zoeken
"Select All","Select All"
"Add New","Nieuwe Toevoegen"
"Please select items.","Selecteer artikelen."
Required,Required
Website,Website
"All Websites","Alle Websites"
Next,Volgende
"Please enter a valid number in this field.","Please enter a valid number in this field."
Catalog,Catalogus
Images,Images
"per page","per pagina"
"Mass Actions","Mass Actions"
"Unselect All","Unselect All"
"Select Visible","Select Visible"
"Unselect Visible","Unselect Visible"
"items selected","items selected"
"The information in this tab has been changed.","The information in this tab has been changed."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
Loading...,Loading...
OK,OK
Visibility,Zichtbaarheid
Position,Positie
Fixed,Gemaakt
"Use Default Value","Standaardwaarde gebruiken"
N/A,Nvt
Percent,Percent
"Option Title","Option Title"
"Input Type","Invoer Type"
"New Option","New Option"
"Price Type",Prijstype
"* Required Fields","* Vereiste velden"
Availability,Availability
"In stock","In voorraad"
"Out of stock","Uit voorraad"
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
Root,Root
"Save Category","Categorie opslaan"
"Delete Category","Verwijder Categorie"
"New Subcategory","Nieuwe subcategorie"
"New Root Category","Nieuwe categorie"
"Set Root Category for Store","Stel Basiscategorie voor Winkel in"
"Use Config Settings","Gebruik Configuratiesettings"
"Use All Available Attributes","Use All Available Attributes"
"General Information","Algemene informatie"
"Category Data","Categorie Data"
"Category Products","Categorie Producten"
"Add Subcategory","Voeg Subcategorie Toe"
"Add Root Category","Voeg Root Categorie Toe"
"Create Permanent Redirect for old URL","Creëer Permanente Omleiding voor oude URL"
Day,Day
Month,Month
Year,Year
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"WYSIWYG Editor","WYSIWYG Editor"
"Add Product","Voeg Product Toe"
label,label
"Product Attributes",Productattributen
"Add New Attribute","Nieuwe attribuut toevoegen"
"Save in New Attribute Set","Save in New Attribute Set"
"Enter Name for New Attribute Set","Enter Name for New Attribute Set"
"Save Attribute","Attribuut opslaan"
"Delete Attribute","Verwijder Attribuut"
"Edit Product Attribute ""%1""","Edit Product Attribute ""%1"""
"New Product Attribute","Nieuw Productkenmerk"
"Advanced Attribute Properties","Advanced Attribute Properties"
"Attribute Code","Attribute Code"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols"
"Default Value","Default Value"
"Unique Value","Unique Value"
"Unique Value (not shared with other products)","Unique Value (not shared with other products)"
"Not shared with other products","Not shared with other products"
"Input Validation for Store Owner","Input Validation for Store Owner"
Global,Wereldwijd
Scope,Reikwijdte
"Declare attribute value saving scope","Verklaar attribuut waarde opslagscope"
"Frontend Properties","Front end Eigenschappen"
"Use in Quick Search","Gebruik in Quick Search"
"Use in Advanced Search","Gebruik in Geavanceerd Zoeken"
"Comparable on Frontend","Comparable on Frontend"
"Use for Promo Rule Conditions","Gebruik voor Promotie Regels Voorwaarden"
"Enable WYSIWYG","Sta WYSIWYG toe"
"Allow HTML Tags on Frontend","Sta HTML Tags op Front-end toe"
"Visible on Catalog Pages on Frontend","Visible on Catalog Pages on Frontend"
"Used in Product Listing","Gebruik in Product Listing"
"Depends on design theme","Hangt van ontwerpthema af"
"Used for Sorting in Product Listing","Gebruikt voor Sortering in Product Listing"
"Media Image","Media Beeld"
Gallery,Galerij
"System Properties",Systeemeigenschappen
"Data Type for Saving in Database","Data type om in Database op te slaan"
Text,Tekst
Varchar,Varlet
Static,Statisch
Datetime,Datumtijd
Decimal,Decimaal
Integer,"Heel getal"
"Globally Editable","Wereldwijd te bewerken"
"Attribute Information","Kenmerk Informatie"
Properties,Eigenschappen
"Manage Labels","Manage Labels"
Visible,Zichtbaar
Searchable,Zoekbaar
Comparable,Vergelijkbaar
"Delete Selected Group","Verwijder Geselecteerde Groep"
"Delete Attribute Set","Verwijder Attribuut Set"
"You are about to delete all products in this set. ' 'Are you sure you want to delete this attribute set?","You are about to delete all products in this set. ' 'Are you sure you want to delete this attribute set?"
"Save Attribute Set","Sla Attributen Set Op"
"New Set Name","Nieuwe Serie Naam"
"Edit Attribute Set '%1'","Edit Attribute Set '%1'"
Empty,Leeg
"Add Attribute","Voeg Attribuut toe"
"Add New Group","Voeg Nieuwe Groep toe"
"Add Group","Voeg Groep toe"
"Edit Set Name","Bewerk Set Naam"
"For internal use","For internal use"
"Based On","Gebaseerd op"
"Add New Attribute Set","Voeg Nieuwe Attribuut Set toe"
"Add New Set","Voeg Nieuwe Reeks Toe"
"Product Templates","Product Templates"
"Close Window","Venster Sluiten"
"New Product","Nieuw Product"
"Save & Edit","Save & Edit"
"Save & New","Save & New"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
Attributes,Attributen
Change,Verander
