"1.5.0.0 & later","1.5.0.0 et suivantes"
"Action","Action"
"Add Author","Ajouter un auteur"
"Add Contents Path","Ajouter un chemin vers des contenus"
"Add PHP Extension dependency","Ajouter dépendances PHP"
"Add Package dependency","Ajouter dépendances"
"Add files","Ajouter des fichiers"
"Authors","Auteurs"
"Channel","Canal"
"Contents","Contenus"
"Create Extension Package","Créer un paquet d'extension"
"Dependencies","Dépendances"
"Description","Description"
"Edit Extension","Éditer l'extension"
"Email","Email"
"Extension","Extension"
"Extensions","Extensions"
"Failed to create the package.","Échec de la création du paquet"
"Failed to load the package data.","Échec du chargement des données du paquet"
"Failed to save the package.","Échec de la sauvegarde du paquet."
"Files","Fichiers"
"Folder","Dossier"
"Ignore","Ignorer"
"Include","Inclure"
"License","Licence"
"License URI","URI de la licence"
"Load Local Package","Charger le paquet local"
"Load local Package","Charger le forfait local"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Max","Max"
"Maximum","Maximum"
"Min","Min"
"Minimum","Minimum"
"Name","Nom"
"New Extension","Nouvelle extension"
"PHP Version","Version PHP"
"Package","Colis"
"Package Extensions","Extensions du paquet"
"Package File Name","Nom de fichier du paquet"
"Package Info","Info du paquet"
"Packages","Paquets"
"Path","Chemin"
"Pre-1.5.0.0","Antérieures à 1.5.0.0"
"Release Info","Info sur la release"
"Remove","Supprimer"
"Save As...","Enregistrer sous..."
"Save Data and Create Package","Enregistrer les données et créer un paquet"
"Save package with custom package file name","Enregistrer le paquet avec un nom de fichier personnalisé"
"Summary","Résumé"
"Supported releases","Versions supportées"
"System","Système"
"Target","Cible"
"The package %s data has been loaded.","Les données paquet %s ont été chargées."
"The package data has been saved.","Les données du paquet ont été sauvegardées"
"There was a problem saving package data","Il y a eu un problème lors de la sauvegarde des données du paquet"
"Type","Type"
"User","Utilisateur"
