"%s %s cycle.","%s %s 周期。"
"--Please Select--","-- 请选择 --"
"3D Secure Card Validation","3D 安全信用卡验证"
"3D Secure Credit Card Validation","3D安全信用卡验证"
"<label>Make Check payable to:</label> %s","<label>用支票付款给：</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","动态模式需要提供值。请参考您的CardinalCommerce 协议。"
"Allow Initial Fee Failure","允许初始费用失败"
"An internal reference ID is required to save the payment profile.","保存支付配置文件时需要提供内部参考ID。"
"Authorize action is not available.","授权操作不可用。"
"Auto Bill on Next Cycle","下个周期自动记账"
"Automatically Invoice All Items","对所有商品自动创建发票"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","下个记账周期对余款额度自动记账（如果有失败的支付的话）。"
"Billing Agreement status is not set.","记账协议状态未设置。"
"Billing Amount","记账额度"
"Billing Frequency","记账频率"
"Billing Period","记账周期"
"Billing Period Unit","记账周期单位"
"Billing period unit is not defined or wrong.","记账周期单位未定义或有误。"
"Cannot retrieve payment method instance.","无法获取支付方法实例。"
"Cannot retrieve the payment info model object.","无法获取支付信息模块对象。"
"Cannot retrieve the payment information object instance.","无法获取支付信息对象实例。"
"Cannot retrieve the payment method code.","无法获取支付方法代码。"
"Cannot retrieve the payment method model object.","无法获取支付方法模块对象。"
"Capture action is not available.","捕获操作不可用。"
"Card Verification Number","卡片验证号码"
"Centinel API URL","Centinel API URL"
"Check / Money Order","支票/费用订单"
"Credit Card Number","信用卡号码"
"Credit Card Type","信用卡类型"
"Credit Card Types","信用卡类型"
"Credit card number mismatch with credit card type.","信用卡号与信用卡类型不匹配。"
"Credit card type is not allowed for this payment method.","信用卡类型无法用于此支付方法。"
"Currency","币种"
"Currency code is undefined.","货币代码未定义。"
"Customer ID is not set.","客户ID未设置。"
"Day","天"
"Debug Mode","调试模式"
"Enabled","已启用"
"Expiration Date","过期日期"
"Full name of the person receiving the product or service paid for by the recurring payment.","获取通过周期性支付所提供的产品或服务的人的全名。"
"Incorrect credit card expiration date.","错误的信用卡到期日。"
"Initial Fee","初始费用"
"Initial non-recurring payment amount due immediately upon profile creation.","创建配置文件时立刻进行非周期性初始支付。"
"Internal Reference ID","内部参考ID"
"Invalid Credit Card Number","信用卡号无效"
"Issue Number","问题编号"
"Make Check Payable to","通过支票付款给"
"Make Check payable to:","通过支票付款给："
"Make Check payable to: %s","通过支票付款给：%s"
"Maximum Billing Cycles","最长记账周期"
"Maximum Order Total","最大订单总数"
