"Add Recipient","新規受け取り先の追加"
"Allow for Guests","ゲストに許可する"
"An invalid email address for recipient was entered.","不正な宛先メールアドレスが指定されました。"
"At least one recipient must be specified.","1件以上の宛先を指定してください。"
"Back","戻る"
"Catalog Product Email to a Friend","商品を友達にメールする"
"Email Address","メールアドレス"
"Email Address:","メールアドレス:"
"Email Templates","メールテンプレート"
"Email to a Friend","友達にメールを送る"
"Email:","Eメール:"
"Enabled","有効"
"Invalid Sender Information","不正な送信者情報です。"
"Invalid sender email.","不正な送信者メールアドレスです。"
"Limit Sending By","送信制限"
"Max Products Sent in 1 Hour","1時間あたりの最大送信件数"
"Max Recipients","最大受信者数"
"Maximum %d email addresses allowed.","最大%d件のメールアドレスを許可する"
"Message:","メッセージ:"
"Name","名前"
"Name:","名前:"
"No more than %d emails can be sent at a time.","%d通以上のメールを一度に送ることはできません。"
"Please define a correct Cookie instance.","正しいCookieを定義してください。"
"Please define a correct Product instance.","商品を正しく指定してください。"
"Please define the correct Sender information.","送信者情報を正しく指定してください。"
"Recipient:","受信者:"
"Remove Email","メールの削除"
"Select Email Template","メールテンプレートを選択"
"Send Email","メール送信"
"Send product to a friend","友達に商品の情報を送る"
"Sender:","送信者:"
"Some emails were not sent.","何件かのメールが送信できませんでした。"
"The link to a friend was sent.","リンクを友達に送信しました。"
"The message cannot be empty.","メッセージを入力してください。"
"The messages cannot be sent more than %d times in an hour","1時間に%d回以上メッセージを送信することはできません。"
"The sender name cannot be empty.","送信者名を入力してください。"
"There were some problems with the data.","データにいくつかの問題があります。"
"You have exceeded limit of %d sends in an hour","1時間に%d件以上のメールを送信することはできません"
