"%s was added to your shopping cart.","%s se ha añadido a su cesta"
"%s was updated in your shopping cart.","Se actualizó %s en su cesta de la compra."
"* Required Fields","* Campos Requeridos"
"Add New Address","Añadir Nueva Dirección"
"Add New Condition","Añadir nueva condición"
"Add coupon code for shopping cart","Agregar código promocional a la cesta de la compra"
"Add gift messages to shopping cart","Agregar mensajes de regalo a la cesta de la compra"
"Add product to shopping cart","Agregar producto a la cesta de la compra"
"Add product(s) to shopping cart","Agregar producto(s) a la cesta de la compra"
"Add to Cart","Añadir al Carrito"
"Add to Compare","Añadir para comparar."
"Add to Wishlist","Añadir a lista que quieres."
"Additional Product Info","Información adicional del producto"
"Address","Dirección"
"Address %s of %s","Dirección %s de %s"
"After Adding a Product Redirect to Shopping Cart","Después de añadir un producto volver a la cesta de compra"
"Allow Guest Checkout","Permitir salir al cliente"
"Already registered?","¿Ya está registrado?"
"An error occurred in the process of payment","Se produjo un error durante el proceso de pago"
"An error occurred while deleting this condition.","Se produjo un error al eliminar esta condición."
"An error occurred while saving this condition.","Se produjo un error al guardar esta condición."
"Apply Coupon","Aplicar cupón"
"Are you sure you would like to remove this item from the shopping cart?","¿Está seguro de que desea eliminar este artículo de la cesta de la compra?"
"Back","Volver"
"Back to Billing Information","Volver a la información de la factura"
"Back to Select Addresses","Volver a la selección de la dirección"
"Back to Shipping Information","Volver a la información de envío"
"Back to Shopping Cart","Volver a la cesta de la compra"
"Based on your selection, you may be interested in the following items:","Basándonos en tu selección, puede que estés interesado(a) en los siguientes artículos."
"Billing Address","Dirección de facturación"
"Billing Information","Detalles de facturación"
"Billing Information - %s","Detalles de facturación - %s"
"Cancel Coupon","Cancelar cupón"
"Cannot add item to the shopping cart.","No se puede añadir el artículo a la cesta de la compra"
"Cannot add the item to shopping cart","No se puede añadir el artículo a la cesta de la compra"
"Cannot add the item to shopping cart.","Imposible añadir el artículo a la cesta de la compra."
"Cannot apply the coupon code.","Imposible aplicar el código del cupón"
"Cannot configure product.","No se puede configurar el producto."
"Cannot open the overview page","Imposible abrir la vista preliminar"
"Cannot process the item.","No se puede procesar el artículo."
"Cannot remove the item.","Imposible eliminar el artículo."
"Cannot update shopping cart.","Imposible actualizar la cesta de la compra."
"Cannot update the item.","No se puede actualizar el artículo."
"Card Verification Number Visual Reference","Verificación de la tarjeta Número de Referencia Visual"
"Cart Product API","API del producto de la cesta"
"Cart Subtotal:","Subtotal de la cesta:"
"Change","Cambio"
"Change Billing Address","Cambiar la Dirección de Facturación"
"Checkbox Text","Casilla de verificación de texto"
"Checkout","Pedido"
"Checkout Conditions","Condiciones de pedido"
"Checkout Method","Método de pedido"
"Checkout Options","Opciones de pedido"
"Checkout Progress Wrapper","Plataforma del progreso de pago"
"Checkout Section","Sección de pedido"
"Checkout Terms and Conditions","Verificar términos y condiciones"
"Checkout as Guest","Pedido como invitado"
"Checkout as a Guest or Register","Pedido como invitado o registro"
"Checkout with Multiple Addresses","Pedido con varias direcciones"
"City","Ciudad"
"Clear Shopping Cart","Vaciar carro de la compra"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Pulse <a href=""%s"">aquí para imprimir</a> una copia de la confirmación del pedido."
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">aquí</a> para continuar comprando."
"Close","Cerrar"
"Company","Compañía"
"Condition Name","Nombre de condición"
"Configurable Product Image","Imagen configurable del producto"
"Configure Cart Item","Configurar artículo de la cesta"
"Confirm Password","Confirma Contraseña"
"Content","Contenido"
"Content Height","Altura del contenido"
"Content Height (css)","Altura del contenido (css)"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar a información de facturación"
"Continue to Review Your Order","Continuar a revisión de pedido"
"Continue to Shipping Information","Continuar a información de envío"
"Country","País"
"Coupon code ""%s"" is not valid.","El código promocional ""%s"" no es válido."
"Coupon code ""%s"" was applied.","Se aplicó el código ""%s""."
"Coupon code was canceled.","El código de cupón se ha cancelado."
"Create Billing Address","Crear dirección de facturación"
