"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d 购物车价格规则基于 ""%s"" 属性，已被禁用。"
"%s Coupon(s) have been generated","已生成 %s 个组"
"Actions","操作"
"Active","活动"
"Add New Rule","添加新规则"
"Alphabetical","字母表"
"Alphanumeric","字母表"
"An error occurred while generating coupons. Please review the log and try again.","生成折扣券时出错。请查阅日志并重试。"
"Apply","应用"
"Apply To","应用给"
"Apply the rule only if the following conditions are met (leave blank for all products)","只有下列条件满足时才应用规则（留空即可针对所有产品）"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","只对购物车中满足下列条件的产品应用规则（留空即可针对所有产品）"
"Apply the rule to cart items matching the following conditions","对购物车中符合下列条件的商品应用规则"
"Apply to Shipping Amount","应用给运单额度"
"Are you sure you want to delete the selected coupon(s)?","你是否确定要删除所选折扣券？"
"Auto","自动"
"Auto Generated Specific Coupon Codes","自动生成指定的折扣券代码"
"Buy X get Y free (discount amount is Y)","购买 X 即可免费获得 Y（折扣额是Y）"
"By Fixed value","由固定值"
"By Percentage","按百分比"
"Can\'t acquire coupon.","无法获取代金券。"
"Cart Attribute","购物车属性"
"Catalog","分类"
"Code Format","代码格式"
"Code Length","代码长度"
"Code Prefix","代码前缀"
"Code Suffix","代码后缀"
"Conditions","条件"
"Conditions combination","条件组合"
"Coupon","折扣券"
"Coupon Code","折扣券代码"
"Coupon Qty","折扣券数量"
"Coupon with the same code","使用相同代码的折扣券"
"Coupons Information","折扣券信息"
"Created On","创建于"
"Customer Groups","客户组"
"Dash Every X Characters","每x个字符加横线"
"Date Expire","过期日"
"Date Start","开始日"
"Default Label","默认标签"
"Default Rule Label for All Store Views","针对所有店铺视图的默认规则标签"
"Description","描述"
"Discount Amount","折扣帐户"
"Discount Qty Step (Buy X)","折扣数量步骤（购买 X）"
"Edit Rule","修改规则"
"Edit Rule '%s'","修改规则'%s'"
"Excluding prefix, suffix and separators.","包含前缀、后缀，以及分隔符。"
"FOUND","找到"
"Fixed amount discount","定额折扣"
"Fixed amount discount for whole cart","整个购物车的定额折扣"
"For matching items only","仅限匹配的商品"
"For shipment with matching items","针对运单中匹配的商品"
"Free Shipping","免运费"
"From Date","来自日期"
"General Information","常规信息"
"Generate","生成"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","如果购物车中的 %s %s %s 附属项目符合下列 %s 个条件："
"If an item is %s in the cart with %s of these conditions true:","如果购物车中的项目 %s 满足下列 %s 个条件："
"If empty no separation.","如果为空则不分隔。"
"If you select and save the rule you will be able to generate multiple coupon codes.","如果选择并保存该规则，你就可以生成多个折扣券代码。"
"Inactive","未激活"
"Item totals are not set for rule.","商品总数并不由规则设置"
"Labels","标签"
"Manage Coupon Codes","管理折扣券代码"
"Maximum Qty Discount is Applied To","最大数量折扣被应用给"
"NOT FOUND","未找到"
"NOT LOGGED IN","未登录"
"New Rule","新规则"
"No","否"
"No Coupon","无代金券"
"Not valid data provided","提供的数据无效"
"Number of Uses","用户数"
"Numeric","数字"
"Payment Method","支付方式"
"Percent of product price discount","产品价格折扣比例"
"Period","周期"
"Price in cart","购物车价格"
"Priority","优先级"
"Product attribute combination","产品属性组合"
"Products subselection","产品复选"
"Promotions","促销"
"Public In RSS Feed","发布到RSS源中"
"Quantity in cart","购物车中数量"
"Row total in cart","购物车中行数"
"Rule Information","规则信息"
"Rule Name","规则名称"
"Rule is not defined","规则未定义"
"Sales Discount Amount","销售折扣额"
"Sales Subtotal Amount","销售小计额度"
"Sales Total Amount","销售总额"
"Save and Continue Edit","保存并继续编辑"
"Shipping Country","运送国家"
"Shipping Method","运送方式"
"Shipping Postcode","运送邮编"
"Shipping Region","运送地区"
"Shipping State/Province","运行州/省"
"Shopping Cart Price Rule","共享购物车规则"
"Shopping Cart Price Rules","购物车价格规则"
"Special Price","特殊价格"
"Specific Coupon","指定代金券"
"Status","状态"
"Stop Further Rules Processing","停止进一步的规则处理"
"Store View Specific Labels","店铺视图指定的标签"
"Subtotal","小计"
"Subtotal Amount","小计额度"
"The rule has been deleted.","规则已删除。"
"The rule has been saved.","规则已保存。"
"This rule no longer exists.","该规则已不存在。"
"Times Used","使用时间"
"To Date","截止日期"
"To Fixed Value","为固定值"
"To Percentage","为百分率"
"Total","总数"
"Total Amount","总数量"
"Total Items Quantity","总商品数量"
"Total Weight","总重量"
"Unable to create requested Coupon Qty. Please check settings and try again.","无法创建所需数量的折扣券。请检查设置并重试。"
"Unable to find a rule to delete.","无法查找要删除的规则。"
"Update prices using the following information","使用下列信息更新价格"
"Update product's %s %s: %s","更新产品的 %s %s：%s"
"Update the Product","更新产品"
"Use Auto Generation","使用自动生成"
"Used","已使用"
"Uses per Coupon","每代金券使用"
"Uses per Customer","每客户使用"
"Website","网站"
"Websites","网站"
"Wrong rule specified.","所指定规则有误。"
"Yes","是"
"total amount","总数"
"total quantity","总量"
